tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
186107457,186107458,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,unittest,true,false,127,0,127,0,,,,"",109.61,
186107457,186107467,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,unittest,true,false,128,0,128,0,,,,"",0.5,
186107457,186107470,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,unittest,true,false,2812,0,2812,0,,,,"",354.77,
186107457,186107471,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,"",false,,,,,,,,,"",,
186107457,186107481,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,"",false,,,,,,,,,"",,
186107457,186107482,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,"",false,,,,,,,,,"",,
186107457,186107484,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,2,python,"",false,,,,,,,,,"",,
186107457,186107485,100,7b3e026efe9405c5cb2beaed6a9c7ca80f5447a1,python,ok,4,python,"",false,,,,,,,,,"",,
186109870,186109871,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,unittest,true,false,127,0,127,0,,,,"",109.04,
186109870,186109872,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,unittest,true,false,128,0,128,0,,,,"",0.42,
186109870,186109873,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,unittest,true,false,2812,0,2812,0,,,,"",376.71,
186109870,186109874,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,"",false,,,,,,,,,"",,
186109870,186109875,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,"",false,,,,,,,,,"",,
186109870,186109876,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,"",false,,,,,,,,,"",,
186109870,186109878,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,"",false,,,,,,,,,"",,
186109870,186109879,101,bda79d1b1c85aa0fc1af6d07046c21b75118ce13,python,ok,0,python,"",false,,,,,,,,,"",,
186170274,186170275,102,46dcb3eee313a0aa1d49b8857441fea836f1cefe,python,ok,4,python,unittest,true,false,127,0,127,0,,,,"",120.31,
186170274,186170276,102,46dcb3eee313a0aa1d49b8857441fea836f1cefe,python,ok,3,python,unittest,true,false,128,0,128,0,,,,"",0.43,
186170274,186170279,102,46dcb3eee313a0aa1d49b8857441fea836f1cefe,python,ok,2,python,unittest,true,false,2812,0,2812,0,,,,"",361.41,
186170274,186170280,102,46dcb3eee313a0aa1d49b8857441fea836f1cefe,python,ok,6,python,"",false,,,,,,,,,"",,
186170274,186170281,102,46dcb3eee313a0aa1d49b8857441fea836f1cefe,python,ok,3,python,"",false,,,,,,,,,"",,
186170274,186170282,102,46dcb3eee313a0aa1d49b8857441fea836f1cefe,python,ok,3,python,"",false,,,,,,,,,"",,
