tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
409947101,409947102,100,2d8c166f7c9c37dadb52b1f76e331d0f4e183041,python,ok,425,python,"",false,,,,,,,,,"",,
409953486,409953488,101,3859abb201d6686ba07a938969ad087f566ab6f5,python,unknown,437,python,"",false,,,,,,,,,"",,
409957127,409957128,102,2b7b24dcb7a2a6ecf1516bf8026f52de8b27d606,python,ok,436,python,"",false,,,,,,,,,"",,
409973184,409973185,103,a19fc46bb2fb69c4db2d80754afe0a634da4d91e,python,unknown,421,python,"",false,,,,,,,,,"",,
409979919,409979920,104,53c83a7b195f8cce003d7a3db82039f0f6c4a471,python,unknown,445,python,"",false,,,,,,,,,"",,
409980929,409980930,105,d33fc48542805d47db2a35e30ab2c67ec6cc41c9,python,unknown,437,python,"",false,,,,,,,,,"",,
409983785,409983786,106,98f5c9b8132d30d0ec8de1b012843b28c5904e28,python,unknown,428,python,"",false,,,,,,,,,"",,
409985656,409985657,107,9c12f763c4284c7286e1c2c1f36ce029ba7aedd3,python,unknown,437,python,"",false,,,,,,,,,"",,
409994226,409994227,108,dfff518d0eb6539477a04112e9a256462d8f67c2,python,unknown,438,python,"",false,,,,,,,,,"",,
409994975,409994976,109,f62b62eb88f252f6c0a3785b9d568286c9b23309,python,unknown,440,python,"",false,,,,,,,,,"",,
406700658,406700659,10,e358c00dec307b0cf59043e96b2a855d92f5ae1d,python,ok,0,python,unittest,true,false,19,0,19,0,,,,"",0.06,
409997925,409997927,110,da5b80d4b66914b96f4b8a9d7cc9d0a547930547,python,unknown,436,python,"",false,,,,,,,,,"",,
410008600,410008601,111,1fdad6117cb1e2133ee6100d2a8b866cceca2f12,python,unknown,421,python,"",false,,,,,,,,,"",,
410008983,410008984,112,ef8efdeb9d65c498b2a474b9ddd0484fe102a455,python,unknown,443,python,"",false,,,,,,,,,"",,
410033733,410033734,113,6492ea2983a5e3eb048ce8fd0bf7fdd3e73b13a1,python,unknown,438,python,"",false,,,,,,,,,"",,
410042978,410042979,114,d93d2f269a81f26c058c1f89d62e61fe4cddcf4d,python,broken,420,python,"",false,,,,,,,,,"",,
410043470,410043471,115,ce00e1da667ff14d26630101914c1a4216f1d4a8,python,broken,429,python,"",false,,,,,,,,,"",,
410079972,410079973,116,794c683742cdf6b680a3c62a58ccd2cec922bb56,python,broken,421,python,"",false,,,,,,,,,"",,
410082966,410082967,117,69e1d611c67a2237d7ec052c2d77e7ac6aa3d650,python,broken,427,python,"",false,,,,,,,,,"",,
410088377,410088378,118,38bd82e65eb7c71cab15d1b405a7ad194ac110c4,unknown,unknown,,plain,"",false,,,,,,,,,"",,
410088443,410088445,119,eed3d4eee195d91d68409b810bcdd40a79b08efd,python,broken,436,python,"",false,,,,,,,,,"",,
406704793,406704794,11,7a5da9544b1dd3611d39785bd7b55afc390f1f27,python,ok,0,python,unittest,true,false,19,0,19,0,,,,"",0.05,
410108217,410108218,120,753bd8637aaf31bde73a026ad72af589ee7ddea2,python,broken,420,python,"",false,,,,,,,,,"",,
410122363,410122364,121,7952e26abe756b3f8c0ca0f74d604aa6bdd612cc,python,ok,421,python,"",false,,,,,,,,,"",,
410136674,410136675,122,f2ef2e24c15c29dfa78d07dbfabd86b696ad84e2,python,broken,419,python,"",false,,,,,,,,,"",,
410138106,410138107,123,7f4fec61f92ae62a7011d676b821d22b5bd570a0,python,ok,436,python,"",false,,,,,,,,,"",,
410160429,410160430,124,251d36f9fd9a632055eccc3afe090c90b366bd29,python,ok,0,python,unittest,true,false,21,0,21,0,,,,"",0.05,
410290682,410290683,125,fd21de3937673f92a109a92effc1669cda02640f,python,ok,434,python,"",false,,,,,,,,,"",,
410291767,410291768,126,98a538b6ba852df99c6cef3de6ed4bab0f229ffc,python,ok,422,python,"",false,,,,,,,,,"",,
410318956,410318957,127,5f3a992dbc2243005e673ffa9b5669241233f49e,python,ok,421,python,"",false,,,,,,,,,"",,
410322243,410322244,128,a555c5af50914babece8e27e27af9b6c348e591f,python,ok,444,python,"",false,,,,,,,,,"",,
410323281,410323282,129,a647f6787a3b90631fed05d1d578dad674eae6d6,unknown,unknown,,plain,"",false,,,,,,,,,"",,
406709157,406709158,12,ba754372ffeede4198b85000e29fdba4c0061936,python,ok,0,python,unittest,true,false,19,0,19,0,,,,"",0.07,
410323317,410323318,130,bd229591e87de9e4bfbc68c5ea05baab1ed2a217,unknown,unknown,,plain,"",false,,,,,,,,,"",,
410323509,410323510,131,74f8a0ad4ec923f2c078f62b8652a5b85daded7a,python,ok,421,python,"",false,,,,,,,,,"",,
410323545,410323546,132,eb9192f59be3d8c17189bd60ea99dc258bdba3b3,python,ok,422,python,"",false,,,,,,,,,"",,
410328575,410328576,133,d6e24b86e13d955dd3d9c0887b6681e782efbacb,python,ok,427,python,"",false,,,,,,,,,"",,
410331517,410331518,134,d6e24b86e13d955dd3d9c0887b6681e782efbacb,python,ok,434,python,"",false,,,,,,,,,"",,
410332223,410332224,135,8c7e085f51480fe00853a6f95a3382ef771d8a7d,python,broken,421,python,"",false,,,,,,,,,"",,
410334402,410334403,136,b52e7117c991ad1b490d932c71193f2a3035bf5a,python,ok,435,python,"",false,,,,,,,,,"",,
410334694,410334695,137,2daebffe68e4d0d20b202b1520d9454cd64e3320,python,ok,421,python,"",false,,,,,,,,,"",,
410339445,410339446,138,3de8a2cfe2b1c47da60826f891ba36455e7173a7,python,ok,438,python,"",false,,,,,,,,,"",,
410812518,410812519,139,57b6fa5d999e3636f34e3c9717d0a4556b2f6767,python,ok,437,python,"",false,,,,,,,,,"",,
406709437,406709438,13,4205f4debd5e187fea00feaf1a4eee70f35d0a08,python,ok,0,python,unittest,true,false,19,0,19,0,,,,"",0.05,
410815126,410815127,140,c0067ad543e4fb5802d3ba227dacfbcd9fae2427,python,ok,420,python,"",false,,,,,,,,,"",,
410815177,410815178,141,d9e36f8f28a41d6b9a558d9ec4c400d3d3b6d3c0,python,ok,421,python,"",false,,,,,,,,,"",,
410819159,410819160,142,207d4f6f7682e3bd2bdc4d8683b9f19ddb1e4262,python,ok,436,python,"",false,,,,,,,,,"",,
412143689,412143690,143,f4a9ecd3689a5a6530dd733fbba399d051009f3f,python,ok,464,python,"",false,,,,,,,,,"",,
412596632,412596633,144,e212c524bc2d203aca4b73ce20c2e31d44fba6b7,python,ok,455,python,"",false,,,,,,,,,"",,
412597387,412597388,145,c43b1e3d316dd7bdca07b9da75a1de2c4b206ffb,python,unknown,4,python,"",false,,,,,,,,,"",,
412597652,412597653,146,ccea38d1adc2cc1b4c2d993882bd1c63e3bc9dd9,python,ok,424,python,"",false,,,,,,,,,"",,
412806154,412806155,147,f1d1ad7c1c0d5228e9808676516e25badd85e2d1,python,broken,421,python,"",false,,,,,,,,,"",,
412806788,412806789,148,c0cfcfcdc9bc523342fd158977a947e4d71b8fa5,python,ok,422,python,"",false,,,,,,,,,"",,
412811641,412811642,149,c0cfcfcdc9bc523342fd158977a947e4d71b8fa5,python,ok,437,python,"",false,,,,,,,,,"",,
406709926,406709927,14,8acd9773af50a9afa9a2ba60011744e72fade90a,python,ok,0,python,unittest,true,false,19,0,19,0,,,,"",0.05,
413066446,413066447,150,6826fca11824dbf0c2835ce1635cebad0d26e5e1,python,ok,435,python,"",false,,,,,,,,,"",,
413066702,413066703,151,90f580aa9421a685a630042c87012ec534b859a2,python,broken,427,python,"",false,,,,,,,,,"",,
413608944,413608945,152,70ab72e6e40d9254770ff71230a2bd9d35271ffe,python,ok,434,python,"",false,,,,,,,,,"",,
413654779,413654780,153,bf4b85deadb826f3ecf23d5f614ec60cd1872f45,python,ok,436,python,"",false,,,,,,,,,"",,
414927947,414927948,154,56c7176eeff68a316f69d4a318c43382c83301a5,python,unknown,4,python,"",false,,,,,,,,,"",,
414928051,414928052,155,4fa57f18a1dbfdbb97205679533549efdf3894c1,python,ok,552,python,"",false,,,,,,,,,"",,
414931425,414931426,156,ce030fcb33f2dc5f8993b6f1547a7c0da1b44095,python,ok,424,python,"",false,,,,,,,,,"",,
414931532,414931533,157,58257165f66075b7e8f4a30e2838a50534b62ec3,python,ok,494,python,"",false,,,,,,,,,"",,
414931720,414931721,158,c2310366ed20bd524f19e8577c1ffe6d0ba9d822,python,ok,472,python,"",false,,,,,,,,,"",,
414932859,414932860,159,6ab05086b53c6d25624070f31eb13dfc9690ac4f,python,ok,439,python,"",false,,,,,,,,,"",,
406811744,406811745,15,b0f8572b95493b163c4166a61620033403819ac5,python,ok,1,python,unittest,true,false,19,0,19,0,,,,"",0.07,
