build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760106521,1a6f8da9e9ab5aebf6a22b4b1212335c09a5c890,,master,passed,92,2021-02-23 04:35:31 UTC,760106522,push
760101682,bab82807da36b0fc27e3bc4ff456c13259432602,,master,passed,94,2021-02-23 03:48:36 UTC,760101683,push
760093964,43ffb38a9b61f8020ceb3a8412db8ecf62169351,,master,passed,92,2021-02-23 02:28:29 UTC,760093965,push
760093735,b2215d603cbbd0b434360e6defb84f970a5d53f7,,master,passed,92,2021-02-23 02:26:15 UTC,760093736,push
751008640,46d0803d018672afa3a7026f7639d69df3dc6b1b,,master,passed,92,2020-12-22 11:32:30 UTC,751008641,push
742602078,3cc7b813b242bd30fc6f1a297d14d659c171b3bb,,master,passed,93,2020-11-10 02:49:12 UTC,742602079,push
705793131,14fc753a991dc405c1565396315c9896515d3780,,master,passed,88,2020-07-07 14:04:05 UTC,705793132,push
705792512,f6446d539ed8d9eeda0d846339867fa54c58b5f3,,master,passed,97,2020-07-07 14:03:10 UTC,705792513,push
705791699,ff87a9e4df6eb4675c6649a239a6e8264dfccc6c,,master,passed,106,2020-07-07 14:01:50 UTC,705791700,push
703480376,00ae94ac071bca7f2c2e3ce1e198c94f5bfe4b77,,master,passed,90,2020-06-30 10:50:16 UTC,703480377,push
703477556,47f6301c4e5a8c569790bda0689c1079057bd6e7,31,master,passed,91,2020-06-30 10:38:40 UTC,703477557,pull_request
674003458,c50b8f66e5f75309ad94ef205f80379c73c794db,,master,passed,92,2020-04-12 09:09:46 UTC,674003459,push
674003091,9c1cd1f7e717267edb61338a2d4c5922ba0ea6c3,,master,passed,89,2020-04-12 09:06:39 UTC,674003092,push
665890730,3cb727cb59313f3c2fdeadb93fcc91f01a6509f5,,master,passed,92,2020-03-23 14:13:36 UTC,665890731,push
665890685,fbcf35bf9cecbc44a3ebb574e81cd1743d2f04f0,30,master,errored,22,2020-03-23 14:13:27 UTC,665890686,pull_request
665890411,b9d41297e53950acb5ffe8e1f0cb5e5d2c0672b9,,v2.3,passed,98,2020-03-23 14:12:42 UTC,665890412,push
665890121,b9d41297e53950acb5ffe8e1f0cb5e5d2c0672b9,,feature/v2.3,passed,96,2020-03-23 14:11:41 UTC,665890122,push
665488638,8c2f2014dbf3af7709c8e08f912fa278eb1e2013,,feature/v2.3,passed,93,2020-03-22 13:36:43 UTC,665488639,push
656636555,a241e248c175873ec02cf2399ac1ddac2c210044,,v2.2,passed,103,2020-02-29 12:02:41 UTC,656636556,push
656636071,a241e248c175873ec02cf2399ac1ddac2c210044,,master,passed,96,2020-02-29 12:01:20 UTC,656636072,push
656635726,788a78dbb7fab422ab2c7e20ab7702b6b2056376,28,master,passed,98,2020-02-29 11:59:18 UTC,656635727,pull_request
656635030,6dca062b2a96a9f912a873a618045bb5ef95c56a,,release/v2.2,passed,96,2020-02-29 11:56:03 UTC,656635031,push
656624723,32ea614a7bc7117f4a4fa98e8b01514acb966418,,release/v2.2,passed,89,2020-02-29 11:04:05 UTC,656624724,push
