build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
753999677,ac1aef6a47bc65faddf5ee15962b7fe96ca0fef6,47,master,errored,42,2021-01-11 19:48:03 UTC,753999678,pull_request
753999673,34966c230a6fc63c91a4f9bed78393b760b794ad,,dependabot/bundler/redcarpet-3.5.1,errored,42,2021-01-11 19:48:03 UTC,753999674,push
747761754,cc6edb51fd620e86d56909265932cc198ac20f47,44,ng,failed,88,2020-12-05 04:35:19 UTC,747761755,pull_request
724279440,d6b42b660734a8ab6fe0c78fd0be27a7a0bef8ee,44,ng,failed,86,2020-09-04 19:25:21 UTC,724279441,pull_request
706929203,4c30b78681b7341aa3f9fc8233f01ad3be69c179,44,ng,failed,85,2020-07-10 15:36:28 UTC,706929204,pull_request
694750179,794f7c226957ae7b0124f5dcc7e58ae4626c4368,44,ng,failed,90,2020-06-04 18:04:14 UTC,694750180,pull_request
694679108,5eb2ad0710cd001e1c0e09e4c7aca75ea6b6819c,44,ng,failed,88,2020-06-04 14:39:34 UTC,694679109,pull_request
693972963,4ab9ea167b2f11f0c284d8f2189520df89dcd912,44,ng,failed,85,2020-06-02 18:45:53 UTC,693972964,pull_request
656493766,112e42554c65f2f00771690a0b843f165e45c2cd,43,master,errored,44,2020-02-28 23:35:16 UTC,656493767,pull_request
656493761,070a89e872e7a60dda0623d28bc720f55f80dfc1,,dependabot/bundler/rake-13.0.1,errored,42,2020-02-28 23:35:15 UTC,656493763,push
627058498,c1c2086ff2f4761ccf70d4185d98ea0946cc98d3,42,master,failed,63,2019-12-19 05:29:52 UTC,627058499,pull_request
627058494,c00b110a48090238162edd599cef171d190cb33b,,dependabot/bundler/rack-1.6.12,failed,65,2019-12-19 05:29:51 UTC,627058495,push
608207453,6d2345576fa6da9105c3ca8f147ed3d66a7ea534,,dependabot/bundler/jquery-rails-4.3.5,failed,82,2019-11-06 14:12:04 UTC,608207454,push
608207451,09c1510c783dafa7db4b94e7abf1ba4eb271819a,40,master,failed,86,2019-11-06 14:11:13 UTC,608207452,pull_request
608207122,8c45be4e0871d6fc91b98185c7f69dce2c05e8e2,41,master,failed,78,2019-11-06 14:11:07 UTC,608207123,pull_request
608207089,322446988edcc8da15f8c51f6dfd470465411eb9,,dependabot/bundler/mail-2.7.1,failed,83,2019-11-06 14:11:03 UTC,608207090,push
608207085,f1b6fb288671112bd23486182d9bc985d7425cd9,38,master,failed,79,2019-11-06 14:10:32 UTC,608207086,pull_request
608207055,f4d472a103ab423dddd778151ed233da237735af,39,master,failed,85,2019-11-06 14:10:18 UTC,608207056,pull_request
608207049,31531787f9bcf6b7c617b3a0776e039a95bdf51a,35,master,failed,83,2019-11-06 14:09:20 UTC,608207050,pull_request
608207047,ba11e627709f377d1eb2cbd0aaa4377a10afc815,,dependabot/bundler/rack-1.6.11,failed,77,2019-11-06 14:09:19 UTC,608207048,push
608207036,40d7df7708e78a5c017a586ceb23264c04d45988,37,master,failed,80,2019-11-06 14:09:18 UTC,608207037,pull_request
608207030,9250bce12d04f70da83e47b4dab58f9f5dc5fc29,36,master,failed,81,2019-11-06 14:08:50 UTC,608207031,pull_request
608207026,47ee62b87fa8e1c6c5fb716475d0ee9d6a92ed31,,dependabot/bundler/activerecord-4.2.11.1,failed,81,2019-11-06 14:08:36 UTC,608207027,push
608207024,a0f4470358aa316e784173274d4aa892ffc1f5d9,,dependabot/bundler/sprockets-4.0.0,failed,81,2019-11-06 14:07:37 UTC,608207025,push
608207020,9417bb31a6e2aca9fa034f92916ac7351f835666,,dependabot/bundler/actionpack-4.2.11.1,failed,79,2019-11-06 14:07:40 UTC,608207021,push
608207016,d1c1eca6483a429954920614a4f0c70e5646bb5a,,dependabot/bundler/activesupport-4.2.11.1,failed,79,2019-11-06 14:07:42 UTC,608207017,push
608207002,4a92d9ecdb7ad246d9b825807498f0492a6f4289,34,master,errored,46,2019-11-06 14:07:40 UTC,608207003,pull_request
608206983,c16dde62e997b8843b72bd0dee2b18b179639952,,dependabot/bundler/ffi-1.11.1,errored,44,2019-11-06 14:07:30 UTC,608206984,push
604446730,f80a7f77eb54ed76988b53630ac69485d2805b61,33,master,errored,51,2019-10-29 13:35:12 UTC,604446731,pull_request
604446718,ddfd44c2532287557aa24c4f448b7224cb7c1168,,dependabot/bundler/yard-0.9.20,errored,49,2019-10-29 13:35:07 UTC,604446719,push
596095716,7d546842508d8d049a9c789008e822894abe9f2c,,ng,failed,101,2019-10-10 12:52:21 UTC,596095717,push
596040453,6d759c8ae40e25722187eca943af5bca05713cf7,,ng,failed,114,2019-10-10 10:34:26 UTC,596040454,push
507912792,ee24b073a7d69b03eee1386dc96ef6c07ca86d35,30,master,failed,133,2019-03-18 15:30:41 UTC,507912793,pull_request
507378955,e147e8c67a363176d8ef683e6442ad41fa0ab240,30,master,failed,142,2019-03-17 03:55:26 UTC,507378956,pull_request
505821382,96c1937f8f4096bfaed48c1533c3a26b824f057a,30,master,failed,146,2019-03-13 15:26:03 UTC,505821383,pull_request
488557052,6e58dd302b0f23447098120e9642f993a20ec77f,,ng,failed,125,2019-02-04 15:43:09 UTC,488557053,push
439621438,f0433abeea5c421b36074158efe727e778081d4b,,ng,failed,100,2018-10-10 12:45:52 UTC,439621439,push
426117440,ba202755a22737cd54e95429b509af17aa257bad,30,master,passed,114,2018-09-08 15:09:11 UTC,426117441,pull_request
420471727,24920752c9d9a38fe11e006183048563f6146955,,ng,failed,108,2018-08-25 11:57:26 UTC,420471728,push
391100306,8b0889ec28c916e251aedffb8bdc9deb94b4782e,,ng,passed,107,2018-06-12 05:05:33 UTC,391100307,push
390769083,e3589745ebe61c8e08ee32ae2e8eb654045e75a3,,ng,failed,113,2018-06-11 13:06:54 UTC,390769084,push
362980808,bd3ec31974c03000d8bfc7b35ef11fd7f931875e,,master,errored,57,2018-04-06 07:11:41 UTC,362980809,push
336035105,fd1e401d837bbd7268df308ad6dfec07076ecdf6,,ng,passed,147,2018-02-01 10:27:02 UTC,336035106,push
336013160,12f59aa8c7bad116bc2b2e9f542d784e39b5bee5,,ng,passed,133,2018-02-01 09:19:46 UTC,336013161,push
333679109,2d0313ff45a848e24e85f15788ede1abe4a6bc30,,ng,passed,122,2018-01-26 11:27:13 UTC,333679110,push
333165273,47feae225f9913df8e01f351ba2173918c0f6579,,ng,passed,139,2018-01-25 08:35:39 UTC,333165274,push
333150492,e72bbb1e746c651f7f74a3a5e94546eabe47144c,,ng,passed,125,2018-01-25 07:36:32 UTC,333150493,push
332711032,6f4999a8b70bc4f2afde05a0798d24664175954d,,ng,passed,122,2018-01-24 10:05:51 UTC,332711033,push
332696191,dffc935af99e3d94a0c7ed5eb3048346fcea793c,,ng,passed,145,2018-01-24 09:24:10 UTC,332696192,push
332305364,9668530b7bfc2144ee79402be0699a00b9b6ce26,,ng,passed,184,2018-01-23 13:54:24 UTC,332305365,push
332252609,f79ca115c38af841a2c321576d9fed7a19d91dad,,ng,passed,116,2018-01-23 11:25:42 UTC,332252610,push
332249927,15ff988d17969387da712955e751c97577461657,,ng,passed,138,2018-01-23 11:18:25 UTC,332249928,push
332168128,e59f77ed843cb4b92354900d08b370c4c673a93a,,ng,passed,203,2018-01-23 07:10:34 UTC,332168129,push
331816440,fe9f6c782adb44031bae0a545fa0079baccaabc5,,ng,passed,151,2018-01-22 13:48:09 UTC,331816441,push
331745795,3cf42f7b5b12242703ba29f94927f3308f22cdd1,,ng,passed,141,2018-01-22 10:36:38 UTC,331745796,push
331742532,49965c7c9c3611ce0bb9b4d01fb536803cadb67a,,ng,failed,120,2018-01-22 10:27:46 UTC,331742533,push
331713932,8fdd7d621e41667ab1e9e6b79ba6f6e8bca20722,,ng,passed,135,2018-01-22 09:05:58 UTC,331713933,push
330809799,1d4c0005d6ed8ca1f68a9133f40829400d50d831,,ng,passed,205,2018-01-19 13:29:51 UTC,330809800,push
330802617,ccdc0eadb25218f9c06489480cda34e72ccec230,,ng,passed,175,2018-01-19 13:10:04 UTC,330802619,push
330724404,3c009c3b3fca5fd1b0fd249aac5e45b9246e0133,,ng,passed,140,2018-01-19 09:23:57 UTC,330724405,push
329865423,43672f7bbae104f24bdda844a53e2de6c7181a40,,ng,passed,133,2018-01-17 13:17:14 UTC,329865425,push
329051818,d52976a821347c0b9e081dc8903df593533a688f,,ng,passed,134,2018-01-15 13:32:44 UTC,329051820,push
329049605,e1fd5bcd6d27c47f700f4b5279dfe62a053d0dd4,,ng,passed,142,2018-01-15 13:27:07 UTC,329049606,push
327616787,247fcff3d9571bb4bc0b8e0c0df4f09f97aeffe7,,ng,passed,163,2018-01-11 10:19:24 UTC,327616788,push
325020666,688e08954bc26fc924c5fade698a4b5e2eb4832b,,ng,passed,154,2018-01-04 13:11:30 UTC,325020667,push
324944268,21c25692ba28fb187132482ea2335ee5b17ae7e2,,ng,passed,129,2018-01-04 08:52:41 UTC,324944269,push
324551946,d3252e697447104583aa24eae21ab984190f5e9b,,ng,failed,127,2018-01-03 12:02:22 UTC,324551947,push
324542021,458e9ca7d414bfc53a36c70b0cd60fe108743b42,,ng,failed,102,2018-01-03 11:29:53 UTC,324542023,push
324071868,6dea41ba816586a5260a3c501cc680936c544a73,,ng,failed,84,2018-01-02 10:15:56 UTC,324071869,push
324065655,72bf61013d5537169439be910d1ef875c7845919,,ng,passed,107,2018-01-02 09:50:17 UTC,324065656,push
324057403,5cb3e17acbb4358dfbf8715edb5e49f95b0ab21c,,ng,failed,86,2018-01-02 09:13:51 UTC,324057404,push
322902448,0022c714fcf20461b09713f2b9cc89f9071b4206,,ng,failed,116,2017-12-29 14:16:19 UTC,322902449,push
300143715,839998f04741336d9ad9b0ba9bdb27cd89a55170,,ng,failed,98,2017-11-10 12:35:06 UTC,300143716,push
300139746,0730ab42575364bdd55fbb155cef3c195d2046d9,,ng,failed,144,2017-11-10 12:28:13 UTC,300139750,push
300137585,fe6fb865203e0dd3d784de94d43f199704974902,,ng,failed,99,2017-11-10 12:17:15 UTC,300137586,push
300094130,bf97eea255100685b96ec353309ea6fca4a234a0,,ng,passed,130,2017-11-10 10:17:39 UTC,300094131,push
300092496,05214e92616409fb9ec2464e035e1551f456fb93,,ng,passed,214,2017-11-10 10:13:19 UTC,300092497,push
300079417,237a5fdc0a96e891479c23c5e334f66a1acf95e3,,ng,passed,156,2017-11-10 09:40:04 UTC,300079418,push
300069045,b42567945a81dcadf59347cfbf1437ca300ef3cb,,ng,passed,192,2017-11-10 09:08:26 UTC,300069046,push
300063693,bd97fd8714fd5b95da97f446ce45bc7affb4a8bb,,ng,passed,120,2017-11-10 08:51:02 UTC,300063694,push
300062116,ede6b5b4aaa9cc0da42c382fc2a24d4e795df985,,ng,passed,134,2017-11-10 08:46:03 UTC,300062117,push
300061265,0665e9dd23dadcf43961084822d59b697bdbdb07,,ng,passed,106,2017-11-10 08:43:05 UTC,300061266,push
299647098,db505056dd19f8d555058d7a86e39ad81613a065,,ng,passed,130,2017-11-09 13:54:13 UTC,299647099,push
299641691,e104a3659e7b656e98dc14aaf1535b5e0a1f2088,,ng,passed,113,2017-11-09 13:40:45 UTC,299641692,push
299617302,55f3ad4c3beb6ab856a8d6b28d122b9834dee3a8,,ng,passed,152,2017-11-09 12:41:45 UTC,299617303,push
299540888,380f5af6cda0f09410bcb696968f99efd82e0c27,,ng,passed,136,2017-11-09 09:26:16 UTC,299540889,push
299050457,14f591cb059b1d8431a4c4b9d5a6a29f3496e9cd,,ng,passed,107,2017-11-08 11:25:16 UTC,299050458,push
297904914,5f88fd65d21f10b5921ac10b163e19dee831d610,,ng,passed,123,2017-11-06 10:16:07 UTC,297904915,push
297893344,787470d1ba15ce57b61be81e65c642127c81a73a,,ng,passed,117,2017-11-06 09:46:32 UTC,297893345,push
297878586,fcc591d789c071abf2d244afed20295ecfe6d820,,ng,passed,152,2017-11-06 09:07:03 UTC,297878591,push
296823997,fc1018264bad5897d1608d2aad22d63c3e36215e,,ng,passed,118,2017-11-03 14:56:11 UTC,296824000,push
296277571,21b60c0a88615d04cecd23ea846d26386d0df550,,ng,passed,131,2017-11-02 13:58:25 UTC,296277572,push
296240292,066a3290c3ba380d9bbd032d28f3218d45ddab34,,ng,passed,111,2017-11-02 12:34:14 UTC,296240293,push
296233523,9d040e5b63f0a0b0abd9de66288589bf7e0741a1,,ng,passed,115,2017-11-02 12:20:45 UTC,296233524,push
296156727,54b2f333dc0f62866bfcfb222d408069a910bee8,,ng,passed,164,2017-11-02 08:49:12 UTC,296156728,push
294841973,dd9ab533a010ba18f1439e656fb9ac0d9a3c9ee7,,ng,passed,104,2017-10-30 13:00:09 UTC,294841975,push
294743659,798976f82be609bd6f27fdff0f7196a73f09620f,,ng,passed,153,2017-10-30 08:25:20 UTC,294743660,push
293067823,acdaec1790e42f1b6d7eb5e2d1bc8a02e53956b2,,ng,failed,107,2017-10-26 09:56:20 UTC,293067824,push
292512445,cf6329389b206b68292ff454daa0b6539c676fdc,,ng,failed,159,2017-10-25 09:02:06 UTC,292512446,push
292454852,10530df53862d4eddc2d86a037fc43d47f27673e,,ng,failed,116,2017-10-25 05:55:49 UTC,292454853,push
291493297,b3a28c2a3056d4e91f5bfb37a18cc8d33fcc277e,,ng,passed,120,2017-10-23 11:34:44 UTC,291493298,push
291388254,67172ca0eb14210e19c2e5465319d1df68ac97b9,,ng,passed,114,2017-10-23 06:36:55 UTC,291388255,push
289943900,a6bb8de42b6bed1ed3cfd67732551ee2368de3f2,,ng,passed,136,2017-10-19 12:02:11 UTC,289943901,push
289943400,901eb0c13620e3db10beedd6eff4a9bfa57c918f,,ng,passed,133,2017-10-19 12:00:51 UTC,289943401,push
289919060,9c33d4f7d5f85e7d75f29c90ad68b62ea52571d3,,ng,passed,118,2017-10-19 11:00:39 UTC,289919061,push
289913913,87747bd729ee4557d940ae6c4d067169821ad4a7,,ng,passed,131,2017-10-19 10:49:03 UTC,289913914,push
289903042,8645eae429320a3509c75b5fc94b9fa4708bc7cc,,ng,passed,130,2017-10-19 10:19:41 UTC,289903043,push
289860026,70bf382ac5705b1ce48917af535da0462f280141,,ng,passed,147,2017-10-19 08:26:20 UTC,289860027,push
289429119,14eda30c4dfb2aca9c2f632bb849a05543cda9a4,,rest_api,passed,103,2017-10-18 09:52:51 UTC,289429120,push
289424456,b12cd8f05826b6b3e8ee888f453d766698f9b962,,rest_api,passed,128,2017-10-18 09:40:00 UTC,289424457,push
289413619,ffc80f88ee6385d3c19fcdf0fa632cf6794bd34b,,rest_api,passed,127,2017-10-18 09:10:45 UTC,289413620,push
289409059,babddf297a7ec42af941ddaafdc126513aeb2254,,rest_api,failed,146,2017-10-18 08:57:41 UTC,289409061,push
289401338,e50b8c87d63dd45763b1f61557e7514d4061780c,,rest_api,failed,167,2017-10-18 08:35:34 UTC,289401339,push
288919564,f3f10f4df2e25c1540459c8dbee2a31ebb75a5a1,,ng,passed,139,2017-10-17 07:33:23 UTC,288919565,push
288745445,af45c4a0e79552c8bcef5212af49b38503936182,,ng,passed,137,2017-10-16 20:27:32 UTC,288745446,push
288571958,cabeebd1a4805dd3d1288d0b99a65ff948711171,,ng,failed,125,2017-10-16 13:54:56 UTC,288571959,push
288469019,c4427dd72edac0c693b552219bbd61ac3c57067a,,ng,failed,120,2017-10-16 09:00:07 UTC,288469020,push
286717874,7e1497de8f544d69e1b5fdfdb1fe90c9e70e5604,,ng,failed,113,2017-10-11 21:11:21 UTC,286717875,push
286024890,04ddff228791cd4fd72efc68da4749c3a1b33b26,,ng,errored,44,2017-10-10 12:38:41 UTC,286024891,push
286022997,04ddff228791cd4fd72efc68da4749c3a1b33b26,,development,errored,67,2017-10-10 12:34:07 UTC,286022999,push
250680391,04ddff228791cd4fd72efc68da4749c3a1b33b26,,master,failed,59,2017-07-06 08:53:59 UTC,250680392,push
247042035,55b5d32ef3db3a5833cdff1a989277ce1eae8736,,master,failed,96,2017-06-26 10:14:30 UTC,247042036,push
239859518,e5a9093f8b8aaa3fc46372e461c9f1e7b5462501,,master,failed,73,2017-06-06 07:32:17 UTC,239859519,push
238666645,d7683c2e83e7ed650afacd5ec11b42e64b02d1d8,,master,passed,103,2017-06-02 08:55:25 UTC,238666647,push
237492102,3a2af2330b29b7669bdd4891128c0c2767a554ec,,master,failed,106,2017-05-30 12:15:08 UTC,237492103,push
108308669,af7d8fade3d9555f87b8369fc6df2141749fff1b,,master,passed,79,2016-02-10 15:57:39 UTC,108308670,push
106932543,9c0bf25b0e66e9b337c8e82a2a6367b45222602e,,master,passed,54,2016-02-04 08:14:19 UTC,106932544,push
104861612,5d80ec2e774bc0f40185b04264a0234d9c7a526a,,master,passed,81,2016-01-26 10:34:42 UTC,104861618,push
104860680,0360b515c5f9cb13ca0f55ed797cddbbbec3bace,,master,passed,64,2016-01-26 10:28:27 UTC,104860681,push
88297531,b70a41075d2f2dc6018a05318a5d69562b2382e4,,autosubscribe,errored,27,2015-10-30 09:10:38 UTC,88297532,push
85125129,9f0bc2847d9ff741a6b3e7a7f44113af1170ceed,,v0.9.2,passed,81,2015-10-13 13:52:34 UTC,85125130,push
85122643,9f0bc2847d9ff741a6b3e7a7f44113af1170ceed,,master,passed,76,2015-10-13 13:39:54 UTC,85122644,push
85122222,eeaffd7bc962b4f4d420ad9d2e99ba453c8dbd99,,master,errored,38,2015-10-13 13:37:51 UTC,85122224,push
85121656,5607bc6baa351b91d68a3996385848d1d347406c,,master,passed,71,2015-10-13 13:34:25 UTC,85121657,push
85121054,6dd9acb74c33718ba4d568bfdd6e47c5ded2c4ee,,master,errored,34,2015-10-13 13:31:29 UTC,85121055,push
85121048,6dd9acb74c33718ba4d568bfdd6e47c5ded2c4ee,,development,errored,30,2015-10-13 13:31:30 UTC,85121049,push
84912744,979db02872cebd050acd0b1851dd0bf271a011ca,,development,passed,72,2015-10-12 13:03:24 UTC,84912745,push
84288775,4623bb21b63c3c6c43d6ed79dbbeb8990d73a339,,development,passed,73,2015-10-08 12:18:05 UTC,84288776,push
84272871,3b112b3b91dc02b39010b0860da84a3cec52221a,,development,passed,79,2015-10-08 10:17:58 UTC,84272872,push
84105606,0b555b43b5489c2d03f08065fbfd60476912ab01,,development,passed,60,2015-10-07 14:28:26 UTC,84105608,push
84099796,649a2010d668bcc13dc650c76250fbff935e2e80,,development,passed,78,2015-10-07 13:59:02 UTC,84099797,push
84098870,b5eb33b8e9cebc9ff251fc5d7969d6b1279ce84e,,development,failed,64,2015-10-07 13:54:35 UTC,84098875,push
84098488,3faefe34d3859e5fb6c33e25f9195da3974ef2d1,,development,failed,35,2015-10-07 13:52:56 UTC,84098489,push
84095295,d904758d61f97fbbaf973e733acf5f3165cb7fbe,,development,failed,45,2015-10-07 13:35:03 UTC,84095298,push
