build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761412650,a7a687c9cf53ae50d50f256729b9732aece574dc,,master,passed,194,2021-03-04 09:05:34 UTC,761412651,761412652,761412653,761412654,761412655,push
761370688,512a05d6066a7da4f5d04d06aa91097f8cf95b8c,408,master,passed,199,2021-03-04 01:10:40 UTC,761370689,761370690,761370691,761370692,761370693,pull_request
761211429,8df00700bb5ef69c6fc24989889a595f098faca1,408,master,failed,225,2021-03-03 01:07:19 UTC,761211430,761211431,761211432,761211433,761211434,761211435,pull_request
761114754,692cd11078988528fd24e252122df50051a06692,409,master,failed,230,2021-03-02 11:56:44 UTC,761114755,761114756,761114757,761114758,761114759,761114760,pull_request
761037566,0cebbdb47a4c1c662330cf4d43222b69048a25fd,408,master,failed,232,2021-03-01 23:49:09 UTC,761037567,761037568,761037569,761037570,761037571,761037572,pull_request
760945316,44043c42570b953973601a90edc2f8426a17e794,408,master,failed,237,2021-03-01 14:02:23 UTC,760945317,760945318,760945319,760945320,760945321,760945322,pull_request
758552748,f9c61dee1917ef625bb1ef0deaef70cf1caf4b73,405,master,passed,248,2021-02-11 17:10:32 UTC,758552749,758552750,758552751,758552752,758552753,758552754,pull_request
758550545,468ede7b8bd3bb652b961c34bb47fd4c0a1c6149,405,master,canceled,0,,758550546,758550547,758550548,758550549,758550550,758550551,pull_request
758548860,553e867bee1dc02c28ef5992afd28080118ff4ef,405,master,canceled,0,,758548861,758548862,758548863,758548864,758548865,758548866,pull_request
758542193,5e0ddbbef6c6f7a0b6dc3be5be6215b7cd1b3473,405,master,canceled,0,,758542194,758542195,758542196,758542197,758542198,758542199,pull_request
758541994,45194886b81b825b15718cfeb9148d8e58d6c925,405,master,canceled,0,,758541995,758541996,758541997,758541998,758541999,758542000,pull_request
758530591,3efb9c0e234f3e380fbd3725e4c9f5c7311f13fd,405,master,failed,241,2021-02-11 13:59:49 UTC,758530592,758530593,758530594,758530595,758530596,758530597,pull_request
753502166,560e962b24705a2057f311b9bedb7d8fc668d787,,master,passed,237,2021-01-08 08:50:26 UTC,753502167,753502168,753502169,753502170,753502171,753502172,push
753496309,1095488b429cbbd512a55c940b026610c8774e96,402,master,passed,266,2021-01-08 07:48:10 UTC,753496310,753496311,753496312,753496313,753496314,753496315,pull_request
