tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
461923447,461923448,1372,7149683b27c0a11b9de2d7b064dc680b1077dc73,android,ok,0,plain,"",false,,,,,,,,,"",,
461926314,461926315,1373,3d484a929b03d995d76ae2cc3c066ed015a5712c,android,ok,1,plain,"",false,,,,,,,,,"",,
461927077,461927078,1374,2c0d8e80e7ef9e1485d69746bf63b133a8afc42f,android,ok,1,plain,"",false,,,,,,,,,"",,
461930902,461930903,1375,f33d2c9119cd9ad36a1233b47f5263672ca5319a,android,unknown,4,plain,"",false,,,,,,,,,"",,
461930940,461930941,1376,7a15a2b238b3eaddc3352f8f9236a4acd11c3efe,android,ok,1,plain,"",false,,,,,,,,,"",,
461931383,461931384,1377,7a15a2b238b3eaddc3352f8f9236a4acd11c3efe,android,ok,1,plain,"",false,,,,,,,,,"",,
462416944,462416945,1378,46e3d555ad3fbf73daff5d27397c5ebf9485b952,android,ok,0,plain,"",false,,,,,,,,,"",,
462991756,462991757,1379,70f3410cffb28ad6d2ab6454311fd20b5562522a,android,ok,1,plain,"",false,,,,,,,,,"",,
463889631,463889632,1380,49582a86cb724ca1826a34e2d967aaebc020d2c0,android,ok,0,plain,"",false,,,,,,,,,"",,
463975254,463975255,1381,b6e9dff1373c2e11344b41a933f3bf8b5db3508f,android,ok,1,plain,"",false,,,,,,,,,"",,
463975832,463975833,1382,9fc9a8068ad3a7004accc5dc0dbb24cce39cd569,android,ok,2,plain,"",false,,,,,,,,,"",,
464806137,464806139,1383,bc07e1d59558959de7ced4288f867f83dcf504c8,android,ok,0,plain,"",false,,,,,,,,,"",,
465657571,465657574,1384,607eec485d8e5636cfa53698b41be515b9512ca0,android,ok,1,plain,"",false,,,,,,,,,"",,
465658449,465658450,1385,1598913b397a195368c95afe7dedff956a48f52f,android,ok,0,plain,"",false,,,,,,,,,"",,
465659459,465659460,1386,64888333ca9658ab611385c89fbc2b79d0189b59,android,ok,1,plain,"",false,,,,,,,,,"",,
465724809,465724810,1387,ca534532d1a8871293e802240e5625b3180e1a84,android,ok,1,plain,"",false,,,,,,,,,"",,
465725152,465725153,1388,83504650639c38d67fbcfcb4399e6a2f91a99e78,android,ok,0,plain,"",false,,,,,,,,,"",,
466331490,466331491,1389,5c0dc697586d8ee1c21caade2a86b6951bd752df,android,ok,2,plain,"",false,,,,,,,,,"",,
466897141,466897142,1390,c36f9c615cd3484a712fc96f526b8f8a0ed553a1,android,ok,1,plain,"",false,,,,,,,,,"",,
468719717,468719718,1391,dd6db21440831e5bbd191819382e24d27ebc898a,android,ok,1,plain,"",false,,,,,,,,,"",,
468719721,468719722,1392,46466949f54da1d215ebbc83b58d996e094d6c6d,android,ok,0,plain,"",false,,,,,,,,,"",,
469196528,469196529,1393,036c76ebc8d0ae3d762f7de95b61945e376cc0b2,android,ok,2,plain,"",false,,,,,,,,,"",,
469196994,469196995,1394,069095e69cd2e94e241ae9cdaaa13be2e3bd0f98,android,ok,1,plain,"",false,,,,,,,,,"",,
469201305,469201306,1395,069095e69cd2e94e241ae9cdaaa13be2e3bd0f98,android,ok,1,plain,"",false,,,,,,,,,"",,
469201840,469201841,1396,3937a4ccd4283b8a3271a54ded384fcd888c19cd,android,unknown,4,plain,"",false,,,,,,,,,"",,
469201887,469201888,1397,a29feda9eb684a59c42eb7dc415b4514ea438eae,android,ok,1,plain,"",false,,,,,,,,,"",,
469204216,469204217,1398,a29feda9eb684a59c42eb7dc415b4514ea438eae,android,ok,3,plain,"",false,,,,,,,,,"",,
470633228,470633229,1399,0cdf18918974a48b93bbdc79b04440d064aa1e2c,android,ok,0,plain,"",false,,,,,,,,,"",,
471634597,471634598,1400,eb3d3968c0d46ce9f3352c50bb6afc72d972ddf1,android,ok,2,plain,"",false,,,,,,,,,"",,
471636672,471636673,1401,73bbb0a1ba264679ecbd9d465c7f2ed540ac4c0e,android,ok,0,plain,"",false,,,,,,,,,"",,
471639910,471639911,1402,23682ea2a07932236a4fbe9b2290b979373b8c79,android,ok,0,plain,"",false,,,,,,,,,"",,
472227065,472227066,1403,15d978109682db4380fb5a4ada25c1990a05e93d,android,ok,0,plain,"",false,,,,,,,,,"",,
