build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
603379550,02a9bdfc5ce46618337ffb8cdc8d711a14f348fc,,test-github-actions,passed,182,2019-10-27 00:02:26 UTC,603379551,603379552,push
603378047,9f89e4bdaeb67299aa765c3389c2cc23dbe9c30d,,test-github-actions,passed,156,2019-10-26 23:54:38 UTC,603378048,603378049,push
603377423,bba0488aa84e26c6b107573aced5a7e1cad83974,,test-github-actions,passed,179,2019-10-26 23:51:04 UTC,603377424,603377425,push
603208626,98799aaa82676d658cb39de43075f1a0eb033eb2,,v4.7.0-beta1,passed,176,2019-10-26 11:53:45 UTC,603208627,603208628,push
603208465,2099403bf8ed456d0a005b91b5c0174c42ec01cc,435,master,passed,193,2019-10-26 11:52:45 UTC,603208466,603208467,pull_request
603208456,98799aaa82676d658cb39de43075f1a0eb033eb2,,macos-catalina,passed,179,2019-10-26 11:52:36 UTC,603208457,603208458,push
603204699,8338f28a694e74d197f0eab42b256f5288013207,,v4.7.0-beta1,passed,181,2019-10-26 11:33:17 UTC,603204700,603204701,push
603204089,001c498a9dd131aa9292c0c6cad98aa56f0fda67,435,master,passed,186,2019-10-26 11:29:37 UTC,603204090,603204091,pull_request
603203713,8338f28a694e74d197f0eab42b256f5288013207,,macos-catalina,passed,148,2019-10-26 11:28:26 UTC,603203714,603203715,push
603203469,8a0cc7b57d2907dabdb0a7992494bae99863499e,,macos-catalina,errored,93,2019-10-26 11:26:29 UTC,603203470,603203471,push
603201357,3a02b18a9f374abfec225f859eed9ca98cf87118,,macos-catalina,passed,188,2019-10-26 11:17:28 UTC,603201358,603201359,push
603201192,19ac6dc10d905a668aac3cb4dd2e785e87c187a1,,macos-catalina,errored,42,2019-10-26 11:16:49 UTC,603201193,603201194,push
603201112,25f7db6bd3c9f5baead838f158593150e4e76ac1,,master,passed,177,2019-10-26 11:16:17 UTC,603201113,603201114,push
603197936,9cad51f218140abe482cd65e7cf0ed8396e26819,,go-1.13,passed,174,2019-10-26 11:00:17 UTC,603197937,603197938,push
603197593,dfb7af313757b6433637c8fdbf93087ab7dc1dfe,,macos-catalina,passed,200,2019-10-26 10:58:41 UTC,603197594,603197595,push
603187156,56866e02698af34ec871a58523c1ee494bece398,,master,passed,218,2019-10-26 10:05:47 UTC,603187157,603187158,push
603186704,091d2dc54aeb5d57e855c4df229f2057f5902a66,,master,passed,217,2019-10-26 10:03:49 UTC,603186705,603186706,push
603184367,7f0a17a2a3b45ad272a42d51305f417d46d2e67d,,master,passed,226,2019-10-26 09:50:58 UTC,603184368,603184369,push
