build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
760137428,16952605e88766b97e2f6b721ce0ca07f55b7cdc,7,master,failed,67,2021-02-23 09:43:46 UTC,760137429,pull_request
760137357,d064a578d9ed480ce0cf7736486b09dcf7c132dc,,feat/pion-v3,failed,67,2021-02-23 09:42:48 UTC,760137358,push
519532409,6fb075b468575d9b78bc8315094bd87941528121,,master,passed,82,2019-04-13 02:44:20 UTC,519532410,push
519530993,348f5059fdc3dca316a63ebdd345f0f45b6773e9,,master,failed,95,2019-04-13 02:36:47 UTC,519530994,push
517360194,a3d5fe22c933486cb1df8c84dc0c785a1730f60f,,master,passed,98,2019-04-08 16:52:24 UTC,517360195,push
517352591,25e7a6ec16256edaf5dde5aa7d8e8bce26a40f41,,master,passed,81,2019-04-08 16:36:52 UTC,517352592,push
517204115,eb18b29fde58f057d541b5a17eec2079386946ad,3,master,passed,85,2019-04-08 11:13:21 UTC,517204116,pull_request
517061965,b9af48c7fc431b678aacd39f205f3be3a2d21bb0,,v0.1.0,passed,82,2019-04-08 03:31:27 UTC,517061966,push
517060516,b9af48c7fc431b678aacd39f205f3be3a2d21bb0,,master,passed,100,2019-04-08 03:24:23 UTC,517060517,push
517059429,eb3f63daa31f1e7569642d30a23623fc75105511,,master,failed,123,2019-04-08 03:17:56 UTC,517059430,push
517048435,4439399b82d4362362a2605322a20ce996350b4d,,master,failed,678,2019-04-08 02:23:04 UTC,517048436,push
517046818,b8199202a3138c70828faf00ee475e2126506367,,master,failed,674,2019-04-08 02:16:30 UTC,517046819,push
516734271,a035188b242847d9603d7d732942a253b6abfeae,,master,failed,687,2019-04-07 01:41:29 UTC,516734272,push
516711652,11c8896222a4f6b0ef64bc66377887ce8c6d5348,,master,failed,689,2019-04-06 23:06:12 UTC,516711653,push
516711399,11c8896222a4f6b0ef64bc66377887ce8c6d5348,,develop,failed,671,2019-04-06 23:06:08 UTC,516711400,push
516002916,f66992cb03ca4240d4a9a4f4728e1b43f5720f86,,develop,failed,693,2019-04-05 02:30:35 UTC,516002917,push
515999962,ef90043064997ea94abe23e1839d11daa7d5c62f,,develop,failed,694,2019-04-05 02:13:20 UTC,515999963,push
514529559,0d6c7fbe0a721ee08b708da0593371a8424a4551,,develop,errored,37,2019-04-02 07:04:56 UTC,514529560,push
514451292,2bfc42ec288e78b9794010ff200505b7f8331197,,develop,errored,39,2019-04-02 01:33:27 UTC,514451294,push
507597545,d2c04c206be42412b2c8ffd6bd61b191c14774a8,,master,passed,98,2019-03-17 21:37:04 UTC,507597546,push
507592558,4cc1d7a21af8010c81a8f818e6a8a84e86a3925d,,master,passed,98,2019-03-17 21:17:27 UTC,507592559,push
507588708,b20927e7777bfda9d86a7b3072ef86bc13a02e4f,,master,passed,99,2019-03-17 21:02:54 UTC,507588709,push
507586337,470f8620aa0406703cb70651e3b4a78e0fff84be,,master,passed,97,2019-03-17 20:53:27 UTC,507586338,push
507560300,3f16a01076216487fad7847b0b4ad23001acfeb4,,master,passed,103,2019-03-17 19:10:52 UTC,507560301,push
507558460,cc207544b055fed3175f1e9155615a7bd074ffaa,,master,failed,98,2019-03-17 19:03:08 UTC,507558461,push
507557042,b68be71d669d89cdc5bc78719475a1e70954a93a,,master,failed,103,2019-03-17 18:58:16 UTC,507557044,push
507386616,fae0edc70db9b3881350b2480782fcfa696a64b9,,master,passed,110,2019-03-17 04:52:34 UTC,507386617,push
507384973,1eb980576a35ccb85914642a99ad83c565b478d2,,master,failed,202,2019-03-17 04:39:13 UTC,507384974,push
507376543,72f9fd5d687ce5d516a4255affb94b49d0b6b8c1,,master,passed,92,2019-03-17 03:38:30 UTC,507376544,push
507375185,02c5a8fb0e6e1d21c1b7f63e89a804a3bf061e72,,master,passed,93,2019-03-17 03:35:42 UTC,507375186,push
507320951,ab14188be989c94bb791b2466ca9a1e4301e9fc4,,master,passed,102,2019-03-16 22:21:59 UTC,507320952,push
507310961,1685c7ee13f52b3658d8a53c713e3a6dfdc1b383,,master,passed,96,2019-03-16 21:38:51 UTC,507310962,push
507310220,840080cb5564a73f828b8cbeb6a1679d3817407e,,master,failed,93,2019-03-16 21:35:17 UTC,507310221,push
505966220,fea762de77f45aef49530e68585dd40953a0dcf4,,v0.0.2,passed,92,2019-03-13 20:32:37 UTC,505966221,push
505966007,fea762de77f45aef49530e68585dd40953a0dcf4,,master,passed,82,2019-03-13 20:31:40 UTC,505966008,push
504551235,0e5ea54e67bf56b27fdac1e64d562d9547f16934,,master,passed,73,2019-03-11 07:11:07 UTC,504551236,push
504485726,4361c4105fcdff8db9c59e393687e4328bc98939,,master,passed,92,2019-03-11 01:41:52 UTC,504485727,push
504485009,65eff639ffbf956e5251dffa1087d515b1389814,,master,failed,49,2019-03-11 01:38:08 UTC,504485010,push
504476322,947da8c13c5d873b4fc9db98196a5cc9d38aedd6,,master,passed,100,2019-03-11 00:51:12 UTC,504476323,push
504422802,f9790dd054612823c2f6f6be824cb639f3cdc077,,master,passed,94,2019-03-10 21:19:58 UTC,504422803,push
504420942,006908061aa2bd55016fba2d98dcc85127d895e7,,master,failed,212,2019-03-10 21:15:22 UTC,504420943,push
504404362,ea0af8ba5b76d73d72cc1cb3124e590011078713,,master,passed,94,2019-03-10 20:15:43 UTC,504404363,push
504403578,a35eee7355739b270d5148d9bcc429e0387bcea7,,master,failed,77,2019-03-10 20:13:05 UTC,504403579,push
504402594,01f6403b6586a4c1fc4bc50de4ef9a33dde7c062,,master,failed,80,2019-03-10 20:09:42 UTC,504402595,push
504217056,82655a072414c4f14c75674c97362081a4c3a55b,,master,passed,188,2019-03-10 06:50:15 UTC,504217057,push
504203804,0a02c8ce2e71370ea12042bdd0cd890fa22a2166,,master,passed,89,2019-03-10 05:07:23 UTC,504203805,push
504201666,d88d49f516fc55856d8ec21ef6e5f4411f08bda4,,v0.0.1,passed,75,2019-03-10 04:53:35 UTC,504201667,push
