build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
687554545,e7d8f49ae75f4e7dd50a23ef0e8974e37b20005c,9586,master,passed,1050,2020-05-15 18:24:52 UTC,687554546,687554547,pull_request
687553320,dfadf70a7f418798feab0cf013a7765f1adb21f5,,master,passed,813,2020-05-15 18:21:44 UTC,687553321,687553322,push
687537876,e422fee6c14649b01c25e8a1d31b42d3093b4106,9610,master,passed,781,2020-05-15 17:33:11 UTC,687537877,687537878,pull_request
687530249,b5980a6b448c239a626633a874b9375bf198534c,9540,master,passed,814,2020-05-15 17:12:55 UTC,687530250,687530251,pull_request
687520997,5d10f1eb7728ddc3088119bc4ad90ee09fffa865,9610,master,passed,833,2020-05-15 16:45:41 UTC,687520998,687521000,pull_request
687501489,d7013efb9027b38c7135ce2874c576a65559c0b5,9579,master,passed,780,2020-05-15 15:51:32 UTC,687501490,687501491,pull_request
687486799,ad1e50ed31308e49b1457c7ec08246b1b5ca0eb2,9610,master,passed,757,2020-05-15 15:11:03 UTC,687486800,687486801,pull_request
687484708,d348ec0f6ce07ebc348085f251c23b94b54b6c0b,,master,passed,772,2020-05-15 15:07:11 UTC,687484709,687484710,push
687484391,13224106d072d991167b2df13e1efdcc896a06c3,9540,master,passed,826,2020-05-15 15:06:38 UTC,687484392,687484394,pull_request
687455716,f595958e5a7255c2d0535530f223b9c3446143ea,9540,master,passed,787,2020-05-15 13:53:11 UTC,687455717,687455718,pull_request
687400887,4c05dd9cc2e7ee44cc9e6f7c96e915a314535009,9540,master,passed,803,2020-05-15 11:44:38 UTC,687400888,687400889,pull_request
687317887,b730bd1396f0803612b3cc523b474aa049c18b57,,master,passed,805,2020-05-15 06:59:41 UTC,687317888,687317889,push
687307197,678ec7f3da75f7bc4141114958d5b9ce76b54e9b,9606,master,passed,762,2020-05-15 06:09:02 UTC,687307198,687307199,pull_request
687306805,419c28e642ca8cc26eeb4af0a5e25775ee4454b5,9598,master,passed,808,2020-05-15 06:06:55 UTC,687306806,687306807,pull_request
