tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
473054494,473054495,100,a10372251794fb9a9ae38f040ab3cb51ac62baf2,go,ok,3,go,gotest,true,false,0,0,,0,9,9,0,"",2.28,
473054512,473054513,101,e86821a7b6c04b5e410ff38422b141345dc86186,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2699999999999996,
473056935,473056936,102,8e3f85594e7e4e502ce16c0184846a1d1cd2c984,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
473056952,473056953,103,92247e978e1ea6dd13fbf62489c9b0e36f78c7c4,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
473060259,473060260,104,cc2d775bb7bc5a0376eb36c047c81f08b7fdb79d,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
473060283,473060284,105,1668fabe5297971b0c2a6b0547bf59fb0aeaa01e,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
473534486,473534487,106,310908535fbe3e4575dcb9363fa4971c13e481e9,go,broken,4,go,gotest,true,true,0,2,,0,0,-1,1,TestConnect#github.com/Terry-Mao/goim/internal/logic,0.05,
473534514,473534515,107,0053e24b49fa978688476d3fea5d7a728054b59b,go,broken,1,go,gotest,true,true,0,2,,0,0,-1,1,TestConnect#github.com/Terry-Mao/goim/internal/logic,0.06,
473594051,473594052,108,de5783b8962f9409234bc1abf2debdc83f99a89c,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
473594064,473594065,109,e59962867229ad989d46930cb3060375f815ece9,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.4699999999999998,
469105170,469105171,10,1f8eee56737df59455cfcea2afbb7059944cad95,go,unknown,1,go,"",false,,,,,,,,,"",,
473595901,473595902,110,ef50304a9b3d5d3c1021c49de0e86d984f40b95e,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
473595908,473595909,111,03ea4440a08a893c13e7f27ef14efa18c68a74d4,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.23,
475987156,475987157,112,d53de55becc959683a8fe789b45a64a9e3a95c5b,go,ok,3,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
475987181,475987182,113,33ff0ec479b6ee619838466dfd0eee96e49cab0e,go,ok,3,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
475987771,475987772,114,53db485e8d446dc146d71db35270cd328381cc63,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2399999999999998,
475988072,475988073,115,c60f25568c68c505b73ad2c5752006cb28abe64c,go,ok,3,go,gotest,true,false,0,0,,0,9,9,0,"",2.32,
475988749,475988750,116,dc2d0407f52d93462101e5f97b453cff9f4c685b,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
475989168,475989169,117,d53de55becc959683a8fe789b45a64a9e3a95c5b,go,unknown,4,go,"",false,,,,,,,,,"",,
475989487,475989488,118,dc2d0407f52d93462101e5f97b453cff9f4c685b,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.21,
475991328,475991329,119,c634e08eaab95d53308fb4cdf74776151438e6de,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.21,
469105186,469105187,11,4a4167caf32324ddb36ba6d25dde7a4f22782244,go,unknown,1,go,"",false,,,,,,,,,"",,
475991572,475991573,120,c634e08eaab95d53308fb4cdf74776151438e6de,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
475992582,475992583,121,df8910b13d216c6fd7b580ba933ddc237fef6026,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2399999999999998,
475992775,475992776,122,df8910b13d216c6fd7b580ba933ddc237fef6026,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
479479213,479479214,123,e708cc7463faaf7b2456742920f38739cf173d7c,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2399999999999998,
480694541,480694542,124,e708cc7463faaf7b2456742920f38739cf173d7c,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
494394100,494394101,125,e708cc7463faaf7b2456742920f38739cf173d7c,go,broken,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
496395167,496395168,126,c0995247742961b78bbac9b6f6093568381a9661,go,broken,0,go,gotest,true,false,0,0,,0,9,9,0,"",12.249999999999998,
499067211,499067212,127,0ede10b563048a1528f79298f5996bdd01589ee9,go,ok,0,go,gotest,true,false,0,0,,0,9,9,0,"",2.2299999999999995,
501298103,501298104,128,54e30125656057b06bca97490e7a3618cd3d8d5c,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2399999999999998,
507376007,507376008,129,54e30125656057b06bca97490e7a3618cd3d8d5c,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",2.2199999999999998,
469107273,469107294,12,4850c981dd89627aa800646ef2f204b142718076,go,broken,1,go,gotest,true,true,0,1,,0,0,0,0,github.com/Terry-Mao/goim/internal/logic,600.0,
520556736,520556737,130,b2df0379681bdb40fb32f25838286dbcd267a589,go,unknown,0,go,"",false,,,,,,,,,"",,
520888915,520888916,131,fe27fc7b908304ea190fda6f8dcdc2183632c3b1,go,unknown,0,go,"",false,,,,,,,,,"",,
521070233,521070234,132,54e30125656057b06bca97490e7a3618cd3d8d5c,go,unknown,1,go,"",false,,,,,,,,,"",,
521824617,521824618,133,6db365cd8a15304983e4d1b2770a67147a4f1711,go,unknown,1,go,"",false,,,,,,,,,"",,
521889089,521889090,134,71b8f8efbd06079f583640ce3655fe2bd43ba247,go,unknown,1,go,"",false,,,,,,,,,"",,
522203852,522203853,135,70f0b6c237a351e2a342e93677e4122304d4ff85,go,unknown,1,go,"",false,,,,,,,,,"",,
522205024,522205033,136,598310cb58742afe1f622cee41a02e70129b236f,go,unknown,0,go,"",false,,,,,,,,,"",,
