tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
133716352,133716353,100,9c1eb39a4158235cae34fed09b5e65d9f6195f3f,go,ok,2,go,gotest,true,false,58,0,58,0,7,7,0,"",3.2399999999999975,
133716352,133716354,100,9c1eb39a4158235cae34fed09b5e65d9f6195f3f,go,ok,4,go,gotest,true,false,58,0,58,0,7,7,0,"",3.679999999999998,
133716352,133716355,100,9c1eb39a4158235cae34fed09b5e65d9f6195f3f,go,ok,3,go,gotest,true,false,58,0,58,0,7,7,0,"",2.699999999999997,
133716352,133716356,100,9c1eb39a4158235cae34fed09b5e65d9f6195f3f,go,ok,2,go,gotest,true,false,58,0,58,0,7,7,0,"",2.5699999999999967,
133731340,133731341,101,16ed2d53600774745c3e608e2b11c1c3c4ba65da,go,ok,5,go,gotest,true,false,59,0,59,0,7,7,0,"",2.819999999999999,
133731340,133731342,101,16ed2d53600774745c3e608e2b11c1c3c4ba65da,go,ok,6,go,gotest,true,false,59,0,59,0,7,7,0,"",2.6399999999999997,
133731340,133731343,101,16ed2d53600774745c3e608e2b11c1c3c4ba65da,go,ok,3,go,gotest,true,false,59,0,59,0,7,7,0,"",2.1599999999999993,
133731340,133731344,101,16ed2d53600774745c3e608e2b11c1c3c4ba65da,go,ok,3,go,gotest,true,false,59,0,59,0,7,7,0,"",6.339999999999995,
134024433,134024434,102,0276581effd27999b2c166318b9bc0ae4bb82c9f,go,unknown,3,go,"",false,,,,,,,,,"",,
134024433,134024435,102,0276581effd27999b2c166318b9bc0ae4bb82c9f,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",2.489999999999997,
134024433,134024436,102,0276581effd27999b2c166318b9bc0ae4bb82c9f,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",2.0,
134024433,134024437,102,0276581effd27999b2c166318b9bc0ae4bb82c9f,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",1.3700000000000003,
134028373,134028374,103,c27ab1fbb54f707b698fda9fbd86c736902c182a,go,unknown,3,go,"",false,,,,,,,,,"",,
134028373,134028375,103,c27ab1fbb54f707b698fda9fbd86c736902c182a,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",1.6200000000000003,
134028373,134028376,103,c27ab1fbb54f707b698fda9fbd86c736902c182a,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",2.3999999999999972,
134028373,134028377,103,c27ab1fbb54f707b698fda9fbd86c736902c182a,go,ok,1,go,gotest,true,false,60,0,60,0,7,7,0,"",4.759999999999997,
136050680,136050681,104,9a06fc5ba8b1fc009cffcd399dda3ec46a5d59a7,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",2.819999999999997,
136050680,136050682,104,9a06fc5ba8b1fc009cffcd399dda3ec46a5d59a7,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",5.259999999999997,
136050680,136050683,104,9a06fc5ba8b1fc009cffcd399dda3ec46a5d59a7,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",4.379999999999997,
136050680,136050684,104,9a06fc5ba8b1fc009cffcd399dda3ec46a5d59a7,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",4.139999999999997,
136050800,136050801,105,e9befeb0e9f3a1a57678a402c1bf302a06208b5e,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",5.289999999999995,
136050800,136050802,105,e9befeb0e9f3a1a57678a402c1bf302a06208b5e,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",2.6599999999999966,
136050800,136050803,105,e9befeb0e9f3a1a57678a402c1bf302a06208b5e,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",2.25,
136050800,136050804,105,e9befeb0e9f3a1a57678a402c1bf302a06208b5e,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",3.119999999999997,
136064322,136064323,106,038c078fb2abedaac35b22891c11cc4e7c1d090c,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",2.4199999999999973,
136064322,136064324,106,038c078fb2abedaac35b22891c11cc4e7c1d090c,go,ok,3,go,gotest,true,false,60,0,60,0,7,7,0,"",2.569999999999997,
136064322,136064325,106,038c078fb2abedaac35b22891c11cc4e7c1d090c,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",2.5199999999999965,
136064322,136064326,106,038c078fb2abedaac35b22891c11cc4e7c1d090c,go,ok,2,go,gotest,true,false,60,0,60,0,7,7,0,"",2.2099999999999995,
136100509,136100510,107,55d39bb394dbc7aed83b4f4ea06becdec87dd223,go,ok,3,go,gotest,true,false,59,0,59,0,7,7,0,"",5.839999999999994,
136100509,136100511,107,55d39bb394dbc7aed83b4f4ea06becdec87dd223,go,ok,8,go,gotest,true,false,59,0,59,0,7,7,0,"",2.8599999999999977,
136100509,136100512,107,55d39bb394dbc7aed83b4f4ea06becdec87dd223,go,ok,2,go,gotest,true,false,59,0,59,0,7,7,0,"",1.8800000000000003,
136100509,136100513,107,55d39bb394dbc7aed83b4f4ea06becdec87dd223,go,ok,2,go,gotest,true,false,59,0,59,0,7,7,0,"",2.7399999999999984,
