tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
375562955,375562956,1000,cf358d0bddd130aab72ed53c1314f8181e27ab27,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
375562955,375562957,1000,cf358d0bddd130aab72ed53c1314f8181e27ab27,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.03,
375563086,375563087,1001,cf358d0bddd130aab72ed53c1314f8181e27ab27,go,ok,6,go,gotest,true,false,0,0,,0,1,1,0,"",0.02,
375563086,375563088,1001,cf358d0bddd130aab72ed53c1314f8181e27ab27,go,ok,6,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
375564141,375564142,1002,f983414d7aeee6f7691e7bba3599b3fa72e82128,go,ok,6,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
375564141,375564143,1002,f983414d7aeee6f7691e7bba3599b3fa72e82128,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
375564253,375564254,1003,f983414d7aeee6f7691e7bba3599b3fa72e82128,go,ok,6,go,gotest,true,false,0,0,,0,1,1,0,"",0.02,
375564253,375564255,1003,f983414d7aeee6f7691e7bba3599b3fa72e82128,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
375575317,375575318,1004,aa0ed5872f6566e9152ed913ec1e3c449787a925,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
375575317,375575319,1004,aa0ed5872f6566e9152ed913ec1e3c449787a925,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
378072605,378072606,1005,ac74428ef3f00d5733095bbbe64ea6232705ca8a,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
