build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
648194137,d154ecc7baea40a1a1170c7f99f25a03175c0580,189,master,passed,301,2020-02-10 01:13:47 UTC,648194138,648194139,pull_request
647918147,f1aed1afe65510f4b2df863c48b92234609b591a,,master,passed,306,2020-02-09 04:15:36 UTC,647918148,647918149,push
571304679,85116634a44888834f2f1dc9de69df549bc21674,183,master,passed,356,2019-08-13 12:48:53 UTC,571304680,571304681,pull_request
530000812,f715c68f59f0b84dd839b895457661b9ce652430,180,master,errored,455,2019-05-08 21:40:16 UTC,530000813,530000814,pull_request
529995696,9f5e42d252f123173ce587c729f5e96cef825e80,179,master,errored,333,2019-05-08 21:27:22 UTC,529995697,529995698,pull_request
508448004,929303fa6a5825cc4225750d3bfacb0afc65aec3,177,master,passed,621,2019-03-19 15:29:58 UTC,508448005,508448007,pull_request
497991164,62d81f16c97a299313ddd546c92eddc1bc7c24ea,,master,passed,319,2019-02-25 05:29:58 UTC,497991165,497991166,push
497989793,a742d3b4654c892e2e54ccae7cc528022ba88872,,master,passed,296,2019-02-25 05:22:35 UTC,497989794,497989795,push
497985581,5e2e7b5efbe2700c572b02fc2e3f74889d68c233,,master,passed,341,2019-02-25 04:58:45 UTC,497985582,497985583,push
497985078,fa1eb8c1587e01e48fa5b394d4961a786e678b9f,,v0.36,passed,352,2019-02-25 04:55:59 UTC,497985079,497985080,push
469520806,fa1eb8c1587e01e48fa5b394d4961a786e678b9f,,master,passed,421,2018-12-18 13:46:11 UTC,469520807,469520808,push
454928368,fbd4f046451873bbf7d41bedda32ada8c5cfdf80,169,master,errored,268,2018-11-14 10:56:48 UTC,454928369,454928370,pull_request
393183155,5e8b9b6a98b51cccea1f8559da14b8c270434186,166,master,errored,250,2018-06-16 23:01:22 UTC,393183156,393183157,pull_request
391637322,a85b2ada4c2f887d639e87c0b5f00c422d176c26,163,master,passed,307,2018-06-13 08:10:01 UTC,391637323,391637324,pull_request
391632544,919aeb9911770ec7ec128e18c1c84c67b4858b78,163,master,passed,297,2018-06-13 07:55:50 UTC,391632547,391632548,pull_request
391631050,ee004061c0bbd88ef3f342083ac43fdd79edff56,165,master,errored,423,2018-06-13 07:51:09 UTC,391631051,391631052,pull_request
389531963,fbcf42ce5a66277a8060307cf959521d981ea47d,163,master,passed,261,2018-06-08 02:53:46 UTC,389531964,389531965,pull_request
379573366,5a5932a5710575b4492cde2366a5456228bc9c08,163,master,passed,289,2018-05-16 06:51:04 UTC,379573367,379573368,pull_request
379551911,ebe308a906f7731cd67d67db20ad6d0f27f93aae,163,master,errored,224,2018-05-16 05:16:53 UTC,379551912,379551913,pull_request
354017628,d41f4ea6e7fb1b8611383e7a487589b62198cb1c,158,master,failed,403,2018-03-15 20:06:01 UTC,354017629,354017630,pull_request
354017184,e27a83d847e9159c431ce99f5af0a089b45299b6,158,master,passed,299,2018-03-15 20:04:53 UTC,354017185,354017186,pull_request
354011330,c25f1f6f2a7de43231412556550975619393bfdf,158,master,failed,290,2018-03-15 19:51:00 UTC,354011331,354011332,pull_request
353998003,e28dfa78ee4378354465fda2d1e3114fd0e75047,158,master,passed,311,2018-03-15 19:22:52 UTC,353998004,353998005,pull_request
353991801,5535b440182f82fd7d8d208cf4537f3f5155bd23,158,master,failed,280,2018-03-15 19:09:21 UTC,353991805,353991812,pull_request
353991546,c90abe398b9628db67dadfc54bc6b5d6f17168d9,,master,passed,262,2018-03-15 19:08:34 UTC,353991550,353991552,push
353987747,3c63c24d2b0a2df0428c35088f79f547d7d18cc7,158,master,failed,254,2018-03-15 19:00:56 UTC,353987748,353987749,pull_request
353985342,f3091344e12e3c460d17881cee120758526ff915,158,master,passed,286,2018-03-15 18:54:58 UTC,353985343,353985344,pull_request
353981383,aa439f4d2b047d0066cc5633d4a36399d5ba6beb,158,master,failed,256,2018-03-15 18:44:21 UTC,353981384,353981385,pull_request
353980080,a3aab9f8c960828fcb59959e7b2cde19cef6ab17,158,master,failed,265,2018-03-15 18:41:07 UTC,353980081,353980082,pull_request
353975596,402f63b790d6d5199b3feb2ab7f1414a1d30062e,158,master,failed,273,2018-03-15 18:29:16 UTC,353975597,353975598,pull_request
353973040,6101af27b8b52eb8b98788077c3a7a0f8250cab1,158,master,failed,248,2018-03-15 18:23:07 UTC,353973041,353973042,pull_request
353968970,bf470f8a101a43c89e216e52df682cb05f5d0665,158,master,failed,270,2018-03-15 18:13:13 UTC,353968973,353968974,pull_request
353966003,1caff33f9896b978bb0e4325bb7233447cf0bdc0,158,master,failed,249,2018-03-15 18:05:05 UTC,353966004,353966005,pull_request
353957454,b0a95351dffbd80a50f47def48ad51c0810fff32,158,master,failed,281,2018-03-15 17:48:13 UTC,353957455,353957456,pull_request
353952931,fcb8623a5b6499b373a6996a44dc16f4806dc0a2,158,master,failed,269,2018-03-15 17:38:58 UTC,353952932,353952933,pull_request
353951479,c4c99f36c9a9dbddf4b7a4c42671e8150f0e0fbc,158,master,errored,266,2018-03-15 17:35:17 UTC,353951480,353951482,pull_request
353948261,3d585715d588d1dac034e04f8ef9e6a334e7e22f,158,master,errored,253,2018-03-15 17:28:35 UTC,353948262,353948263,pull_request
352784773,6d33d1148d2a952d3297eeedabd9d239e737f71d,157,master,passed,253,2018-03-13 11:08:55 UTC,352784774,352784775,pull_request
337131123,5791b8676c345145df86d17ac7f788d914f1469b,,master,passed,235,2018-02-04 06:32:32 UTC,337131124,337131125,push
337015516,6ce36a7b8ca8ae27efbb67797821ff1f23247915,154,master,passed,295,2018-02-03 19:18:27 UTC,337015519,337015523,pull_request
334292887,3b432b74a4be34781aaebeba878128f8b392dfa4,,master,passed,231,2018-01-28 06:46:51 UTC,334292888,334292890,push
