tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
228627252,228627253,100,802faabfb0da0a59067969fa6a168b7888c1f83c,go,broken,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/fgeller/kt,0,
228627411,228627412,101,802faabfb0da0a59067969fa6a168b7888c1f83c,go,broken,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/fgeller/kt,0,
228627556,228627557,102,a90b67f65c6b05452c18dffc1888c08b311a66ec,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
228627599,228627600,103,9fa1b234e96086b38527f65779733b56b350bf1b,go,broken,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/fgeller/kt,0,
228628016,228628017,104,748c86dae049282096af6304d460db77989ebfb9,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
228628186,228628187,105,add5bebc7823d0f1dff9d9584e04c0122e059e7d,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
228628195,228628196,106,232963460e5f62513066d6b6f62e766d03bab553,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
237402891,237402892,107,2a9fbdbe740ffcc4af830f85fc764e8a8620d769,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
237403446,237403447,108,046b28ad269c3741272b996cea34902a8cddaa96,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
237424589,237424590,109,68483f43ca8f65cea1e5b1d270df27f16ed5a7cc,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
136072930,136072931,10,b83b498d42fe809a7c3bc6044138493fba35d438,go,ok,1,go,gotest,true,false,6,0,6,0,1,1,0,"",0.0,
237454071,237454072,110,53954b4d088692cc16971951e26f881b002699df,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
237454075,237454076,111,f1874e3d77da0997392897ce76379b588afd8f56,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
238244390,238244391,112,4d03f8a5c331e5f2f9c2d96757f0b3170ba3e036,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
238244509,238244510,113,081c51286fc3120474aa94fab78121e4c8a4a94c,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
238245688,238245689,114,7c84457a8e5f53360c95a14a2af30d171013dd8b,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
258697477,258697478,115,deb7da12eb4368d0e85329bac955feaff8b52f6b,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
258705586,258705587,116,b3a3a8eb032fbfdcbd938cfded7677c9aba7b9a8,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
260843391,260843392,117,58dcd333f389b66b77f7c824018a6f162a8d1764,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
260899579,260899580,118,58498fab97180d4dccf86baea4c6978b05e86309,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
260921095,260921096,119,91ff941d573d724d076965640cd8104e29070a3a,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
136074149,136074150,11,4ac93a685f697fb73dca8afcd75cac7c7703a3dc,go,ok,3,go,gotest,true,false,6,0,6,0,1,1,0,"",0.0,
260998370,260998371,120,52d2f18a3164dbd30f69efb1b8702e284dd89639,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
261011881,261011882,121,3dd2a249ce4630754862a1b23639fad344a043ae,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
261012909,261012910,122,d1b25893cbaf5edf0263dc7a5e7a4e46531da14e,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
261020727,261020729,123,8fd73cd1afbe28fe811c243963f5756ff7634026,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
261022129,261022130,124,7f5090739a29533798ef3a7fd9423368683bbbb6,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
273115151,273115152,125,fa093973f646b447e0f1e9e81de7037f42a7e3a0,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
273122652,273122655,126,4cbcabc68e22807c9f34c3b82bebf9f9360c1450,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
273123370,273123373,127,4cbcabc68e22807c9f34c3b82bebf9f9360c1450,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
273559959,273559960,128,8a1b246cdd2a60e182353361b036f9820048ccee,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
277307414,277307415,129,e3f60ba321eb971bd9379f752570a3d495182d0a,go,ok,0,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
136074383,136074384,12,fbf140c2ed7c398e8b2be293da8ef98ac2899efa,go,ok,0,go,gotest,true,false,6,0,6,0,1,1,0,"",0.0,
277333678,277333679,130,9310f927a065289a634b84b5c0fdc2f79afa1964,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
277343038,277343039,131,9310f927a065289a634b84b5c0fdc2f79afa1964,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
279273630,279273631,132,f85ed241bfe4a9ca30a2ca1fa2400c730dc7c0fa,go,unknown,1,go,"",false,,,,,,,,,"",,
279275035,279275036,133,f37835de9004c24e6363f96cb35c332329e532b9,go,ok,1,go,gotest,true,false,10,0,10,0,1,1,0,"",0.0,
279284499,279284500,134,bbabfa51c23f8ee83130801938d26089809bb00d,go,ok,1,go,"",false,,,,,,,,,"",,
279292642,279292643,135,ab70d83f49a8f11abfa544b1597bfca0c90babc3,go,broken,1,go,gotest,true,true,10,2,12,0,0,-1,1,TestSystem#github.com/fgeller/kt,4.71,
279297026,279297027,136,8c8426cec9c2ca10c8b3b8e926841d3e885343d5,go,broken,1,go,gotest,true,true,10,2,12,0,0,-1,1,TestSystem#github.com/fgeller/kt,4.970000000000001,
279297921,279297922,137,5c1f90ee46eb78441344862ce3859e4569c9fe27,go,broken,1,go,gotest,true,true,10,2,12,0,0,-1,1,TestSystem#github.com/fgeller/kt,4.73,
