build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
680753475,357693edf0cc3b90bb025e4d8480641a0e7a8850,8365,analytics,errored,41,2020-04-28 21:08:50 UTC,680753476,pull_request
602631466,bd1f6988c4e9b909d72f65067ff11a6fc86dea0b,8365,analytics,failed,114,2019-10-25 04:16:16 UTC,602631467,pull_request
588355563,56265aef6cddacbd86a2bca1f6274ba00790e3e5,8362,valencia-mobile,failed,94,2019-09-23 08:43:28 UTC,588355564,pull_request
548428805,7d7c8469d6284ed74e82c1714c4238f217341ec8,,devel,errored,43,2019-06-20 22:17:26 UTC,548428806,push
548427808,5a5d83affbad75dbbbecfa2e866c3fb0aabc12d7,,devel,failed,1208,2019-06-20 22:13:50 UTC,548427809,push
547502360,cc5cc685fcaa4aac1fd1ddb86261dbfdc6c17051,8349,lantern-android,failed,83,2019-06-19 01:38:17 UTC,547502361,pull_request
545341186,e46cebcc957d27f283552dd4bef1a84739c8c1ed,,5.4.6,failed,1048,2019-06-13 16:33:13 UTC,545341187,push
543733320,368a95983db62e1c01e04286bb9ab69ac439996c,8348,devel,errored,91,2019-06-10 13:34:09 UTC,543733321,pull_request
540998534,e46cebcc957d27f283552dd4bef1a84739c8c1ed,,5.4.1,failed,1026,2019-06-03 23:33:30 UTC,540998535,push
539997467,5f89c211199dc3abca05ea8e14e9f094f25c626f,8346,devel,errored,64,2019-06-01 05:38:38 UTC,539997468,pull_request
533946484,e46cebcc957d27f283552dd4bef1a84739c8c1ed,,5.4.0,failed,1114,2019-05-17 18:53:39 UTC,533946485,push
528608786,d9c5c3737a58193d8230599cf0ff7ce11f76549c,8344,devel,errored,55,2019-05-06 01:23:26 UTC,528608787,pull_request
525801901,9a6df0be8c374d62aa32b265636badcd8f25400c,8343,valencia,failed,1177,2019-04-29 04:37:36 UTC,525801902,pull_request
525179932,e46cebcc957d27f283552dd4bef1a84739c8c1ed,,5.3.8,failed,1124,2019-04-26 23:11:18 UTC,525179933,push
523736319,e46cebcc957d27f283552dd4bef1a84739c8c1ed,,devel,failed,1052,2019-04-23 23:50:48 UTC,523736320,push
523736302,5048e62d69ab6f61b08304396e887aebc33d68e7,,myleshorton-readme,failed,42,2019-04-23 23:50:36 UTC,523736303,push
523736291,909c1b9db9514345a3d0ea35afe1af3dce31e20d,8342,devel,errored,53,2019-04-23 23:50:34 UTC,523736292,pull_request
519285064,666f9a57927f74aaa413ea9a1ba993374cced094,,5.3.4,failed,1212,2019-04-12 14:29:55 UTC,519285065,push
500606506,666f9a57927f74aaa413ea9a1ba993374cced094,,5.3.1,failed,1133,2019-03-01 23:45:57 UTC,500606507,push
496503991,666f9a57927f74aaa413ea9a1ba993374cced094,,5.3.0,failed,1116,2019-02-21 13:35:28 UTC,496503992,push
495796363,ac023a12477fe96decad81018942d6060c893a5c,8339,devel,failed,1117,2019-02-20 03:28:33 UTC,495796364,pull_request
