tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
314163986,314163987,100,6d14ef2ecbd017846125bae456dcbf1dfc74f8cf,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/go-gomail/gomail,0,
314163986,314163988,100,6d14ef2ecbd017846125bae456dcbf1dfc74f8cf,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/go-gomail/gomail,0,
314163986,314163989,100,6d14ef2ecbd017846125bae456dcbf1dfc74f8cf,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/go-gomail/gomail,0,
314163986,314163990,100,6d14ef2ecbd017846125bae456dcbf1dfc74f8cf,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/go-gomail/gomail,0,
314163986,314163991,100,6d14ef2ecbd017846125bae456dcbf1dfc74f8cf,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/go-gomail/gomail,0,
314163986,314163992,100,6d14ef2ecbd017846125bae456dcbf1dfc74f8cf,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/go-gomail/gomail,0,
314164554,314164555,101,e471df4604a79b4aeeb68bff9673d472f05f376a,go,broken,0,go,gotest,true,true,29,2,31,0,0,-1,1,TestRename-2 (0.00#github.com/go-gomail/gomail,19.21,
314164554,314164556,101,e471df4604a79b4aeeb68bff9673d472f05f376a,go,broken,0,go,gotest,true,true,29,2,31,0,0,-1,1,TestRename-2 (0.00#github.com/go-gomail/gomail,39.62,
314164554,314164557,101,e471df4604a79b4aeeb68bff9673d472f05f376a,go,broken,0,go,gotest,true,true,29,2,31,0,0,-1,1,TestRename-2#github.com/go-gomail/gomail,0.02,
314164554,314164558,101,e471df4604a79b4aeeb68bff9673d472f05f376a,go,broken,0,go,gotest,true,true,29,2,31,0,0,-1,1,TestRename#github.com/go-gomail/gomail,0.03,
314164554,314164559,101,e471df4604a79b4aeeb68bff9673d472f05f376a,go,broken,0,go,gotest,true,true,29,2,31,0,0,-1,1,TestRename#github.com/go-gomail/gomail,0.01,
314164554,314164560,101,e471df4604a79b4aeeb68bff9673d472f05f376a,go,broken,0,go,gotest,true,true,29,2,31,0,0,-1,1,TestRename#github.com/go-gomail/gomail,0.01,
314168327,314168328,102,005a5da9830cffc88d2f84220d47b6081949da5e,go,broken,0,go,gotest,true,true,25,6,31,0,0,-5,5,TestAttachmentOnly-2 (0.00#TestAttachment-2 (0.00#TestRename-2 (0.00#TestAttachmentsOnly-2 (0.00#TestAttachments-2 (0.00#github.com/go-gomail/gomail,30.67,
314168327,314168329,102,005a5da9830cffc88d2f84220d47b6081949da5e,go,broken,0,go,gotest,true,true,25,6,31,0,0,-5,5,TestAttachmentOnly-2 (0.00#TestAttachment-2 (0.00#TestRename-2 (0.00#TestAttachmentsOnly-2 (0.00#TestAttachments-2 (0.00#github.com/go-gomail/gomail,34.57,
314168327,314168330,102,005a5da9830cffc88d2f84220d47b6081949da5e,go,broken,66,go,gotest,true,true,25,6,31,0,0,-5,5,TestAttachmentOnly-2#TestAttachment-2#TestRename-2#TestAttachmentsOnly-2#TestAttachments-2#github.com/go-gomail/gomail,0.03,
314168327,314168331,102,005a5da9830cffc88d2f84220d47b6081949da5e,go,broken,0,go,gotest,true,true,25,6,31,0,0,-5,5,TestAttachmentOnly#TestAttachment#TestRename#TestAttachmentsOnly#TestAttachments#github.com/go-gomail/gomail,0.03,
