tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
58163256,58163257,100,1d80105872f0f68444714a177991298387528a76,go,ok,307,go,gotest,true,false,0,0,,0,1,1,0,"",1.76,
58163256,58163258,100,1d80105872f0f68444714a177991298387528a76,go,ok,339,go,gotest,true,false,0,0,,0,1,1,0,"",1.81,
58163256,58163259,100,1d80105872f0f68444714a177991298387528a76,go,ok,273,go,gotest,true,false,0,0,,0,1,1,0,"",1.52,
58163256,58163261,100,1d80105872f0f68444714a177991298387528a76,go,ok,291,go,gotest,true,false,0,0,,0,1,1,0,"",1.63,
58163328,58163329,101,1d80105872f0f68444714a177991298387528a76,go,ok,281,go,gotest,true,false,0,0,,0,1,1,0,"",1.62,
58163328,58163330,101,1d80105872f0f68444714a177991298387528a76,go,ok,305,go,gotest,true,false,0,0,,0,1,1,0,"",1.69,
58163328,58163331,101,1d80105872f0f68444714a177991298387528a76,go,ok,288,go,gotest,true,false,0,0,,0,1,1,0,"",1.61,
58163328,58163332,101,1d80105872f0f68444714a177991298387528a76,go,ok,285,go,gotest,true,false,0,0,,0,1,1,0,"",1.52,
58163484,58163486,102,82a805706718634a3ef31874c27c50e78f2ac05c,go,ok,293,go,gotest,true,false,0,0,,0,1,1,0,"",1.81,
58163484,58163488,102,82a805706718634a3ef31874c27c50e78f2ac05c,go,ok,262,go,gotest,true,false,0,0,,0,1,1,0,"",1.5,
58163484,58163490,102,82a805706718634a3ef31874c27c50e78f2ac05c,go,ok,265,go,gotest,true,false,0,0,,0,1,1,0,"",1.51,
