tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
44954854,44954855,10,dab7a6ffe4c03a5ba4dbcb379ce9463a96322cf0,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
44954989,44954990,11,7a1d39a73dfbd7e474b3b4b590929bf58f17c6b6,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
44973436,44973437,12,cf7a0175393d77aa440e02ef5acdd6a9ce2967a8,go,unknown,0,go,"",false,,,,,,,,,"",,
44973436,44973438,12,cf7a0175393d77aa440e02ef5acdd6a9ce2967a8,go,unknown,0,go,"",false,,,,,,,,,"",,
44973759,44973760,13,d8228ff2186a3dcef0c6abdb739bb308fd9b6ad4,go,unknown,0,go,"",false,,,,,,,,,"",,
44973759,44973761,13,d8228ff2186a3dcef0c6abdb739bb308fd9b6ad4,go,unknown,0,go,"",false,,,,,,,,,"",,
44974554,44974555,14,7a1d39a73dfbd7e474b3b4b590929bf58f17c6b6,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
44977551,44977552,15,68acd2272a14923439b3b2513bbc027c074b4705,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.02,
44977551,44977553,15,68acd2272a14923439b3b2513bbc027c074b4705,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
44977793,44977794,16,d36292809ff94d9d4485727e5156013c66c3fc11,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
44977793,44977795,16,d36292809ff94d9d4485727e5156013c66c3fc11,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
44977975,44977976,17,783e28f78ae4b6ef40698b98940df6beb7421981,go,unknown,0,go,"",false,,,,,,,,,"",,
44977975,44977977,17,783e28f78ae4b6ef40698b98940df6beb7421981,go,unknown,0,go,"",false,,,,,,,,,"",,
44977975,44977978,17,783e28f78ae4b6ef40698b98940df6beb7421981,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
44977975,44977979,17,783e28f78ae4b6ef40698b98940df6beb7421981,go,ok,1,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
44977975,44977980,17,783e28f78ae4b6ef40698b98940df6beb7421981,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.02,
44977975,44977981,17,783e28f78ae4b6ef40698b98940df6beb7421981,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.02,
44978191,44978192,18,7060876a3d890000a5a1f7e108bfc2c18d628fe0,go,unknown,0,go,"",false,,,,,,,,,"",,
44978191,44978193,18,7060876a3d890000a5a1f7e108bfc2c18d628fe0,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.03,
44978191,44978194,18,7060876a3d890000a5a1f7e108bfc2c18d628fe0,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
44978191,44978195,18,7060876a3d890000a5a1f7e108bfc2c18d628fe0,go,unknown,0,go,"",false,,,,,,,,,"",,
44978191,44978196,18,7060876a3d890000a5a1f7e108bfc2c18d628fe0,go,unknown,0,go,"",false,,,,,,,,,"",,
44978191,44978198,18,7060876a3d890000a5a1f7e108bfc2c18d628fe0,go,unknown,0,go,"",false,,,,,,,,,"",,
44978762,44978763,19,ecf226515ed9f8e784aed2a9927f44ad34f0099c,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44978762,44978764,19,ecf226515ed9f8e784aed2a9927f44ad34f0099c,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44978762,44978765,19,ecf226515ed9f8e784aed2a9927f44ad34f0099c,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44978762,44978766,19,ecf226515ed9f8e784aed2a9927f44ad34f0099c,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44978762,44978767,19,ecf226515ed9f8e784aed2a9927f44ad34f0099c,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44947170,44947172,1,5b403f6510f64399efe1be4e55ecf4c5a5f722fc,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
44981279,44981280,20,b431389b0af60c22e7961a9cc177522c8d1b5be0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981279,44981281,20,b431389b0af60c22e7961a9cc177522c8d1b5be0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981279,44981282,20,b431389b0af60c22e7961a9cc177522c8d1b5be0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981279,44981283,20,b431389b0af60c22e7961a9cc177522c8d1b5be0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981279,44981284,20,b431389b0af60c22e7961a9cc177522c8d1b5be0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981427,44981428,21,81d484353089ba1d07c754f13ce27b09d8007107,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981427,44981429,21,81d484353089ba1d07c754f13ce27b09d8007107,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981427,44981430,21,81d484353089ba1d07c754f13ce27b09d8007107,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981427,44981431,21,81d484353089ba1d07c754f13ce27b09d8007107,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981427,44981432,21,81d484353089ba1d07c754f13ce27b09d8007107,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981590,44981591,22,4a411630d8f5ddcfbb4b9a60ef60e10ff1cacd7b,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981590,44981592,22,4a411630d8f5ddcfbb4b9a60ef60e10ff1cacd7b,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981590,44981593,22,4a411630d8f5ddcfbb4b9a60ef60e10ff1cacd7b,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981590,44981594,22,4a411630d8f5ddcfbb4b9a60ef60e10ff1cacd7b,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981590,44981595,22,4a411630d8f5ddcfbb4b9a60ef60e10ff1cacd7b,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981669,44981670,23,84bff6d01560fb0b5a396ba29534e93fd00d09c6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981669,44981671,23,84bff6d01560fb0b5a396ba29534e93fd00d09c6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981669,44981672,23,84bff6d01560fb0b5a396ba29534e93fd00d09c6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44981669,44981673,23,84bff6d01560fb0b5a396ba29534e93fd00d09c6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44981669,44981674,23,84bff6d01560fb0b5a396ba29534e93fd00d09c6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
82321237,82321238,24,303fa21799c14fd37f45765cae0432e2dac0f3bd,go,ok,0,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
82321237,82321239,24,303fa21799c14fd37f45765cae0432e2dac0f3bd,go,ok,0,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
82321237,82321240,24,303fa21799c14fd37f45765cae0432e2dac0f3bd,go,ok,0,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
82321237,82321241,24,303fa21799c14fd37f45765cae0432e2dac0f3bd,go,ok,0,go,gotest,true,false,16,0,16,0,1,1,0,"",0.1,
82321237,82321242,24,303fa21799c14fd37f45765cae0432e2dac0f3bd,go,ok,0,go,gotest,true,false,16,0,16,0,1,1,0,"",0.12,
94174260,94174262,25,060e79341c457368f32b8bb41d3268be1ed908ae,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
94174260,94174263,25,060e79341c457368f32b8bb41d3268be1ed908ae,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
94174260,94174264,25,060e79341c457368f32b8bb41d3268be1ed908ae,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
94174260,94174265,25,060e79341c457368f32b8bb41d3268be1ed908ae,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
94174260,94174266,25,060e79341c457368f32b8bb41d3268be1ed908ae,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
96764851,96764852,26,a85701d59208e485237f0346e4aed70a332239a6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
96764851,96764853,26,a85701d59208e485237f0346e4aed70a332239a6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
96764851,96764854,26,a85701d59208e485237f0346e4aed70a332239a6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
96764851,96764855,26,a85701d59208e485237f0346e4aed70a332239a6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
96764851,96764856,26,a85701d59208e485237f0346e4aed70a332239a6,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
109826512,109826513,27,ef23fb50fbb69a7ea3b18fb6fd4895d5165e0045,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
109826512,109826514,27,ef23fb50fbb69a7ea3b18fb6fd4895d5165e0045,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
109826512,109826515,27,ef23fb50fbb69a7ea3b18fb6fd4895d5165e0045,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
109826512,109826516,27,ef23fb50fbb69a7ea3b18fb6fd4895d5165e0045,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
109826512,109826517,27,ef23fb50fbb69a7ea3b18fb6fd4895d5165e0045,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
133515113,133515114,28,b352ecdb847323de863da291191fbf2a8f689fb0,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
133515113,133515115,28,b352ecdb847323de863da291191fbf2a8f689fb0,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
133515113,133515116,28,b352ecdb847323de863da291191fbf2a8f689fb0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
133515113,133515117,28,b352ecdb847323de863da291191fbf2a8f689fb0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
133515113,133515118,28,b352ecdb847323de863da291191fbf2a8f689fb0,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
146424204,146424209,29,eced2432b2e6ebf843a0c40a9e1cdab7ded58d01,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
146424204,146424213,29,eced2432b2e6ebf843a0c40a9e1cdab7ded58d01,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
146424204,146424215,29,eced2432b2e6ebf843a0c40a9e1cdab7ded58d01,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
146424204,146424218,29,eced2432b2e6ebf843a0c40a9e1cdab7ded58d01,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
146424204,146424220,29,eced2432b2e6ebf843a0c40a9e1cdab7ded58d01,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
44947906,44947907,2,10cd07b800b89bd4a5aa40f3e02ebaef98071cfb,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
146437167,146437168,30,bb69dbe0584e241be69a30b9998b3c14ad16f16d,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
146437167,146437169,30,bb69dbe0584e241be69a30b9998b3c14ad16f16d,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
146437167,146437170,30,bb69dbe0584e241be69a30b9998b3c14ad16f16d,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
146437167,146437171,30,bb69dbe0584e241be69a30b9998b3c14ad16f16d,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0.03,
146437167,146437172,30,bb69dbe0584e241be69a30b9998b3c14ad16f16d,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.060000000000000005,
173223091,173223092,31,a981afcdbd0225c0e55264c95f802babff3027a8,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/icrowley/fake/test,0,
173223091,173223093,31,a981afcdbd0225c0e55264c95f802babff3027a8,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/icrowley/fake/test,0,
173223091,173223094,31,a981afcdbd0225c0e55264c95f802babff3027a8,go,broken,0,go,"",false,,,,,,,,,"",,
173223091,173223095,31,a981afcdbd0225c0e55264c95f802babff3027a8,go,broken,0,go,"",false,,,,,,,,,"",,
173223091,173223096,31,a981afcdbd0225c0e55264c95f802babff3027a8,go,broken,0,go,"",false,,,,,,,,,"",,
203921129,203921130,32,6c246873a12af508953ce64758ee24725e1ae46f,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
203921129,203921131,32,6c246873a12af508953ce64758ee24725e1ae46f,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
203921129,203921132,32,6c246873a12af508953ce64758ee24725e1ae46f,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
203921129,203921133,32,6c246873a12af508953ce64758ee24725e1ae46f,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
203921129,203921134,32,6c246873a12af508953ce64758ee24725e1ae46f,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
203958308,203958309,33,871db1a45759cde532d60a178c563ef2b75e3610,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
203958308,203958310,33,871db1a45759cde532d60a178c563ef2b75e3610,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
203958308,203958311,33,871db1a45759cde532d60a178c563ef2b75e3610,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
203958308,203958312,33,871db1a45759cde532d60a178c563ef2b75e3610,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
203958308,203958313,33,871db1a45759cde532d60a178c563ef2b75e3610,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205727041,205727042,34,93e6991473a90207a9c2f688409405fd24ab69fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
205727041,205727043,34,93e6991473a90207a9c2f688409405fd24ab69fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
205727041,205727044,34,93e6991473a90207a9c2f688409405fd24ab69fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
205727041,205727045,34,93e6991473a90207a9c2f688409405fd24ab69fc,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0.02,
205727041,205727046,34,93e6991473a90207a9c2f688409405fd24ab69fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205728419,205728420,35,63ec04378015e954f65ebe3b8bacaae4de806f17,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
205728419,205728421,35,63ec04378015e954f65ebe3b8bacaae4de806f17,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
205728419,205728422,35,63ec04378015e954f65ebe3b8bacaae4de806f17,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
205728419,205728423,35,63ec04378015e954f65ebe3b8bacaae4de806f17,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205728419,205728424,35,63ec04378015e954f65ebe3b8bacaae4de806f17,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205729231,205729233,36,eef93130f107c9bb12a6c14dd8263607190538fc,go,unknown,0,go,"",false,,,,,,,,,"",,
205729231,205729235,36,eef93130f107c9bb12a6c14dd8263607190538fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205729231,205729236,36,eef93130f107c9bb12a6c14dd8263607190538fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205729231,205729237,36,eef93130f107c9bb12a6c14dd8263607190538fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205729231,205729238,36,eef93130f107c9bb12a6c14dd8263607190538fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205729231,205729239,36,eef93130f107c9bb12a6c14dd8263607190538fc,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0.0,
205729337,205729338,37,c097502b3b2a6d01a4b800616011775e47756677,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
