tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
10305645,10305646,100,fd394cb336d35682bf9ebda7e2d3a8095891338c,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305645,10305647,100,fd394cb336d35682bf9ebda7e2d3a8095891338c,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305645,10305648,100,fd394cb336d35682bf9ebda7e2d3a8095891338c,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305729,10305730,101,8d7081e747f4544b6900f2d16a761490afafaeed,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305737,10305738,102,d0b91619931f6f7cf79308eec5379fe95a2028c2,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305737,10305739,102,d0b91619931f6f7cf79308eec5379fe95a2028c2,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305737,10305740,102,d0b91619931f6f7cf79308eec5379fe95a2028c2,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10305745,10305746,103,c99b002e556c564f3ac6b0411ebf0271cd89f793,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10316421,10316422,104,a29febde5c91eb85c2b7e25045318cdee381b4c2,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10316437,10316438,105,a9f659216ee1231e9c1d1923b4361f4f66e0ae89,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10316437,10316439,105,a9f659216ee1231e9c1d1923b4361f4f66e0ae89,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10316437,10316440,105,a9f659216ee1231e9c1d1923b4361f4f66e0ae89,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10316445,10316447,106,339a5e012abd58ae71595f684b814da4de108f84,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
