build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
494212169,0ec58f3ae3bad11919ecd38dc7d55297a2f58a9f,46,master,passed,113,2019-02-16 13:53:54 UTC,494212170,pull_request
492903556,31e2121294ada5201faa8f73ccbdc7441a69d3e3,43,master,passed,127,2019-02-13 20:47:48 UTC,492903558,pull_request
492903463,5d3156a028eda7ec926875ee5ce208aca790910d,,return_search_mode,passed,176,2019-02-13 20:48:05 UTC,492903464,push
492877507,88734aa468d909e62e2ffbb63e419fe28e12bb36,43,master,passed,157,2019-02-13 19:50:47 UTC,492877508,pull_request
492877490,e6a3f2de242d6140b8fd90d9e51197ccfc0747b3,,return_search_mode,passed,134,2019-02-13 19:50:43 UTC,492877491,push
492742345,0f1c9fd2b3e76a1b03d0359aa32e648d82a0b30c,43,master,passed,132,2019-02-13 14:59:21 UTC,492742346,pull_request
492742329,f1006122f8e8aa21cd403d8f2430aea8ee0dce14,,return_search_mode,passed,172,2019-02-13 14:59:11 UTC,492742330,push
492719608,1851449f8a025c4ef8b7c22def4ee07121b64db6,43,master,passed,98,2019-02-13 14:13:39 UTC,492719609,pull_request
492719606,b7e7b616ab956f9d4c4f193f332d6f7ae844fc74,,return_search_mode,passed,99,2019-02-13 14:13:33 UTC,492719607,push
492614011,62277bc51a1510f97e2447676b9b994945a739cd,43,master,passed,218,2019-02-13 09:55:26 UTC,492614012,pull_request
492613992,58bf4d030f4d268d27f1dc9fb8bd35e099355ffb,,return_search_mode,passed,123,2019-02-13 09:55:17 UTC,492613993,push
492442483,a1009f899ab9da14b9749d4ee5f30244a87f4ee0,43,master,passed,126,2019-02-12 23:23:24 UTC,492442484,pull_request
492442464,ddccbb9f4cef5c27dede0a6f518ca5846d362c13,,return_search_mode,passed,117,2019-02-12 23:23:27 UTC,492442465,push
492421261,d5d25d0c165283c93d2b549d0d628a16128fa118,43,master,passed,146,2019-02-12 22:31:46 UTC,492421262,pull_request
492421211,d68767a93747157516e79268674b4732441fba89,,return_search_mode,passed,113,2019-02-12 22:31:39 UTC,492421212,push
492230014,de3d5228b99572937bc9847827ac8e6ebd57c7be,43,master,passed,94,2019-02-12 15:42:47 UTC,492230015,pull_request
492229981,18e1a37bd57dd339ab6cc862529036d1e6cd2140,,return_search_mode,passed,216,2019-02-12 15:42:40 UTC,492229982,push
492226253,df1e3528baef74ffd2e375403a7762e58910f20f,43,master,passed,120,2019-02-12 15:35:05 UTC,492226254,pull_request
492226216,eec371034956eec34532c4de687c7774168d8863,,return_search_mode,passed,126,2019-02-12 15:34:54 UTC,492226217,push
492216107,6cd178db5d152d24056c82aa37b230950d4d1ee3,43,master,passed,137,2019-02-12 15:14:47 UTC,492216108,pull_request
492216075,157a0b6103f833604d92c18e5f7342552a9a928f,,return_search_mode,passed,117,2019-02-12 15:14:52 UTC,492216076,push
