build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
329157770,3dae8cdd84a1575e0f9e4c2c21e2ec69f61371a1,216,master,errored,1235,2018-01-15 17:43:33 UTC,329157772,329157773,pull_request
329143863,a79a3d15d800fc739bc987f332cd90ece14d9dea,216,master,errored,1268,2018-01-15 17:03:01 UTC,329143864,329143865,pull_request
329130450,5edc81144034afbbf87dae050acca2eb533f6a4d,216,master,errored,1153,2018-01-15 16:28:15 UTC,329130451,329130454,pull_request
329031039,a226c4442d1059790b8cda39bdcbb35c925b4bd2,216,master,errored,1141,2018-01-15 12:39:19 UTC,329031040,329031042,pull_request
329013353,87747850c157a624b19550f2a260737b6a22a47d,247,master,failed,1241,2018-01-15 11:44:46 UTC,329013356,329013361,pull_request
329012477,90c7a43734bb1096a9dfeddec862d03f48f3f896,247,master,failed,1315,2018-01-15 11:42:07 UTC,329012478,329012479,pull_request
329009745,fce46f55199a75f8d1b4ebb8c2dbb08a387925c7,216,master,failed,529,2018-01-15 11:32:40 UTC,329009746,329009747,pull_request
328530358,2298286b58c20b16b926504c69d984fbbb0d2154,216,master,failed,890,2018-01-13 19:23:28 UTC,328530359,328530360,pull_request
328528012,3644c6df855cc300e38b98876e1d73c4e89303dc,216,master,failed,947,2018-01-13 19:13:26 UTC,328528013,328528014,pull_request
328527917,a4d6447d76ce967314e6901cae5c2216593137c2,216,master,failed,998,2018-01-13 19:13:03 UTC,328527918,328527919,pull_request
328508302,9dbb3d487b7072fde2e22de3c3763d17c01af686,216,master,failed,869,2018-01-13 17:39:47 UTC,328508303,328508304,pull_request
328494279,4121afd45f467025ae0e64065e1baa27c7ccfd34,216,master,failed,854,2018-01-13 16:37:40 UTC,328494280,328494281,pull_request
328487427,c2630296d45a7432a619d60030a43f06679c6cbf,216,master,failed,1074,2018-01-13 16:10:27 UTC,328487428,328487429,pull_request
328487071,d641143f27ba977820ea296975add7231e2b8237,216,master,failed,760,2018-01-13 16:08:16 UTC,328487072,328487073,pull_request
328482243,4f7df3a3bc916f0fa9edc7d1ef0368c4adb88bac,216,master,failed,720,2018-01-13 15:44:17 UTC,328482244,328482245,pull_request
328481439,832d1568f69463d5b0c788c027fac1fc84cfb544,216,master,canceled,192,2018-01-13 15:41:32 UTC,328481440,328481441,pull_request
328481043,179008e10510a027c41fc61befb412f09a5a0d24,216,master,canceled,126,2018-01-13 15:40:26 UTC,328481044,328481045,pull_request
328478606,1ab625b7a4a83bb999cccb0b2db671d0d7dcc861,216,master,failed,597,2018-01-13 15:28:37 UTC,328478608,328478609,pull_request
328476555,064f53c67c1ea4310ed267d2931ae28de98f1fd0,216,master,failed,534,2018-01-13 15:20:15 UTC,328476556,328476557,pull_request
328362136,1967eec9d00ffdb9f26e947dc96911fed4ae4d4f,216,master,failed,915,2018-01-13 02:59:07 UTC,328362137,328362138,pull_request
328361649,ddb54614108a2333629ab8eacc88a0410300db0b,216,master,failed,905,2018-01-13 02:54:18 UTC,328361650,328361651,pull_request
328357521,e720b77405ec598b240aa55ad93384c5d48dbd98,216,master,failed,1027,2018-01-13 02:22:01 UTC,328357522,328357523,pull_request
328352685,7bac59512b29b232ab9474b45d054235a2b93aaf,216,master,failed,1101,2018-01-13 01:43:24 UTC,328352686,328352687,pull_request
328349027,2944218dc6af7bf5f3d76336f165ed0f700663bf,216,master,failed,1061,2018-01-13 01:14:07 UTC,328349028,328349029,pull_request
328343948,c11edeeff4498ead229e97c750ad0664dec0c437,244,release-0.2,failed,621,2018-01-13 00:46:36 UTC,328343949,328343950,pull_request
328216653,c6df1a38adf142a2b66910064ead856dbb8f1622,243,master,failed,1057,2018-01-12 17:53:55 UTC,328216654,328216655,pull_request
328203547,5afdd3073b5be92ae6450db915e81f16f2a83c91,243,master,failed,1027,2018-01-12 17:15:33 UTC,328203548,328203549,pull_request
328199599,166c4e6e1ff7eb3337f3fd7ffa1f62dd7bb52eaa,243,master,failed,972,2018-01-12 17:05:18 UTC,328199600,328199601,pull_request
327799097,03618842506581e13036e09414829f3a19306bef,243,master,passed,1134,2018-01-11 18:13:24 UTC,327799098,327799099,pull_request
327689427,5fdaa0c45af2682823d86feb01ecf1aadebde02f,229,master,passed,1017,2018-01-11 13:44:36 UTC,327689428,327689429,pull_request
327203375,ac279689a6e6439ca779dbf80dd88233f36730b9,242,release-0.2,passed,1012,2018-01-10 12:15:16 UTC,327203376,327203380,pull_request
327199670,96b8b118187f3c390a0580470fdcaa80211aac46,,master,passed,998,2018-01-15 11:15:35 UTC,327199671,327199681,push
327194965,13c3be1675e1a0a7f847fd47e4c83f92c8f78656,237,master,passed,1022,2018-01-10 11:48:20 UTC,327194970,327194971,pull_request
327194830,ea1dc8f58f365a60f88a97dd61607fea585bd6e6,,fix-acme-reg-panic,passed,996,2018-01-10 11:47:16 UTC,327194831,327194832,push
327194359,db2bc988210ab27995f0d4bda10b3019c8c716f6,,master,passed,1050,2018-01-10 11:45:36 UTC,327194363,327194364,push
326737169,bc953fa3c3db25cd751bde6c42543e1cdbf95109,240,master,passed,1021,2018-01-09 09:45:44 UTC,326737170,326737171,pull_request
326552719,7dcc3165f9ef3b6fa3f62a72bea071add8ea5d1a,,master,passed,1008,2018-01-08 21:07:34 UTC,326552721,326552723,push
326547172,bff5af2b8d1c8c58612563f6ef190bafeb486982,239,master,passed,992,2018-01-08 20:53:04 UTC,326547173,326547174,pull_request
326528976,b71026983cc6a03510a48d5b262b6815afb3310d,237,master,failed,860,2018-01-08 20:42:32 UTC,326528985,326528986,pull_request
326528502,573ccbaf4387f96ece80dbb69afb3b7ffcb17519,,fix-acme-reg-panic,failed,838,2018-01-08 20:43:24 UTC,326528503,326528504,push
325245075,13a21996f4883451dcf61a44f5855d5ce9b03380,232,master,failed,879,2018-01-04 23:14:22 UTC,325245076,325245077,pull_request
324671293,3bafd2a82a2b1e4c912ce3435ba76d71563934cf,228,master,failed,485,2018-01-03 17:22:38 UTC,324671294,324671295,pull_request
320503746,1f42716c0de7efd885c8316a53f464f22cc402f8,197,master,passed,966,2017-12-23 02:27:38 UTC,320503747,320503748,pull_request
320503236,25700dd5ef69779506f7e579ef3068461b320915,197,master,passed,982,2017-12-23 02:25:21 UTC,320503237,320503238,pull_request
318681053,ce8d9cb81d70b852e990dc9b62b25c61b746c645,229,master,passed,981,2017-12-19 15:31:28 UTC,318681054,318681055,pull_request
318531933,3d02ec9621db16801bca729908e7bb01c7771c48,229,master,passed,926,2017-12-19 09:51:37 UTC,318531934,318531935,pull_request
318149475,6f23f55502702ff77315e0396432dccdda627c87,228,master,failed,445,2017-12-18 15:50:55 UTC,318149476,318149477,pull_request
318146666,74a2f5a0fb58f2adcb0858ce1243791d4aa4dc59,228,master,failed,453,2017-12-18 15:45:34 UTC,318146676,318146678,pull_request
317101613,044e75072b92b64db8372b33e5793b58093e4e4e,228,master,failed,498,2017-12-15 20:24:04 UTC,317101614,317101615,pull_request
