tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
358577027,358577030,100,a61b1e5fe5f8e35cb495c7b85772717468fddb4d,go,ok,1,go,gotest,true,false,21,0,21,0,2,2,0,"",0.0,
358594653,358594654,101,9eec90fc9128972b1e0b29ee306d4931a15454b4,go,ok,4,go,gotest,true,false,21,0,21,0,2,2,0,"",0.02,
358594664,358594665,102,2fe7222d13f253ff4417572a3421120012729f4f,go,ok,1,go,gotest,true,false,21,0,21,0,2,2,0,"",0.10999999999999999,
358640277,358640278,103,eb91c722d12abd4f5c190e0021d5850cf77bfcb1,go,ok,1,go,gotest,true,false,21,0,21,0,3,3,0,"",0.0,
358644705,358644706,104,d844e9e50816e807f514f231eb5a98981b744e9b,go,ok,13,go,gotest,true,false,21,0,21,0,3,3,0,"",0.0,
358645936,358645937,105,fff0eb1df64b09d0dfac3de37c004ae4d84ec4b2,go,ok,3,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
358645944,358645945,106,b9ce9a0eb3be94ed7e747ee5011140ec975e1d35,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
359018032,359018033,107,176d078aa4c3aaf7162af8541fec83146bab4ae4,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
359042907,359042908,108,c951445b6d7e717363a2d7e0acc32b3e279619a8,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.02,
359082879,359082880,109,b142024f4f21fa80adb259faf727aadcce013569,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.01,
307934686,307934687,10,d4dca153058115822bdeff3b09e126e77b5fbd5e,go,ok,0,go,"",false,,,,,,,,,"",,
359098102,359098103,110,d9bfef0d6d07731d4f7278f666c05c61682b29fb,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
359100568,359100569,111,06adff8fd5e95d56f2ed9a24b5dc1cc34794e0bc,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
359103733,359103734,112,56ef6b4487779303ba5b0daaf5cce4c71d27aec9,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.03,
359107773,359107774,113,bdea0071dfe3ee0af9367bdcab26ceebeb8e0c7e,go,ok,4,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
359168833,359168834,114,d322e00a2caedf1eaa05c4cc44858076b8faa306,unknown,unknown,,plain,"",false,,,,,,,,,"",,
359168929,359168930,115,c7390acf978dcadc4b8b3fdbb806a85eabff46bd,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
359172831,359172832,116,d8354f7e26653f47e3256f90a96275d63e7552ad,go,ok,6,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
363386394,363386395,117,9cdf478a22999cb450144e61296d083b6b3227c2,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.07,
363957782,363957783,118,d282f87a19728018b67d80754bcb3e9b0457403f,go,ok,9,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
364285272,364285274,119,bb4a2c045199cd1389e8b998314b6256ad997759,go,broken,1,go,"",false,,,,,,,,,"",,
307935706,307935708,11,43a2f5f13373f15e3e3b1ad3b2420567d2b7c7ed,go,ok,1,go,"",false,,,,,,,,,"",,
364368674,364368675,120,d6835ecdfeaecc024af1e20e9c989429436c86b6,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.09999999999999999,
364396534,364396535,121,b826964485ab1a9c17bf6d9f5ce949d175f61a53,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.08,
364397114,364397115,122,165f533789819b25a9513ee8d8e4b741e29f6a13,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.09999999999999999,
364398210,364398211,123,123f76139669736113c108f903c5265f2d055153,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.09,
364450712,364450713,124,b54cf59979f14b12f20b2f404ae1a50f1c4eac68,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.03,
364486076,364486077,125,168964cf91a6db92eda24eedb7a14d6b49f24776,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.03,
364607017,364607018,126,e3d6d796def480307510f8effca2869586b54c59,go,ok,0,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
365626681,365626682,127,4d633cea2d4c8b411a8c9a0eada15232caedb788,go,ok,1,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
365701431,365701432,128,43dfa3e55aba08e13edecbf6f9237f705d93f174,go,ok,14,go,gotest,true,false,22,0,22,0,3,3,0,"",0.0,
