build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
71419074,f69b5f40e0022b8f7d6582044a53668e9d0ef43b,576,master,failed,542,2015-07-17 13:39:05 UTC,71419075,71419076,pull_request
62209572,85baa8b8d6dbd6fe2e7abb3c9f3aff9dbcc0d9b6,575,master,passed,577,2015-05-12 10:04:02 UTC,62209574,62209576,pull_request
61864705,4db4997dfc247ff891b2b5c7e2247b15a8c22587,573,master,passed,545,2015-05-09 08:52:05 UTC,61864706,61864707,pull_request
56819912,e8f4fe069fc28749e54f6e6354ed2ffb0e0948a1,,master,passed,559,2015-04-02 01:36:05 UTC,56819913,56819914,push
56819897,54ee953edf7060b771febc327bd4a4795a41bc7f,,master,passed,568,2015-04-02 01:31:13 UTC,56819898,56819899,push
56819892,6113b425aa26ada340716de6bc23b4ce7cde25e5,,master,passed,544,2015-04-02 01:30:31 UTC,56819893,56819894,push
56819868,f9a4221c25a067b8a1292ef9f128e796f056138c,,master,passed,543,2015-04-02 01:30:24 UTC,56819869,56819870,push
41641618,71f2325bde0bc7f33190bab732924ac623d4bf0c,,master,passed,641,2014-11-20 20:27:34 UTC,41641619,41641620,push
41639133,8bbb8ae6add7b680348656fd9a16aa419e79344a,567,master,passed,650,2014-11-20 20:04:12 UTC,41639134,41639135,pull_request
41636604,972040d135b301ba78b4f62b9f4662a3f148693f,567,master,passed,624,2014-11-20 19:38:06 UTC,41636605,41636606,pull_request
40917051,487c1b6ad9f945a3b1d77c507725ef1c800c7f3a,,master,passed,654,2014-11-13 18:39:23 UTC,40917052,40917053,push
40915009,3cb5633729651f937a3b82cbe345464f72b95b0e,566,master,passed,670,2014-11-13 18:21:26 UTC,40915011,40915013,pull_request
37951691,d6cdd19879773b78713a1f4bd2f735d57ddf8e0d,,master,passed,659,2014-10-14 15:49:41 UTC,37951692,37951695,push
37951653,c866a15d9aa5219f79454f21329851d79712f6b9,563,master,errored,10,2014-10-14 15:48:16 UTC,37951654,37951655,pull_request
37850367,dd90fa582293474943b59fc104beac548b0eaf60,,master,passed,626,2014-10-13 17:36:36 UTC,37850368,37850369,push
37841516,891189e55f504ad2a6162ba3fd970e9afd833a4a,562,master,passed,596,2014-10-13 15:59:27 UTC,37841517,37841518,pull_request
37607114,3a620413b755fb38e60b5df24002967d957de4f5,,master,passed,623,2014-10-10 14:38:14 UTC,37607115,37607116,push
37596396,c7444b54ce8e793d0c2542c2e35251bd9d848879,561,master,passed,601,2014-10-10 12:46:49 UTC,37596397,37596398,pull_request
37589500,75ad195a8d57c607671ba377f785d167675d1a3e,555,master,failed,613,2014-10-10 11:12:03 UTC,37589501,37589502,pull_request
37285812,ad483f3cc4b900bc5cc42005b1cb46bcb47ff2ca,555,master,failed,605,2014-10-07 13:08:16 UTC,37285813,37285814,pull_request
37226956,91277ac2b8de21b6982d45c1fd4265b13c95ed08,,master,passed,699,2014-10-06 21:03:10 UTC,37226957,37226958,push
37213444,4b448650ae5aabe3eca695ddfbb365e742162715,560,master,passed,614,2014-10-06 18:25:11 UTC,37213445,37213446,pull_request
36573508,6186c3a96ccd947d2f5560d1d8cee801e42c846c,,master,passed,676,2014-09-29 15:21:16 UTC,36573509,36573510,push
35943415,11c325acd5871885c7fe27d657821de44556b3ba,558,master,passed,653,2014-09-22 14:49:21 UTC,35943416,35943417,pull_request
35560960,56f89617db81bb971807bf7f5c772ed49a1c1404,555,master,failed,644,2014-09-17 18:12:24 UTC,35560961,35560962,pull_request
34823513,46b13c0fce128948278f387d01924659001d0efb,,master,passed,686,2014-09-09 15:13:20 UTC,34823514,34823515,push
34823300,6248d8fe95c357889d86124d880a4dc6b4e27ee8,554,master,errored,12,2014-09-09 15:12:25 UTC,34823301,34823302,pull_request
34425994,7c58a0c9c2f9fddbc5031af7344fea474174903a,,master,passed,681,2014-09-04 19:25:59 UTC,34425995,34425996,push
34423943,507c8ea150a9ba0e9f8195f069df0082c82d58f2,553,master,passed,665,2014-09-04 19:06:01 UTC,34423950,34423956,pull_request
34227995,0bccaa033ea83a13eddbb1929c121476bca8f996,,master,passed,645,2014-09-02 20:53:53 UTC,34227996,34227997,push
34216655,762711ad1ef51260fe010d06778bae6091b691f5,550,master,passed,653,2014-09-02 18:45:03 UTC,34216656,34216657,pull_request
34211097,32d1f35841f1196b2555c8acdeceadb32d14e337,550,master,failed,315,2014-09-02 17:43:00 UTC,34211098,34211099,pull_request
34206047,5d33c3cb6204e040bf8167b920d28be00f59c55f,550,master,failed,388,2014-09-02 16:48:13 UTC,34206048,34206049,pull_request
33304002,c7105a50d0bd699e70d08892fa0f42da0fe24e06,,master,passed,660,2014-08-22 17:31:00 UTC,33304003,33304004,push
33303544,cd67aee0c51c206490029160dd6a857b8ca4adfa,548,master,errored,956,2014-08-22 17:26:16 UTC,33303545,33303546,pull_request
32458788,fa0fed3f95d5a19ad84c8e739309d4224fd7a1ad,,master,passed,666,2014-08-13 17:30:49 UTC,32458789,32458790,push
32454436,11d4b5e423f457100db112294faec7a13b87fd3f,547,master,passed,660,2014-08-13 16:43:00 UTC,32454438,32454439,pull_request
32339313,e7bf09b5822b17f24f121d7fae686a1da62b9fbd,,0.2.8,passed,636,2014-08-12 14:32:09 UTC,32339314,32339315,push
32337357,e7bf09b5822b17f24f121d7fae686a1da62b9fbd,,master,passed,599,2014-08-12 17:39:14 UTC,32337358,32337359,push
32337307,408b9e4ec88dd670297c449636e5d270104362d3,545,master,errored,11,2014-08-12 14:12:46 UTC,32337309,32337311,pull_request
