tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
265762678,265762679,100,33a393128640357aecf7ac71f45892a674dcce2a,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.28000000000001,
265772123,265772124,101,e2e481ad77620acc50bb34593274de5596108fad,go,unknown,1,go,"",false,,,,,,,,,"",,
265787613,265787614,102,5fab64f9afbb85f98376f98217e72586f7d9d0e1,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.45,
265791931,265791932,103,179c12855a771344920454d4f49f6c830505206e,go,broken,1,go,gotest,true,true,0,2,,0,1,0,1,TestDynamicTicker#github.com/oakmound/oak/timing,28.020000000000003,
265792860,265792861,104,f79d45718fa25152b5147d191d6d25637f30c79c,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.47,
265794815,265794816,105,394cb08e507dc041a7c514e572a8b18277394487,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.31000000000001,
265795675,265795676,106,394cb08e507dc041a7c514e572a8b18277394487,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.29,
265797782,265797783,107,aa2b41ba6bafe284fd5f19c547cd3e69fc13a82e,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.60999999999999,
265798153,265798154,108,9c2eb2197a5f384f039e0c5ac180d34f4f8c2fa6,go,ok,0,go,gotest,true,false,0,0,,0,9,9,0,"",36.43000000000001,
265798689,265798690,109,aa2b41ba6bafe284fd5f19c547cd3e69fc13a82e,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.410000000000004,
257100387,257100388,10,c91b8f9d6364cf1b27eb913b2aa1c331b61f9576,go,ok,1,go,gotest,true,false,37,0,37,0,7,7,0,"",26.380000000000003,
265799137,265799138,110,bf4a73f116f17e8b720b1b0f66c155378d898227,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.32000000000001,
266321325,266321326,111,03e50a0cb4d8fbdbe0337c27ea48db791d0825a9,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.71,
266321433,266321434,112,03e50a0cb4d8fbdbe0337c27ea48db791d0825a9,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.32000000000001,
266321437,266321438,113,f3c77f6c738b1037ec733e56821e3d78bdbf819f,go,ok,0,go,gotest,true,false,0,0,,0,9,9,0,"",36.21000000000001,
266415694,266415695,114,8b8c09e5b03d4b0da8acb69386b683900d5de6aa,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.11000000000001,
266980989,266980990,115,9d0c4fe99fc500bc207e9dae000a2ff344a1ffb3,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.190000000000005,
266981072,266981074,116,1db5a9401e9935a28aea7726902c41020070ca12,go,ok,0,go,gotest,true,false,0,0,,0,9,9,0,"",36.410000000000004,
266986231,266986232,117,c5a33616288f8f9ff60f48d96eb5893b337c3360,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.35000000000001,
266986244,266986245,118,9801eb1bfb577988e5ff32a4116a29385e4f0a25,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.449999999999996,
268166536,268166537,119,4f664bd1e245a22b64c816677f0fc9f30e4472c6,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.45,
257102341,257102342,11,bb08d1c41e1d79033d672a6c3becbb317fc2bc45,go,ok,1,go,gotest,true,false,37,0,37,0,7,7,0,"",26.36,
268180336,268180337,120,7eea0d4913d94205c921e25057fd5c1a9e6f687b,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",44.050000000000004,
268182963,268182964,121,91a9702b122c18f3299c1a8ebc7b30415d27eed4,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",43.68,
268186666,268186667,122,c4b2381c6c98634a665e3a1adddfe5ce39fdd44e,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",43.85999999999999,
268191182,268191183,123,a80fb5a4befddfe51532231f4dcbcf6b0957cfe3,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",46.39000000000001,
268202092,268202093,124,86c8297593d0cc2321cf0e6c3168f788b593b21f,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",46.49,
268737000,268737001,125,f054da53b526c731471691ffb98a261efd012416,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",46.639999999999986,
268824430,268824431,126,0d37c9caa650898dda5d02a710751a1e3f3424bc,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.62,
268825633,268825634,127,0921222a5c871873dfc5bb439f99a5b9dbb5ae4e,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.50000000000001,
268830657,268830658,128,a83d9c69626700537f6eb8b0502884a7f9cc34c6,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.7,
269369975,269369976,129,df04c04c246d3ecd2963d5383e48a43ea3e9b83f,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.6,
257106552,257106553,12,da90d1763bd3c4e31717afb7f0d9f96ad4e93363,go,ok,1,go,gotest,true,false,37,0,37,0,7,7,0,"",26.34,
269370039,269370040,130,a3eeeea133ae20d515a73239dd219c53da206613,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.400000000000006,
269370053,269370054,131,69cacf882865f9c70bd710cfbaec05200a5774e6,go,ok,0,go,gotest,true,false,0,0,,0,9,9,0,"",36.199999999999996,
269370974,269370975,132,04566b7920fe2bde2456172902e9d36a9487064b,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.10000000000001,
269371644,269371645,133,04566b7920fe2bde2456172902e9d36a9487064b,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.09,
269373236,269373237,134,c9d3e624984c62c1dc2b7a5cf5e6189c741be8fe,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.470000000000006,
269692077,269692080,135,5e47122d326c79e3593a82b0748174a8a675cf3b,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.48,
269697408,269697409,136,ce826d358eaaa26ea887c98134f9212505f86df0,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.80000000000001,
269698908,269698909,137,0fdf293bcaf5a225345c6b171f54c1a3f0ff7a78,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.559999999999995,
269711153,269711154,138,6140de13f9368b5918eed71921ff4489a5834d04,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.61,
269725648,269725649,139,157a39961464f087bb4820548a50031c5483756d,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,"",46.410000000000004,
257127141,257127142,13,3a26595443bc21c7431b784cc6b63a2fab878bbe,go,ok,1,go,gotest,true,false,37,0,37,0,7,7,0,"",26.34,
269728354,269728355,140,5a0ec9d9f7e7366122b8a3729f5c5a18ebe47dc5,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.660000000000004,
269738582,269738583,141,be638bb2fe3afb6502f0347c9510579348925551,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.52,
269763882,269763884,142,e2e586868a4cf9cba9eaad7218159735482f4e7f,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.459999999999994,
269775135,269775136,143,f93e69e3a7e1f6d2dd36ebb060c2dfbdfa67daba,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.61,
269777964,269777965,144,12adff564348769b053b1e4fe7e4c763ae5fea70,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",45.830000000000005,
269778664,269778667,145,164175d572e7961fa6d6e35089993a30e054eec0,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",45.97,
269785874,269785875,146,9d0bcb28039ced46a2e93051b8b15b5ac9d8dc1d,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",45.84,
269786641,269786642,147,9f034fed70aa9f28d439bb948b80760e63477d07,go,ok,1,go,gotest,true,false,0,0,,0,9,9,0,"",36.220000000000006,
269790469,269790470,148,3bd9b6d18d75c827c2be03abb02a9d0df0241755,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.54,
269793903,269793908,149,dcc95072b062e0733beab35050e3b6dfe2c3133c,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.54999999999999,
257150872,257150873,14,25312839da219f29aa8318db4302f13aae6c8f73,go,ok,1,go,gotest,true,false,37,0,37,0,7,7,0,"",26.35,
269800139,269800140,150,784b646cb6c8b2b43c1245bb0a9e8516d3ef4448,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.66,
269805256,269805257,151,4d7623d6751b71e9821fea6320620de176ff2931,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.48,
269836975,269836976,152,36b31cdc26bca32bae1dfaf7d2cd38a3219556bb,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.339999999999996,
270523619,270523620,153,688d87eb9f8dea3caf7776e0096c68952b9de156,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.470000000000006,
270536469,270536470,154,e985ea442e53df174fc0ab6f8e60467529c4b3ee,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.24,
270546918,270546919,155,8dc6e0a3172eab9e25cb7ee2a1f7bff1742d6f08,go,ok,1,go,gotest,true,false,0,0,,0,11,11,0,"",46.769999999999996,
