build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
611581521,e319382c7a3ae5fb368816e7bb2c068bc0dc38ab,,master,passed,225,2019-11-13 21:32:56 UTC,611581522,611581523,push
611470497,d479c86d2a4309ea1ad11f448ca7dc9febc4bb11,818,master,passed,215,2019-11-13 20:04:38 UTC,611470498,611470499,pull_request
611469902,0406c95fa34131b8b4c5b153713d143317398cd4,,readme/eol-repos,passed,247,2019-11-13 17:47:59 UTC,611469903,611469904,push
535977838,68e160540513dea68a4fdf782a9eb552b807e075,,1.7.0-1,passed,284,2019-05-22 23:06:34 UTC,535977839,535977840,push
535977835,68e160540513dea68a4fdf782a9eb552b807e075,,master,passed,204,2019-05-22 23:03:44 UTC,535977836,535977837,push
535417841,d46da505c5ed6319ff4cdd1712159fb741c9c325,,master,passed,190,2019-05-21 17:59:19 UTC,535417842,535417843,push
534981674,875674cf7d6533fb50782eb124e7b4b410e87501,817,master,passed,184,2019-05-20 19:45:50 UTC,534981675,534981676,pull_request
534980611,c1a18a904c0028c4071a29cc8ab15647c5b6b333,,health-fix,passed,182,2019-05-20 19:43:26 UTC,534980612,534980613,push
499507215,c3d06e3d5222933ccc525835466734ed66c97732,,1.6.0-1,passed,291,2019-02-27 21:44:54 UTC,499507216,499507217,push
499507187,c3d06e3d5222933ccc525835466734ed66c97732,,master,failed,210,2019-02-27 21:37:50 UTC,499507188,499507189,push
498937455,d76dc266e321eadb622185e13f12ef3ae1743d64,,master,passed,167,2019-02-26 21:41:24 UTC,498937456,498937458,push
498460402,96ceb10a0915c4ecd56273fecafea70bdf4d5fd8,812,master,passed,210,2019-02-26 00:28:48 UTC,498460403,498460404,pull_request
498460358,79440f3e93eff6bd46bed6b958d93ac01882b2df,,health-daemon,passed,168,2019-02-26 00:27:07 UTC,498460359,498460360,push
498455489,14c30866eb023194edccf75d186d99e9335b8ca6,,health-daemon,canceled,0,,498455490,498455491,push
492447146,022ef68461d3aa79693f896d88a4d6d57e5e8a8b,,health-daemon,passed,213,2019-02-13 00:44:02 UTC,492447147,492447148,push
470633246,cdb7e9013cb652b6dcec4b693779a47744227640,,1.4.1,canceled,0,,470633247,470633248,push
470633243,f83c003f864b38f2389be6c067b598c7a03cb0aa,,master,passed,236,2018-12-20 18:06:17 UTC,470633244,470633245,push
470633238,f83c003f864b38f2389be6c067b598c7a03cb0aa,,1.5.0-1,passed,280,2018-12-20 18:06:03 UTC,470633239,470633240,push
470219886,4a0a165f74d2cba3740fe5b92c2816c9e5a0dd1b,,master,passed,221,2018-12-19 21:14:24 UTC,470219887,470219888,push
470216917,e1fe19300d3de4da7b0d4abdab31ca4609f46f1e,802,master,passed,196,2018-12-19 21:06:29 UTC,470216918,470216919,pull_request
468078780,cdb7e9013cb652b6dcec4b693779a47744227640,,1.4.1-1,passed,261,2018-12-14 16:37:55 UTC,468078781,468078782,push
468077438,cdb7e9013cb652b6dcec4b693779a47744227640,,1.4.1,failed,115,2018-12-14 16:34:49 UTC,468077439,468077440,push
468077417,cdb7e9013cb652b6dcec4b693779a47744227640,,master,failed,120,2018-12-14 16:34:54 UTC,468077418,468077419,push
468063917,216ce0d7c13a4186013cba1ed73579d3ee187659,,1.4.0-1,passed,273,2018-12-14 16:06:38 UTC,468063918,468063919,push
468063884,216ce0d7c13a4186013cba1ed73579d3ee187659,,master,passed,249,2018-12-14 16:06:34 UTC,468063885,468063886,push
468059383,136dff892ebb40f554c064626c85032db52e2cb9,,master,passed,165,2018-12-14 15:54:47 UTC,468059384,468059385,push
468052164,2fcc55c6a9cfda30aa695d38f6ea404b55d8ebb7,,master,passed,165,2018-12-14 15:38:32 UTC,468052165,468052166,push
467128314,8c64fa00606e3df254d8dc4274e973dfa0b2bcd9,,master,passed,144,2018-12-12 18:21:21 UTC,467128315,467128316,push
467124287,902aa64efbb7f6321e483c33ca9ea9d84d1d1aff,801,master,passed,140,2018-12-12 18:11:14 UTC,467124288,467124289,pull_request
430232665,69add50b123ba180b3e9a4197f0d1361eaed294c,799,master,passed,232,2018-09-18 20:19:03 UTC,430232668,430232669,pull_request
395549155,8f890853c3d6f4cd894948a77392f659a3235949,,master,passed,213,2018-06-22 16:55:56 UTC,395549156,395549157,push
395163339,cb1c2c2c9749c0dd537d24063863c29251c72aee,792,master,passed,298,2018-06-21 19:00:07 UTC,395163340,395163341,pull_request
