tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
407494826,407494827,1020,0a1dc6948f20ba4eed86ee2e73ca356a034f8371,go,ok,1,go,gotest,true,false,0,0,,0,2,2,0,"",1.94,
407495028,407495029,1021,3aa89ce1ec471e06e26b5418202cd91cb1caee76,go,ok,0,go,gotest,true,false,0,0,,0,2,2,0,"",1.5,
407498619,407498620,1022,b477847381142528d2f7c1794683872f4d94978f,go,ok,0,go,gotest,true,false,0,0,,0,2,2,0,"",1.45,
407498696,407498697,1023,61f5b0a3d3d3d7350289e3c0e77c97214f7ba756,go,ok,1,go,gotest,true,false,0,0,,0,2,2,0,"",1.33,
407521417,407521418,1024,01e01ba4e7902b1848559150a6aa48b07d8ebd0a,go,ok,1,go,gotest,true,false,0,0,,0,2,2,0,"",1.95,
407521449,407521450,1025,91c6f6f7ae1d6048a4541801bc1141cd516a4bc5,go,ok,0,go,gotest,true,false,0,0,,0,2,2,0,"",1.06,
418938788,418938789,1135,c69daf24779f075058db78bfb8db7a79d54110b6,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.98,
418939695,418939696,1136,75265032e8b25aa29e897e429617f80cc1a6c97c,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.75,
418940516,418940517,1137,8b4c7d0c24d006eb942e878195cd2dfda1263be5,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",0.79,
418941590,418941591,1138,16bdb08baa985a2f99b3e90fc60c47d41c0976b7,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.84,
418942937,418942938,1139,96ed63147f2d075daf72a7f1432b8499960053f1,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.8,
418943668,418943669,1140,b09e5152efc8d536ec183d3b2e70feacc6d94ff9,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.8,
418944658,418944659,1141,84edaf56b23944335c74ac3f35834a405d051260,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.71,
418950184,418950185,1142,ca76f54369cbbe5aa3e93d005772d578d5f54648,go,ok,3,go,gotest,true,false,0,0,,0,1,1,0,"",1.64,
419933179,419933180,1143,94a885040bdc06dd89eee8313402d9e014b41072,go,ok,1,go,gotest,true,false,0,0,,0,1,1,0,"",2.06,
419933369,419933370,1144,f4805888072f7721d3c1a47875b858421ddc2e91,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.51,
419938031,419938032,1145,92b773f27dc856fa3db08c772963cb8c64f1ce89,go,ok,2,go,gotest,true,false,0,0,,0,1,1,0,"",1.74,
420909435,420909436,1146,0205f7d3a6aac146d8c6c9669341cc78dd6c1b25,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.75,
421193060,421193061,1147,ad64e76edffeeae21dcddee5c39db467c851ffa3,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.53,
421194465,421194466,1148,cacbb2329dfe498cf8f41c7c628009ad6b534820,go,ok,0,go,gotest,true,false,0,0,,0,1,1,0,"",1.43,
