tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
463876993,463876994,7246,f37750c49a3f5f51509c8734a39bf6409618afd9,go,ok,3,go,"",false,,,,,,,,,"",,
463876993,463876995,7246,f37750c49a3f5f51509c8734a39bf6409618afd9,go,ok,3,go,"",false,,,,,,,,,"",,
463876993,463876996,7246,f37750c49a3f5f51509c8734a39bf6409618afd9,go,ok,3,go,gotest,true,false,427,0,427,1,30,30,0,"",518.5800000000002,
463876993,463876997,7246,f37750c49a3f5f51509c8734a39bf6409618afd9,go,ok,3,go,gotest,true,false,0,0,,0,8,8,0,"",476.7800000000001,
463912086,463912087,7247,5892bc926a4b4d408ffe2970039c3a61c3286a5c,go,broken,3,go,"",false,,,,,,,,,"",,
463912086,463912088,7247,5892bc926a4b4d408ffe2970039c3a61c3286a5c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463912086,463912089,7247,5892bc926a4b4d408ffe2970039c3a61c3286a5c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463912086,463912090,7247,5892bc926a4b4d408ffe2970039c3a61c3286a5c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463931477,463931478,7248,a10aafc2dfbbc1042920e1894b2f21b08e41319f,go,broken,3,go,"",false,,,,,,,,,"",,
463931477,463931479,7248,a10aafc2dfbbc1042920e1894b2f21b08e41319f,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463931477,463931480,7248,a10aafc2dfbbc1042920e1894b2f21b08e41319f,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463931477,463931481,7248,a10aafc2dfbbc1042920e1894b2f21b08e41319f,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463943560,463943561,7249,82f1c5c9cd9d58a678a1709b81cf2f5a9486615b,go,broken,4,go,"",false,,,,,,,,,"",,
463943560,463943562,7249,82f1c5c9cd9d58a678a1709b81cf2f5a9486615b,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463943560,463943563,7249,82f1c5c9cd9d58a678a1709b81cf2f5a9486615b,unknown,unknown,,plain,"",false,,,,,,,,,"",,
463943560,463943564,7249,82f1c5c9cd9d58a678a1709b81cf2f5a9486615b,unknown,unknown,,plain,"",false,,,,,,,,,"",,
