tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
170542362,170542363,10,e6094ca119cf4f5e67660800fcf9e653e662b855,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.52,
170566600,170566601,11,a47c1e938eba820acc16c4f7a0bcce3115d47f68,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.2,
170664397,170664398,12,c09484b53485b8e862e6ac62d586c2f4ff78b645,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.19,
173238475,173238476,13,ed74e8aec806f62f5247b014e5e757576b547ece,go,ok,1,go,gotest,true,false,4,0,4,0,1,1,0,"",2.47,
177648332,177648333,14,31bfe391f5240ebc54ee310ff6e139bb5419183c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
177719315,177719316,15,97e172d6f2cab21c560941f55839c3a541c5b3ab,unknown,unknown,,plain,"",false,,,,,,,,,"",,
177781733,177781734,16,d87100011f0b1bc33619dca4c86cbe6143b108b5,unknown,unknown,,plain,"",false,,,,,,,,,"",,
177782196,177782197,17,dd55d6579250382a5df2782607654c99f1ea8901,unknown,unknown,,plain,"",false,,,,,,,,,"",,
182493613,182493614,18,af43ab8ae163cd015b2541884eb08fa76272a74b,unknown,unknown,,plain,"",false,,,,,,,,,"",,
183306264,183306268,19,6a22caf2fd45d5e2119bfc3717e984f15a7eb7ee,unknown,unknown,,plain,"",false,,,,,,,,,"",,
168801711,168801712,1,c2650c3f796d1d3decdbfa4ab2cb126b7eac81b0,go,ok,0,go,gotest,true,false,3,0,3,0,1,1,0,"",1.63,
252254853,252254854,20,27ff4e6d246dc5a90e1531e5cd35660786fa9165,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.14,
275831128,275831130,21,6a22caf2fd45d5e2119bfc3717e984f15a7eb7ee,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.69,
357737974,357737976,22,e4b71c7eaee61f72142e7a4aea8f83b61fc223c5,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.29,
389492071,389492072,23,7fbee747438bb1a611645c95579280de8393914a,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.28,
399831499,399831500,24,67c16806a5d622e44bcdf745704257e86b56e06f,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,"",2.21,
399832157,399832158,25,44844a28c0f1c255774f8b0cdfaa4e6439e6c593,go,broken,0,go,gotest,true,true,0,1,1,0,0,0,0,github.com/tidwall/sjson,0,
423107418,423107419,26,3bd9019eb0e57cfd266d75e4be396650dfaa375f,go,broken,1,go,gotest,true,true,0,1,1,0,0,0,0,github.com/tidwall/sjson,0,
