tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
98173095,98173096,10,3d1f3b6443516a399ccbba714043a2393769d867,go,ok,2,go,gotest,true,false,4,0,4,1,4,4,0,"",0.0,
98513173,98513174,11,06a2830b79ed144d81ecedc41860b5b0d68a163e,go,ok,1,go,gotest,true,false,4,0,4,1,4,4,0,"",0.0,
99802844,99802845,12,bd036e68500386a821497d8d844cd2fd9338724b,go,ok,0,go,gotest,true,false,4,0,4,1,4,4,0,"",0.0,
99802846,99802847,13,bd036e68500386a821497d8d844cd2fd9338724b,go,ok,1,go,gotest,true,false,4,0,4,1,4,4,0,"",0.0,
114071854,114071855,14,3c19a4d464c4d0ad9b1e1d5c4d0b310977808284,go,ok,1,go,gotest,true,false,7,0,7,1,4,4,0,"",0.0,
130216169,130216170,15,4b675a8a690a29c686cc66630f319bdeb857f91b,go,unknown,1,go,"",false,,,,,,,,,"",,
130218045,130218046,16,609f1c622c70129cbdb8bd9928fa23fe7744ea1c,go,ok,1,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
132472132,132472133,17,cf13dee8a8b47c86a0926ec5a7c19790528979bb,go,unknown,0,go,"",false,,,,,,,,,"",,
132472386,132472387,18,4fbf60dbbbdca721e7f6730c9b1e0c336f4bc00d,go,ok,1,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
133477741,133477742,19,43144510c14e5ed4d86df5785aad52b933998163,go,ok,1,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
97859353,97859354,1,54dc59df52f335696fe45eb19c88feb684a890ec,go,unknown,0,go,gotest,true,false,4,0,4,1,4,4,0,"",0.0,
133494589,133494590,20,00ea6c7c1eb767eb7a579e97bfb64895c0e767e5,go,ok,1,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
133500028,133500029,21,8615ec7e93ef8bd05902913cbeba4b9a95bca174,go,ok,0,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
133585661,133585662,22,04e56be23b25fd3c54e52c67d399a791daaa4bd9,go,ok,1,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
133717978,133717979,23,f1747fbbbb6d6fa7fc2b686503c5acad6897a82c,go,ok,1,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
137184316,137184317,24,1be9bc4c1775dc39a96001a4595008ad72cbc931,go,unknown,0,go,"",false,,,,,,,,,"",,
137184645,137184646,25,273a9fb669eeed8309a8a95e7c8613f22c3309c1,go,ok,0,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
137199662,137199663,26,cbffb70b4045134e2ef9aecd72b236ca302dd53a,go,ok,0,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
137450065,137450066,27,6caa7833cb18840fcbf8c2fcffcd8a7acf38fab8,go,ok,0,go,gotest,true,false,10,0,10,1,5,5,0,"",0.0,
