tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
89119599,89119600,100,dcbe29c7a18887497b4857e64665d25be43f7c7e,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",10.1,
89119609,89119610,101,dcbe29c7a18887497b4857e64665d25be43f7c7e,go,ok,4,go,gotest,true,false,20,0,20,0,2,2,0,"",8.64,
89138377,89138378,102,2cf1d6e3f557e29d99d164620db1d10f5cac25c4,go,ok,5,go,gotest,true,false,20,0,20,0,2,2,0,"",13.069999999999999,
89139406,89139407,103,2cf1d6e3f557e29d99d164620db1d10f5cac25c4,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",7.61,
89348200,89348201,104,58b9be6061a97e574c0695d6f15031f8b01a9629,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",7.92,
89348212,89348213,105,58b9be6061a97e574c0695d6f15031f8b01a9629,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",8.479999999999999,
89440419,89440420,106,c08444ff0ddd4842b719625f3a15f6cfc137e966,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",11.329999999999998,
89508062,89508064,107,bd3e0bd3b1f90ac2482e26bf72874ea1c74601d8,go,ok,5,go,gotest,true,false,20,0,20,0,2,2,0,"",13.120000000000001,
89508136,89508137,108,bd3e0bd3b1f90ac2482e26bf72874ea1c74601d8,go,ok,11,go,gotest,true,false,20,0,20,0,2,2,0,"",9.669999999999998,
89562922,89562923,109,daa05263d1cd6b707bc75afa19eb1434cd81f530,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",8.61,
69229466,69229467,10,80d4773dee9f097dffc098de9e0de65c166d2301,go,broken,3,go,gotest,true,true,0,6,,0,0,-4,4,TestSave-2#TestUpdate-2#github.com/tools/godep#TestSave-2#TestUpdate-2#github.com/tools/godep,33.980000000000004,
89562949,89562950,110,da9be0a0684da34e5e4faba2bfec3749d990468c,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",8.39,
89565627,89565628,111,be17420d58844d3e87563f84eb8b1ac62428d4ec,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",9.75,
89565642,89565643,112,be17420d58844d3e87563f84eb8b1ac62428d4ec,go,ok,4,go,gotest,true,false,20,0,20,0,2,2,0,"",10.44,
89566997,89566998,113,218402f1be307b09062d05f803aaf1c65b0dca48,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",8.24,
89567001,89567002,114,218402f1be307b09062d05f803aaf1c65b0dca48,go,ok,7,go,gotest,true,false,20,0,20,0,2,2,0,"",11.95,
89579839,89579840,115,60d8317fc0b84f55e9073f572df01ce8e5567d36,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",9.93,
89579852,89579853,116,b743172f613a65930746c7317b1fb9431d6624ca,go,ok,4,go,gotest,true,false,20,0,20,0,2,2,0,"",10.27,
89580340,89580341,117,0a8bd86405086a8fe6ceb91efc7214ebef864da8,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",9.56,
89580345,89580346,118,0a8bd86405086a8fe6ceb91efc7214ebef864da8,go,ok,3,go,gotest,true,false,20,0,20,0,2,2,0,"",10.069999999999999,
