tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
551559679,551559680,1019,e5b9da2bb85df93c65d110f3c879664ae3ef097c,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.33,
551559713,551559714,1020,953c4b19d42b4c7339caabc6ab06c73543862764,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.33,
551560477,551560478,1021,bfa01982708406d0d8c2b2101c9d290e78c4556c,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.29,
551560485,551560486,1022,763f8fa2c116de753a63bf4df584ff5b6e5a6ac8,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.09,
551561397,551561398,1023,7f1d926edecd5366425b30838f126d0ebee3c237,go,ok,2,go,gotest,true,false,0,0,,0,4,4,0,"",9.18,
551561417,551561418,1024,648e9415c0a4b67238ced13c20a5fc7321083748,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.27,
551562612,551562613,1025,f776ef516828358871800d22d045e8664b63313e,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.19,
552080543,552080544,1026,e1471b4f503c2608b2251f0aa1f1b7959a695659,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.129999999999999,
552080809,552080810,1027,226ee4b85953a669f562515fb5c50d51445c7d01,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.049999999999999,
552081999,552082000,1028,d30bb7d42cba3b37c592c48da07a1ff05042c62f,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.27,
552082037,552082038,1029,399f4f20d416282dcba25204d48ab22eccf0fb7e,go,broken,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.22,
552083083,552083084,1030,0ea0ccadcd47403c665237675203459bccd0bcbe,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.1,
552083094,552083095,1031,e5dc8a2e29172e6952e38fb2de45bd83667deb90,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.11,
552086501,552086502,1032,a2fc3771deed38dbd3c5796e80c8c9bc10f0bd3e,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.249999999999998,
552095598,552095599,1033,c711405197d3d98b717846ebd3fdbdc7d00c3d59,go,ok,2,go,gotest,true,false,0,0,,0,4,4,0,"",9.12,
552096077,552096078,1034,ac2df11072ab55292e5b65a082e210f338cea5a2,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.12,
552097029,552097030,1035,542a132d1f50b31cec27c46eba20a0d42622316e,go,ok,2,go,gotest,true,false,0,0,,0,4,4,0,"",9.209999999999999,
552097106,552097107,1036,542a132d1f50b31cec27c46eba20a0d42622316e,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.41,
552099111,552099112,1037,d64fbb1b1e41fc008d0b999efd7de1c923744013,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.22,
552099113,552099114,1038,f36024d2897325d1dbb3212be129b26c1a002f25,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.379999999999999,
552100240,552100241,1039,8539a1d25ad6e5b4c748e64a1c1d5e89f46610a7,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.12,
552392919,552392920,1040,2800d6a77322dc1c0357cf778d362fdb60f685f7,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.24,
552393171,552393172,1041,bc61fbc11ac1275dec1077541972659d88703d35,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.33,
552394543,552394544,1042,bff3e1ed6148f01bb0f98a814676b9ea5fa66c55,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.389999999999999,
552395288,552395289,1043,835ab33026eb29bd93d2455d152890ef80d6d0c7,go,ok,2,go,gotest,true,false,0,0,,0,4,4,0,"",9.239999999999998,
552395478,552395482,1044,d77176512e230eb872b39bbc726c4221df57c283,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.339999999999998,
552401255,552401256,1045,6cbde10401f30011575a8ce5b034a0c51036a0f9,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.15,
552684132,552684133,1046,6cbde10401f30011575a8ce5b034a0c51036a0f9,go,ok,2,go,gotest,true,false,0,0,,0,4,4,0,"",9.219999999999999,
552685999,552686000,1047,522f3f11924e1d6ab451eb8ed974499becb4c77d,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.379999999999999,
552685999,552686001,1047,522f3f11924e1d6ab451eb8ed974499becb4c77d,go,unknown,1,go,"",false,,,,,,,,,"",,
552686236,552686237,1048,4afa82ad3bf8984a0f87e54d195d78ebb3bbd4c0,go,unknown,1,go,gotest,true,false,0,0,,0,2,2,0,"",7.39,
552686236,552686238,1048,4afa82ad3bf8984a0f87e54d195d78ebb3bbd4c0,go,unknown,308,go,"",false,,,,,,,,,"",,
552687622,552687623,1049,00c05f3b73132000aacb87ad0c00e7d9c146bfef,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.26,
552687622,552687624,1049,00c05f3b73132000aacb87ad0c00e7d9c146bfef,go,unknown,1,go,gotest,true,false,0,0,,0,4,4,0,"",11.96,
552687630,552687631,1050,e57276029b6817d877fb999d76eaf5f78151e0fd,go,ok,2,go,gotest,true,false,0,0,,0,4,4,0,"",9.09,
552687630,552687632,1050,e57276029b6817d877fb999d76eaf5f78151e0fd,go,unknown,0,go,gotest,true,false,0,0,,0,4,4,0,"",11.42,
552691537,552691538,1051,89db0a2261977907f75fbf05307504897addd50f,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,"",9.28,
552691537,552691539,1051,89db0a2261977907f75fbf05307504897addd50f,go,unknown,1,go,gotest,true,false,0,0,,0,4,4,0,"",11.77,
