build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
94530949,2905ac2a2f4bae2e9684b798e2ade14c5afd9d34,,master,passed,198,2015-12-02 23:54:29 UTC,94530950,push
94529803,1be21c0d1874474087679582a46ab2e9e2ef4c79,,master,failed,253,2015-12-02 23:47:55 UTC,94529804,push
94416906,a6b2f8733eee3d047ac2cf195bb32b082f410a98,,master,failed,179,2015-12-02 15:09:59 UTC,94416907,push
94416013,c9991eeb3a890a2bf7862d39dde1f09647da118d,,master,failed,91,2015-12-02 15:06:00 UTC,94416014,push
94415525,72c975c34b9311408e66898fe521084339f62330,,master,errored,62,2015-12-02 15:03:48 UTC,94415526,push
94415235,c05169a168c799cc4eb42fd309e2dd61ef4c29e3,,master,failed,224,2015-12-02 15:02:58 UTC,94415236,push
94413188,695cbab377c784e465626a7f3de59cb7451fc2f4,,master,failed,285,2015-12-02 14:52:40 UTC,94413205,push
94408762,9471760377091da4982dedd6e060d15c2fb4a686,,master,failed,421,2015-12-02 14:33:36 UTC,94408763,push
87947209,203ac34448821b751f62d4a2955d689d28a91491,,master,failed,204,2015-10-28 17:51:49 UTC,87947210,push
85581520,0e27f75c92ead06da4594f46fe6a9ba26363c453,,master,failed,206,2015-10-15 17:57:59 UTC,85581522,push
85580881,16dfa4eda5d87afe64f279f793a38731dd61fe46,,master,failed,185,2015-10-15 17:53:43 UTC,85580882,push
85576727,48b62d52b59b1f7c3c8ada93ba47dcb636d65b5c,,master,failed,253,2015-10-15 17:31:06 UTC,85576729,push
61824078,04759dde2d8f3f23a51ca2bd5ce6c352e5df4553,134,master,failed,337,2015-05-08 21:45:07 UTC,61824079,pull_request
61181759,2e80d870e96bed763e039628468a1e8171de929f,,master,failed,268,2015-05-04 17:54:46 UTC,61181760,push
61180976,2b5d5fdab2b4a4855e53cf7249fb96f862c429ff,,master,failed,476,2015-05-04 17:50:27 UTC,61180977,push
54359844,516305ddd5b56f936b45a5389d3454a3d4e8c265,132,master,passed,268,2015-03-14 13:30:41 UTC,54359845,pull_request
53724368,bda0abdc2d5b786381ecf0b879385cd201132ddc,,master,passed,268,2015-03-09 22:44:21 UTC,53724369,push
49311765,c30a5038f46d35d05016cde6de9757f890448476,,master,passed,198,2015-02-03 12:58:18 UTC,49311766,push
49311705,c9ba66f3f194d6747fe10f4073494ef05c6eec6e,,master,errored,285,2015-02-03 12:58:12 UTC,49311706,push
49311579,41cf3fec1aecfdd6d6e6c3ef7ef9ac94a48aecfd,,master,passed,146,2015-02-03 12:56:09 UTC,49311580,push
