tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
744554275,744554276,11370,1ef264d5607023436ae79c0621822c26f6962905,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744555434,744555435,11371,8692639e62d0d12634c37c2125f182aec8851a3a,ruby,broken,9,ruby,"",false,,,0,,,,,,"",,
744558449,744558450,11372,f21ada61106adc5378ddb016b13f7ea9a36c8d8f,ruby,unknown,4,ruby,"",false,,,0,,,,,,"",,
744561493,744561494,11373,72d5a8a768384490d70c48022c223552e988fe33,ruby,broken,10,ruby,"",false,,,0,,,,,,"",,
744566402,744566403,11374,dcf49c11e525a4657612afd22aece2f122047405,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
744600841,744600842,11375,555f2d1e11bb93c2147f53909a71f4011a088df2,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
744606916,744606917,11376,67a40d9133d43550f7a5c855f5fc416f5bea1a91,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
744658119,744658120,11377,e123fc2f30ce53df2bf023507aef7a09460f07de,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744658223,744658224,11378,ea196137006a303ab9ae68a9a48c9c0502409f92,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
744666480,744666481,11379,95c242a2e16886b3a27ae0123cb962a7e84fa013,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744666498,744666499,11380,6122ee8360e16f1224f32ef318fe7e6fb4cd30af,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
744672888,744672889,11381,08a50edb23cf164aee96c015d15f0be8a8fd4e67,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744673763,744673764,11382,506175212cbfb0f48db05a9c5d5b16c97ed43e0e,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744676828,744676829,11383,89ef2ac4d3a6075a6a1d1a2327bf407c7338baea,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744681981,744681982,11384,bfbb082fd8340ff1dd06f9bfabb0215c98c2b59b,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744682662,744682663,11385,bbc8c05f93d3527e707afcd6da553d92a3fbc2da,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744694632,744694633,11386,eaed8272309b7b59a9e0203d9735d18e9d9aa98f,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
744696017,744696018,11387,bbc8c05f93d3527e707afcd6da553d92a3fbc2da,ruby,ok,11,ruby,"",false,,,0,,,,,,"",,
744699180,744699181,11388,5ecfe138c73d0355fd63d46832c185309e5d8994,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
744703548,744703554,11389,7612a22480abd7e3d6f018459d4b6a6725f9d616,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744708664,744708665,11390,e7b24582a25d65347d4b8185057f9196b9b6b78a,ruby,unknown,4,ruby,"",false,,,0,,,,,,"",,
744708857,744708858,11391,9033683e151678ee13407692e54489410967d7b2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744710754,744710755,11392,c468bdef6d8c5e49f2f61755fdc5965ab1d77ba3,unknown,unknown,,plain,"",false,,,,,,,,,"",,
744711029,744711030,11393,d88019814af5d7b8f4007e491051ab2920d02b9e,ruby,unknown,4,ruby,"",false,,,0,,,,,,"",,
