build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
19237010,b37dc119447a365d51b8087698c9981a32a811f5,278,master,failed,17,2014-02-20 05:43:53 UTC,19237011,pull_request
18859519,b1155dfdc87967649d7123c46524c46444d059fc,278,master,failed,19,2014-02-14 05:31:31 UTC,18859520,pull_request
18851096,8e08f5db36288fb9b04b75c6a79f24b329ea926d,241,master,failed,22,2014-02-14 01:32:17 UTC,18851097,pull_request
17941332,67f49e79339a8b0cc91d7e67121291e096d0357c,277,master,failed,17,2014-01-30 22:43:14 UTC,17941333,pull_request
16467882,c184a54e49793d3a6cb0d54368ac8debe0377641,148,master,failed,19,2014-01-06 14:54:53 UTC,16467883,pull_request
16451201,b03514280f9a7cc696356e5e2a3aba2d64e2d8d8,274,master,failed,17,2014-01-06 07:43:24 UTC,16451202,pull_request
16311835,7a15e48ad4419ffe8213b859a49151d7a32d4661,273,master,failed,16,2014-01-03 12:08:36 UTC,16311836,pull_request
16220686,7e27b74a2db111110d12349084c36ff0e3b7aa2e,272,dev,errored,14,2014-01-01 15:36:11 UTC,16220687,pull_request
16148821,a771df7f6f3f46aa87b833bb03141c95ff191407,271,master,failed,16,2013-12-30 17:05:08 UTC,16148822,pull_request
15995075,62e7e0da04391c998bc1beda8a188ff734a47d8e,148,master,failed,18,2013-12-26 16:14:45 UTC,15995076,pull_request
15195242,41094dc9266877692d600af4ac1de0322dd7570e,232,master,failed,15,2013-12-09 22:44:29 UTC,15195243,pull_request
14990759,e4df3e60af1d1d9848a4928337ab6e4b64c6f1b2,268,master,failed,18,2013-12-05 16:27:24 UTC,14990760,pull_request
14367825,b3e4c217baa9429d9418dd5d9f596af2c9ba9990,148,master,failed,16,2013-11-22 13:32:29 UTC,14367826,pull_request
13860760,9403b23cc6d72f77a2266b51dd2ac1ae6e9644e0,148,master,failed,17,2013-11-12 14:51:32 UTC,13860761,pull_request
13660593,8c553282122ff61bf1b80bfb2d1f48804d6a383e,264,master,failed,16,2013-11-07 23:37:34 UTC,13660594,pull_request
13638743,0115c853e3058148a97dc91e5743d39d53e2a36e,266,master,failed,15,2013-11-07 15:37:32 UTC,13638744,pull_request
13609486,3c716be2ff43ac4272aac6cf663bb63719c2b8fc,264,master,failed,15,2013-11-07 00:04:29 UTC,13609487,pull_request
13466317,fb1ffb33c5568943c4487c87059ce7d2a69488fd,148,master,failed,15,2013-11-04 10:39:54 UTC,13466318,pull_request
13193006,dfdc58c724952be0f8029175e18d9eaadabb363c,263,master,failed,14,2013-10-29 06:17:32 UTC,13193007,pull_request
12614512,1b56b2a9a38637ffaf02d7aa21fe4a501a205982,259,master,failed,15,2013-10-16 12:08:23 UTC,12614513,pull_request
11591914,7036368b4aa2f523ebd7786a705b527451d82a38,257,master,failed,13,2013-09-20 12:48:08 UTC,11591915,pull_request
11541556,861e313e66720b404ff0033c6a2f1b805299cad2,257,master,failed,13,2013-09-19 08:17:58 UTC,11541558,pull_request
11498948,45aadd6da225e667dec19b7ffd0fcefa5b12b0ec,229,dev,errored,19,2013-09-18 08:20:13 UTC,11498949,pull_request
10959597,c3b59c469f2ce00b660bb1266f680e97bbde4989,235,master,failed,14,2013-09-04 03:03:18 UTC,10959598,pull_request
10743943,bf56268493f8788cbac05d903aa4708f9418a107,255,master,failed,14,2013-08-29 07:40:18 UTC,10743944,pull_request
10664538,1e4f2426723e6300fb13e105bd85d0766f014413,252,master,failed,14,2013-08-27 12:02:14 UTC,10664539,pull_request
10563442,a193352619752211af4add58bc658a8e2b7ceb58,235,master,failed,13,2013-08-24 08:18:34 UTC,10563443,pull_request
10562714,b9c8660827d4a84a3ba9c9a334a20f84ec79105a,235,master,failed,14,2013-08-24 07:29:41 UTC,10562715,pull_request
10398152,caa20e94fce94cf11a527613ae771f6281905278,248,master,failed,14,2013-08-20 08:08:53 UTC,10398153,pull_request
9913234,7422b27d2f402b4f10ae2f652b5b733417998ecd,249,master,failed,17,2013-08-06 18:46:21 UTC,9913235,pull_request
9745088,4864c002554fac65a72c0147334c7fface632409,234,master,failed,15,2013-08-01 17:30:34 UTC,9745089,pull_request
9726637,5886dd3aaf07cd0343a9da68577646959a96e9f6,248,master,failed,14,2013-08-01 08:49:19 UTC,9726638,pull_request
9704954,4b0357b92f037c2360ca5072e34328ed128b5040,247,master,failed,14,2013-07-31 18:39:38 UTC,9704955,pull_request
9654105,29c9b2f1ddc5980c90fef3d144656910634b9a78,245,master,failed,16,2013-07-30 15:53:48 UTC,9654106,pull_request
9513039,5a6e3a2351d499019ab0d873180c9cec928d4f66,148,master,failed,14,2013-07-26 11:37:28 UTC,9513040,pull_request
9480777,a98029560e09cdbcb1be9609936bd400f666316c,243,master,failed,14,2013-07-25 16:17:51 UTC,9480778,pull_request
9467656,92ef704bba74e1619b67e8a28153d92f7270c93e,148,master,failed,16,2013-07-25 10:19:43 UTC,9467657,pull_request
9320404,16ed41002c74c3f3fae4c1078048453bea2d0963,214,master,failed,14,2013-07-21 11:21:14 UTC,9320405,pull_request
9127248,607515cf4776c89873118f96a0c919f17a9e0de8,241,master,failed,14,2013-07-16 07:01:36 UTC,9127249,pull_request
9097619,b941f737b8b1ac42024d7067b3a37040c9532b7b,240,master,failed,14,2013-07-15 14:18:05 UTC,9097620,pull_request
8885309,1169ec70e4c90aae458dd9f04e844ee2d4313a2d,239,master,failed,14,2013-07-09 12:41:42 UTC,8885310,pull_request
8302050,79a2b167031a70ef39b6906efc03d6ed52be7d98,235,master,failed,12,2013-06-21 07:24:22 UTC,8302053,pull_request
8301282,4f5ac6a1ec8acc915c8145deab43373fc1648947,235,master,failed,12,2013-06-21 06:36:38 UTC,8301283,pull_request
8180680,acd59b1e29c2f4a12a78d2013a115a94f6b839d4,234,master,failed,16,2013-06-18 00:02:09 UTC,8180681,pull_request
8136480,5b1f32ddef3aca6b8672acba7f058b3e0bba1209,233,dev,errored,18,2013-06-16 16:30:13 UTC,8136481,pull_request
7873912,2735ed80551c113db117667355ab8c4fae84f5b5,229,dev,errored,26,2013-06-07 11:58:11 UTC,7873913,pull_request
7818356,000fe1ab321bd5e0f6c7f64860c6ac33e9a164cf,222,master,failed,14,2013-06-05 19:56:28 UTC,7818357,pull_request
7609540,973714da1d98772b6b10418101e9a62ee810d4dd,232,master,failed,13,2013-05-29 19:28:48 UTC,7609541,pull_request
7499316,28af63798bd7f7117b9584bf01d2f3b04a594dee,229,dev,errored,17,2013-05-25 22:10:49 UTC,7499317,pull_request
7424922,969f377b76e917511995ad088a39dd927e4e0527,228,master,failed,13,2013-05-23 12:51:02 UTC,7424923,pull_request
7361392,ad78b207b5f88040f8e59ebc23f015a00934b3e1,148,master,failed,14,2013-05-21 15:03:22 UTC,7361393,pull_request
7232097,d454158390eea523ea607e0b313061482a586368,222,master,failed,12,2013-05-16 20:27:35 UTC,7232098,pull_request
7165237,9df119882680f10a7a125fd082ac8cba727281e3,222,master,failed,13,2013-05-14 18:43:05 UTC,7165238,pull_request
7141022,e929dde15aa30e40f9391ac453a5a5aef290fad8,222,master,failed,13,2013-05-13 23:31:53 UTC,7141023,pull_request
6929638,e02189b1e23d5c57d1032b99deba92efcd8a5975,223,master,failed,13,2013-05-06 17:14:58 UTC,6929639,pull_request
6923620,68ac16d6cf0c7e3e1be6be8db6689ccf8922d20d,223,master,failed,13,2013-05-06 13:39:24 UTC,6923621,pull_request
6861844,fa391985920b40906cffda4715134e2d10191aeb,222,master,failed,11,2013-05-03 18:39:15 UTC,6861845,pull_request
6583129,da83cd05d50ec14ad5819c981d6bab7f31b5ba0e,220,master,failed,11,2013-04-23 21:40:15 UTC,6583130,pull_request
6449018,7a271db8d4b4b16c6f59ef697853b1ea54f116ed,217,master,failed,11,2013-04-18 16:34:30 UTC,6449019,pull_request
6057709,16e38b7d8865a1f119940e4edb5bdccefab5567c,214,master,failed,10,2013-04-04 18:37:19 UTC,6057710,pull_request
5971336,0150573c4fc44acfe66997a745815bfe03dd67c4,211,master,failed,11,2013-04-01 22:42:49 UTC,5971337,pull_request
5407226,c6d63dff657e575391f1d62ca4e7c7fbf574045b,148,master,failed,10,2013-03-11 11:31:23 UTC,5407227,pull_request
5146424,ed7a058e9b3e56744f31d94a60c0c4927649402d,204,master,failed,14,2013-02-28 22:54:10 UTC,5146425,pull_request
5131937,4272f83f4a98022eb6b6afd3df23de935b7cdea8,203,dev,errored,49,2013-02-28 13:15:50 UTC,5131938,pull_request
5127854,53c011051974808e978468bdeef58711fdcaaca7,202,master,failed,15,2013-02-28 09:11:58 UTC,5127855,pull_request
4963960,bee30495817256bc44c827501653bb3accc5322b,201,gh-pages,failed,14,2013-02-21 19:08:43 UTC,4963961,pull_request
4867650,535a6559bb015c6c8bd3777727e504bf4808d2e4,199,master,failed,11,2013-02-18 03:44:04 UTC,4867651,pull_request
4829186,ab48658daa2e797b3a4a11a33926c6586c1b73b2,194,dev,errored,20,2013-02-16 00:39:27 UTC,4829187,pull_request
4788892,fe05f5b3d3eef7caeaa7a0ab38edfbecfce6fdc4,198,master,failed,12,2013-02-14 09:09:07 UTC,4788893,pull_request
4763839,132e1558451ae84b1875155a9a89d7e61b79736d,197,master,failed,12,2013-02-13 08:28:35 UTC,4763840,pull_request
4762999,da0eb6ecc730fa32dce6d3248d2b8c3b56dfdce1,197,master,failed,12,2013-02-13 07:10:24 UTC,4763000,pull_request
4762987,af25bbedaae50584df91ec122c7ec3945bba02a1,197,master,failed,12,2013-02-13 07:09:55 UTC,4762988,pull_request
4749440,eac29dd3f9f99b6ff0617dca3b4d1141544d53bf,197,master,failed,13,2013-02-12 17:17:55 UTC,4749441,pull_request
4749070,ca28562b4aed6c48beb65b5457b677fbefaabeec,197,master,failed,19,2013-02-12 16:57:01 UTC,4749071,pull_request
4618107,c19e166f2c751a558c52ffe3702ca305f2829eb7,194,dev,errored,18,2013-02-06 14:54:37 UTC,4618108,pull_request
4427338,de41ec20f53bbf93c67db580aecdd84a9b8acb71,177,dev,errored,16,2013-01-28 12:16:10 UTC,4427339,pull_request
4320893,c9f904ed85f424fca93ef57409607f744aebed09,184,master,failed,17,2013-01-23 01:41:07 UTC,4320894,pull_request
4217522,eead00744cbcf7fe5dc81b164822dfe136c529af,182,dev,errored,20,2013-01-17 21:00:47 UTC,4217523,pull_request
4216893,1f4368862b0e4ec26b14fef67cca5dc338182cad,182,dev,errored,20,2013-01-17 20:20:36 UTC,4216894,pull_request
4216703,d69b695a4b1612853638cb85e14c0b6688d07f63,182,dev,errored,20,2013-01-17 20:08:37 UTC,4216704,pull_request
4216339,3fb3a4275eab756b796f31c83dbcfd021ad5e076,182,dev,errored,21,2013-01-17 19:50:22 UTC,4216340,pull_request
4200789,728dc2a57e41e3db2f2857d2c44da364ee60ec65,181,master,failed,23,2013-01-17 02:28:08 UTC,4200790,pull_request
4198130,2f39fd9b6b9374e8acd856d86eee635a2491a040,180,master,failed,19,2013-01-16 23:24:20 UTC,4198131,pull_request
4184559,7ded06c244edda3c2013973c7fc322997f78d9aa,179,gh-pages,failed,23,2013-01-16 11:36:50 UTC,4184560,pull_request
4148911,a35a79b57bdbd9081e6edebc10efcc6b347b9b89,,dev,failed,163,2013-01-14 18:49:03 UTC,4148912,push
4143683,465ad1d7332b0dee928d09621853ec1497f31a75,177,dev,failed,188,2013-01-14 14:50:29 UTC,4143684,pull_request
4104128,f44036bba02d739e60ee9d2648d0f66ff573d019,176,master,failed,18,2013-01-12 05:14:03 UTC,4104129,pull_request
4025943,6a30a5833f9c40267bce8fd220dd2fecedf24fb2,,dev,passed,79,2013-01-08 16:50:40 UTC,4025944,push
3792270,21880ca13d23761572f5acb886287e12e749051c,,dev,passed,99,2012-12-22 21:58:11 UTC,3792271,push
3792227,d7c87e65be9bfe537e0cb1505b906504f3884aaa,169,dev,passed,115,2012-12-22 21:55:54 UTC,3792228,pull_request
3792225,04312723942392dd387dace850f26bfe669850a8,,new-travis,passed,117,2012-12-22 21:55:54 UTC,3792226,push
3792197,d9b171604adc78b45fe5021e0ab25f5834321121,169,dev,failed,35,2012-12-22 21:50:56 UTC,3792198,pull_request
3792195,df84570fce251ca59c680b76d9dfcaa4358a9964,,new-travis,failed,35,2012-12-22 21:50:53 UTC,3792196,push
3792173,d6198bc07194e06588e87ca8f7641e13bd383cb8,169,dev,failed,54,2012-12-22 21:52:37 UTC,3792175,pull_request
3792163,ad666015cac9f052e889fc9f658b6d9fe90dee21,,new-travis,failed,57,2012-12-22 21:52:11 UTC,3792164,push
3773771,dd5609e125faadd4e603ef635b42c64d49174214,,dev,failed,95,2012-12-21 11:46:17 UTC,3773772,push
3773769,cfcd720108a078fdc5de2c9130e7a4eff209f75d,,dev,failed,103,2012-12-21 11:49:26 UTC,3773770,push
3766771,187803c3be98f8ff2976e0034ee4fcd1bcc2676f,168,dev,failed,96,2012-12-20 22:39:09 UTC,3766772,pull_request
3760418,6903e27eb11b13ba43f49996902f256741603146,168,dev,failed,105,2012-12-20 16:00:50 UTC,3760419,pull_request
3752288,1d42b68ee0d8d38b7a4fe71f2d04a1d66fbfcb31,167,master,failed,17,2012-12-20 04:55:31 UTC,3752289,pull_request
3660781,d7a0ca25b44caaefe2d4eff22fceedc217c73465,165,dev,failed,99,2012-12-14 09:07:15 UTC,3660782,pull_request
3611950,f01730008a27116e3fa9f0d7011dcc7fd0b24511,163,master,failed,18,2012-12-11 15:23:17 UTC,3611951,pull_request
3548486,a2901e13a015cb9a615fbf958a195e01be3961ee,161,gh-pages,failed,21,2012-12-07 13:17:46 UTC,3548487,pull_request
3193229,fdcc41c8bd3c739cb426879840c8b8e209686433,148,master,failed,17,2012-11-14 10:06:15 UTC,3193230,pull_request
2708187,5cdaa8192414d07a1815de66c1b0ed7f3daf80c8,148,master,failed,22,2012-10-08 14:55:15 UTC,2708188,pull_request
