build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
725018114,e971bae03d0a161bcc2237a0d07b7f45f9426431,,master,passed,1660,2020-09-07 18:23:27 UTC,725018115,push
663617497,dd938e17d4c872f91f1452a4d05a1d8e5eb33daf,,master,passed,1527,2020-03-17 17:54:16 UTC,663617498,push
658421251,8680b452c44cbf8b06d42f2d5823ea41db515fc9,366,master,passed,1529,2020-03-04 21:51:59 UTC,658421252,pull_request
658421245,c394f88581dbf27175cb0b85963b58fb4c538677,,dependabot/maven/jackson.version-2.10.3,passed,1531,2020-03-04 21:51:57 UTC,658421247,push
616409357,6625703ad63d50db56603984167d17db2a425e67,,master,passed,1526,2019-11-24 23:11:30 UTC,616409358,push
616396382,d9053fcc2ed3bf788a57406c730f00e853ada5bc,364,master,passed,1594,2019-11-24 23:08:51 UTC,616396383,pull_request
616396373,ec988f0769bc7532e0b6043a203f3f748632ed9b,,dependabot/maven/jackson.version-2.10.1,failed,1405,2019-11-24 22:19:38 UTC,616396374,push
616396366,c43fe1e27599da31335953c2be46a51227d0d7a0,365,master,passed,1749,2019-11-24 22:19:33 UTC,616396367,pull_request
616396360,cfa6ca5677d8affb0980b6db934601f7935f8ae7,,dependabot/maven/org.apache.zookeeper-zookeeper-3.4.14,passed,1631,2019-11-24 22:19:33 UTC,616396361,push
616396328,f3b1aa49fddae161ba807154628b0078643e821b,,master,passed,1658,2019-11-24 22:19:07 UTC,616396329,push
611185345,4654bdaca4855707017a54dad3c4cd2efdb11b62,364,master,passed,1588,2019-11-13 03:15:35 UTC,611185346,pull_request
611185341,cad44b7cd70ca42a46d90b0d18a561792ff774c6,,dependabot/maven/jackson.version-2.10.1,passed,1699,2019-11-13 03:15:39 UTC,611185342,push
604829415,bdb973265c356dedc9e4d686515a93093d1082b5,363,master,passed,1571,2019-10-30 07:08:39 UTC,604829416,pull_request
604829409,4049c7ddee555e89ec596f1726d56f6ee0e6aced,,dependabot/maven/jackson.version-2.10.0,passed,1620,2019-10-30 07:08:42 UTC,604829410,push
604234287,ff7c890371a7717ad6ac17f44e7114ef9a103405,362,master,passed,1652,2019-10-29 02:23:18 UTC,604234288,pull_request
579177531,948f870a1050d754e5c0a3e9a91ad54ce8c10862,,master,passed,2154,2019-08-31 14:33:10 UTC,579177532,push
539403898,32e28a1c27921b33a2489875d5b63948ea7218b0,,master,passed,1519,2019-05-30 20:39:18 UTC,539403899,push
499472697,684bac0af002d2619ced652b5339e239da48df93,,master,passed,1539,2019-02-27 20:15:56 UTC,499472698,push
459282062,03d2a4f67e7ee6bf62e67ca637c87524b397d7b9,,master,passed,1575,2018-11-25 01:19:36 UTC,459282063,push
459275169,3737483f8b71f62a5dc503cbd2b671d92b50f713,,2.8.x,passed,1420,2018-11-25 00:38:39 UTC,459275171,push
459275098,bd1150c1b304944b45562241c314068d1f60c5a0,,oryx-2.8.0,passed,1469,2018-11-25 00:38:31 UTC,459275099,push
459275091,bd1150c1b304944b45562241c314068d1f60c5a0,,2.8.x,passed,1476,2018-11-25 00:38:21 UTC,459275092,push
459240039,baa7410c72f67d6947de102d4c28d71c9cf142d0,,master,passed,1497,2018-11-24 21:59:38 UTC,459240040,push
459239541,e00abbdf8bc68e817ae4baeee014f4ce7e623a91,,2.8.x,passed,1571,2018-11-24 21:57:36 UTC,459239542,push
459227077,e00abbdf8bc68e817ae4baeee014f4ce7e623a91,,master,passed,1585,2018-11-24 21:01:30 UTC,459227078,push
438091679,dca17daad5c4c9d130dcdbaf63a081224453a956,,master,passed,2181,2018-10-06 20:25:27 UTC,438091680,push
438068158,b93feeedd2cd6f331d3a23cf240ab4fc0ffb1741,,2.7.x,errored,2995,2018-10-06 18:06:28 UTC,438068159,push
438068150,0778490d69b6e57ea5617b61fa643b9e1d22f4bb,,oryx-2.7.2,passed,1591,2018-10-06 18:06:24 UTC,438068151,push
438068142,0778490d69b6e57ea5617b61fa643b9e1d22f4bb,,2.7.x,canceled,0,,438068143,push
438053137,5b06be1b348c1b74dda9ed4e4a213832d9fb88b7,,2.7.x,passed,1553,2018-10-06 17:05:31 UTC,438053138,push
438050296,c7a88546924e47e3998d17f39ba918dc91dcd746,,master,passed,1451,2018-10-06 16:53:08 UTC,438050297,push
438047600,065849739b75429dd7e31aebce37e77ecba2992d,,master,passed,1566,2018-10-06 16:43:13 UTC,438047601,push
435734735,096a3591520b755d7c8b8a048ecefd071fa6e37d,,2.7.x,passed,1589,2018-10-06 16:11:59 UTC,435734737,push
435728976,72ae4bb3cc49d92b77e76d8a30fca8b6549b8865,,master,errored,2996,2018-10-01 18:22:19 UTC,435728977,push
435725640,50ac6434440af0dd5f0dcfcd45eaec40673cd55d,,master,errored,53,2018-10-01 17:11:32 UTC,435725641,push
435709539,d417416fe7b362f66bdf32b1a812813b22658f8c,,master,canceled,1787,2018-10-01 16:38:14 UTC,435709540,push
435636820,a617aeae784d3b14bf9692796267a2ff6904e7ba,,master,errored,2995,2018-10-01 15:29:21 UTC,435636822,push
434738355,6e1f7089a1cf901612698022e829ca387ba74e13,356,master,passed,1608,2018-09-28 18:13:41 UTC,434738356,pull_request
434738213,671f6b70167e7088fe0543e0429e12c977dba14c,,2.7.x,passed,1525,2018-09-28 18:12:43 UTC,434738214,push
434676251,13c8fc9be401301a7c4f432519f141567ab503dc,,master,passed,1621,2018-09-28 17:41:57 UTC,434676252,push
434673906,db1741f9f489d5895f7d4fb343fdaa401d4f856e,,master,errored,96,2018-09-28 15:38:01 UTC,434673907,push
434669836,b45249fb73d47a942ee1fb4d0e39f6551f4dacb2,,master,errored,54,2018-09-28 15:28:17 UTC,434669837,push
434267463,720319008e083282c2ae466707c52734f7053722,356,master,passed,1585,2018-09-27 19:00:10 UTC,434267464,pull_request
433060700,825305cbdc21c892083de5f569b807f828fad1cd,,2.7.x,passed,1434,2018-09-25 17:13:40 UTC,433060702,push
433059791,32126280c7260b4c8bc72acd70c6039892059975,,master,passed,1512,2018-09-25 17:11:50 UTC,433059792,push
414188858,6759f87f55d3a68e5898428b42579231bbc415ec,,master,passed,1576,2018-08-09 18:21:39 UTC,414188859,push
414156454,909e997a119fb84e257b6504f876949a8f5e93cb,,2.7.x,passed,1494,2018-08-09 17:52:55 UTC,414156455,push
414156421,c763521eefbab033ebdb602d47559ecbd359ac64,,oryx-2.7.1,passed,1600,2018-08-09 16:57:07 UTC,414156422,push
414156400,c763521eefbab033ebdb602d47559ecbd359ac64,,2.7.x,canceled,0,,414156402,push
412368404,97110768ec06893421ff863e48c25465d7aa1c1d,,2.7.x,passed,1542,2018-08-05 17:34:34 UTC,412368405,push
412368238,9054c9161f1a0285e36ecf399f9d70765c62cf58,,master,passed,1650,2018-08-05 17:34:03 UTC,412368239,push
411740321,64f88a5151a73f156c2dca5f8ca6ec44b70b5f76,,master,passed,1663,2018-08-03 13:19:35 UTC,411740322,push
411576694,7df48ecc5955d70eb07eaabf8538df0780557054,,master,passed,1516,2018-08-03 03:41:58 UTC,411576695,push
411569819,fe725267c9e3054ccb4f9c298fba9b45eb9fd5d6,,2.7.x,passed,1549,2018-08-03 03:18:21 UTC,411569820,push
411569813,f18d169a43f2b2e68fd6b45ec907f8dfc79d015a,,oryx-2.7.0,passed,1546,2018-08-03 03:17:46 UTC,411569814,push
411569809,f18d169a43f2b2e68fd6b45ec907f8dfc79d015a,,2.7.x,canceled,0,,411569810,push
411569200,320cab8707b0efcc16a97715e1c22b32c34b453f,,2.7.x,canceled,0,,411569201,push
411569064,320cab8707b0efcc16a97715e1c22b32c34b453f,,master,passed,1515,2018-08-03 03:39:56 UTC,411569065,push
411568560,6d5d29853d12593a7d2231a32be55813e4a09e8e,,master,passed,1649,2018-08-03 02:55:56 UTC,411568561,push
411567914,124ff96bbae6f6764e5f0be91b6da3bf44761e44,,master,passed,1462,2018-08-03 02:52:36 UTC,411567915,push
411567912,c31449b9c0cedc2400b18e487b4327f98a6cf465,,oryx-2.7.0,passed,1637,2018-08-03 02:52:12 UTC,411567913,push
411567910,c31449b9c0cedc2400b18e487b4327f98a6cf465,,master,passed,1563,2018-08-03 02:52:09 UTC,411567911,push
411567426,bfe9d5e079aa5f8092d49c3a3bd38ef686fb1e74,,2.7.0,passed,1574,2018-08-03 02:51:27 UTC,411567427,push
411480533,fbad6499f41537ed89cb4bddc4358b0c4477ad71,,coverity_scan,passed,1229,2018-08-02 21:15:45 UTC,411480534,push
411479913,2dfab9dbc4079afe5c3fa590eb786a9cda460187,,master,passed,1667,2018-08-02 21:14:37 UTC,411479914,push
406650738,a02c2f937ace5515c8c173680e421f7d9d8689d0,,master,passed,1512,2018-07-21 18:31:02 UTC,406650739,push
405823267,7a2c4260c538a4b86e08d42ef8a8efa8ec71bef3,,2.6.x,passed,1536,2018-07-19 14:03:54 UTC,405823274,push
405801689,9c18b1f12e2d4e30f2ef806f042b30757d592fdb,,master,passed,1471,2018-07-19 13:09:52 UTC,405801692,push
330614526,24932d0b93153b0491440b73cdd520a851ea684a,,2.6.x,passed,1529,2018-01-19 00:26:54 UTC,330614527,push
330614264,ff4ab2290086bbe05ec7369a2e2fe165c252020c,,master,passed,1470,2018-01-19 00:25:54 UTC,330614266,push
300151064,8062dd7424accc16200aa28f4289eb66197117f8,,master,passed,1459,2017-11-10 12:54:57 UTC,300151065,push
300086973,853959818241611687090e170a02654848a1b74b,343,master,passed,1611,2017-11-10 09:58:34 UTC,300086974,pull_request
293587954,b3a3b89b29f62f522b6b42d26f8a513be4ac383b,,master,passed,1588,2017-10-27 09:37:45 UTC,293587955,push
293576202,3228b9a59504c9a093b9de29a7a1e5e31f1c1cca,,2.6.x,passed,1489,2017-10-27 09:06:55 UTC,293576203,push
293576150,4967a2a832cd22e01fff797d74f874bb53f482e5,,oryx-2.6.0,passed,1518,2017-10-27 09:06:53 UTC,293576151,push
293576058,4967a2a832cd22e01fff797d74f874bb53f482e5,,2.6.x,canceled,0,,293576059,push
293290119,7e4dd762eee2aa0276c5b963cf162d26f28884fc,,master,passed,1485,2017-10-26 18:22:46 UTC,293290120,push
293288444,648f737ed634c9503679399d4045506829fa8f21,,2.6.x,passed,1686,2017-10-26 18:30:49 UTC,293288445,push
293142841,5a433a9a8c905aea91bfe3673919b87515f219f4,,2.4.x,passed,1441,2017-10-26 13:15:36 UTC,293142842,push
293142704,8e795e9e2fbb2ad4378bab1a73d7e38b9a709a86,,2.5.x,passed,1548,2017-10-26 13:11:35 UTC,293142705,push
293142537,648f737ed634c9503679399d4045506829fa8f21,,master,passed,1752,2017-10-26 13:11:08 UTC,293142539,push
292566628,08fd30a85dc3a9c552493fbbaec50151fb3a45a7,,master,passed,1515,2017-10-25 11:27:22 UTC,292566629,push
292308189,80e16366b85e1cfa1634a53cba6945b7531d549b,,master,passed,1512,2017-10-24 21:22:23 UTC,292308190,push
292305424,86941934eb3e54dd24627d9d5db4adc55d63fc5a,,2.4.x,passed,1422,2017-10-24 21:15:34 UTC,292305425,push
292302512,fc8e7ec36a575d0ba79333a948d6e7821e18ddf0,,2.5.x,passed,1483,2017-10-24 21:08:43 UTC,292302513,push
292289975,7860e619135378edaa51523ac14ac79e32affe35,,master,passed,1590,2017-10-24 20:41:21 UTC,292289976,push
292267962,a1f92ab70a9b5e1134808096e49ef30b1cee1084,,2.5.x,failed,1422,2017-10-24 19:53:10 UTC,292267963,push
292256983,78905a4adc8cdbfaf78da970491d66962c6edbaa,,master,passed,1467,2017-10-24 19:27:37 UTC,292256984,push
292215361,3866ed6cd05b8af264b7b1234874bc74163574e6,,2.5.x,failed,1270,2017-10-24 17:58:37 UTC,292215363,push
292201961,ae58e9d7b8786c990a6cccf1f2a251bb9a6fba46,,master,passed,1566,2017-10-24 17:30:04 UTC,292201971,push
292147510,7b292b9c35387ff9e22fa4538c775e6fc7a444f7,,master,failed,1273,2017-10-24 15:40:57 UTC,292147511,push
285791444,13bf41c884e6c74c15bfe822580cca198a6c4e07,,2.5.x,passed,1310,2017-10-09 21:16:21 UTC,285791446,push
285742095,6d59174dd1ac141f8f64be28a17fab29c3a4afcf,,master,passed,1200,2017-10-09 20:44:06 UTC,285742096,push
279236403,212d62c91210ce9d10ec15f68edb88ae70f9d1d9,,master,passed,1281,2017-09-24 16:24:04 UTC,279236404,push
279197181,5e45296ea2bc360fefa01197293f915a32f890ef,340,master,passed,1348,2017-09-24 13:32:40 UTC,279197182,pull_request
279125905,99c763453573c9f5a5d222d3e30c64aa33db9dc4,340,master,passed,1235,2017-09-24 06:19:35 UTC,279125906,pull_request
274961360,d4893133b242168eb409984c6666ad6f6b234df7,,master,passed,1296,2017-09-13 09:29:24 UTC,274961361,push
274961102,11e96e0259cc459256aa6eb4248b4a91af528bc3,,2.5.x,passed,1237,2017-09-13 09:28:24 UTC,274961103,push
274958924,f0474bf97c7424b2a40410e117ab5c57d75fce72,338,2.5.x,passed,1260,2017-09-13 09:21:06 UTC,274958925,pull_request
274958615,bc0e59ac3054821c863fc8b4327268c0a7fd95a9,338,2.5.x,passed,1715,2017-09-13 09:20:04 UTC,274958616,pull_request
274953920,7764fb75ca941db482007226a6400e3f7e2604ad,338,2.5.x,passed,1491,2017-09-13 09:06:02 UTC,274953921,pull_request
274953427,7f48f9f7f271cc40dc5deae4126a62de0883842d,338,2.5.x,passed,1261,2017-09-13 09:04:15 UTC,274953429,pull_request
272440707,fd0d4f23b6ab637a832bde541c641618e3bd8271,,master,passed,2262,2017-09-06 11:32:57 UTC,272440708,push
272421972,236e08453657d000390030c8768a69c7b90b43f3,,2.5.x,passed,1268,2017-09-06 11:42:35 UTC,272421973,push
272421970,1aac956c0089e44915800faa29aa3b6edb4274a3,,oryx-2.5.0,passed,2073,2017-09-06 11:04:15 UTC,272421971,push
272421862,1aac956c0089e44915800faa29aa3b6edb4274a3,,2.5.x,passed,2280,2017-09-06 11:02:02 UTC,272421863,push
272419903,e993112f6791430662168dd1622d705855d6950e,,2.5.x,passed,1836,2017-09-06 10:39:07 UTC,272419904,push
272419760,6f557b6f263526e90af97eca46e66abc5d42f4c8,,2.5.x,failed,1706,2017-09-06 10:38:15 UTC,272419761,push
272418649,aa4b9eccae32b8a1cffa46c1d27b60f8b28a3d32,,2.5.x,passed,1695,2017-09-06 10:36:07 UTC,272418650,push
272418525,c3e3f93ea700adadab38948092aca153954bbd0d,,2.5.x,passed,1843,2017-09-06 10:31:14 UTC,272418526,push
272417958,145be158852553b91246cfb6a60044c6b572c30e,,2.4.x,passed,2182,2017-09-06 10:55:39 UTC,272417961,push
272417776,2e84b21da2e2a1775ea9ef40ebdfb87ef4118086,,2.5.x,errored,209,2017-09-06 10:09:05 UTC,272417777,push
272417644,e4357399fdf52eed1352c92f67b264a771b308b1,,master,passed,1752,2017-09-06 10:26:23 UTC,272417645,push
272417338,bba7f5c42f8cb69e0d8ee8b557bd9e1bb40b88be,,2.5.x,passed,2079,2017-09-06 10:04:23 UTC,272417339,push
272414779,84258cce1853c957ea49708beaaccfb08bf9313c,,2.5.x,passed,1885,2017-09-06 09:54:52 UTC,272414781,push
272414741,b0cce3ed7878049043d3e6e5fd57b906c5c10615,,oryx-2.5.0,passed,2179,2017-09-06 09:54:53 UTC,272414743,push
272414563,b0cce3ed7878049043d3e6e5fd57b906c5c10615,,2.5.x,passed,2510,2017-09-06 09:54:10 UTC,272414564,push
271660149,618bc032278d1f5c9dbb46ae79bf9b99493bdd5f,,coverity_scan,passed,1867,2017-09-04 12:08:13 UTC,271660150,push
271658681,c5d8fe5b8a742693a59980b905f524aea92a920f,,master,passed,2095,2017-09-04 12:03:47 UTC,271658682,push
271650649,9cdaf9fdaa5b1ffe349feecd3029d0c31620fb69,,2.5.x,passed,1443,2017-09-04 11:37:32 UTC,271650650,push
271646815,0bd5061ff38141d942144ae7bce27dc0fdcaa1f5,,2.2.x,passed,1687,2017-09-04 14:16:40 UTC,271646816,push
271646379,ba1465b60d1dc140bc74e99d61b83d1c8f56f0b3,,2.3.x,passed,1427,2017-09-04 11:50:23 UTC,271646380,push
271645202,62f26e4696b15be11963c9d43528fb60f80b44b6,,2.4.x,passed,1824,2017-09-04 11:48:11 UTC,271645203,push
271643143,9cdaf9fdaa5b1ffe349feecd3029d0c31620fb69,,master,passed,1617,2017-09-04 11:09:41 UTC,271643144,push
271627248,67e6f59bd99cd174ffc75af34d06fb91e35455cb,,master,errored,128,2017-09-04 10:13:27 UTC,271627249,push
