build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
60226939,b068f15f710a3e7c7afafa22c55ca642799e613d,,master,failed,4,2015-04-27 14:40:32 UTC,60226940,push
59953231,f54758a7bc3112e1e8301636a58c2380a7398f1d,8,master,failed,4,2015-04-24 22:46:03 UTC,59953236,pull_request
51950388,6de73b15f300fc542b1c3e1f72743f7b13c6513e,,master,failed,4,2015-02-24 09:09:41 UTC,51950389,push
51779753,35cddd1fb4134ed95a6fdafcb14ef54658b0d2c0,6,master,failed,5,2015-02-23 02:11:55 UTC,51779754,pull_request
46409573,d879d8a8fc9eeeef01ba0f3e13f0fb67d927d21d,5,master,failed,4,2015-01-09 06:09:08 UTC,46409574,pull_request
43732122,afffe4646b007148da1d42decd076a45f62c0224,,master,failed,3,2014-12-11 16:00:22 UTC,43732123,push
43732105,3fe1e4111abf0f0ca989c0b1c3d8fa2e6ae7ad58,,circular-progress-drawable-1.31,failed,4,2014-12-11 16:00:13 UTC,43732106,push
43732066,3fe1e4111abf0f0ca989c0b1c3d8fa2e6ae7ad58,,master,failed,3,2014-12-11 16:00:35 UTC,43732067,push
43731700,65d2d51b16843d77083a1618457dba919bea869e,,master,failed,3,2014-12-11 15:56:32 UTC,43731701,push
43469866,e0bdd1429ce8d8c7e6846d3704f18dc42a02a0e9,4,master,failed,4,2014-12-09 13:40:23 UTC,43469867,pull_request
39677581,bc3dd17570de93f4e6783db373bb3deece842af4,,master,failed,3,2014-11-01 10:44:23 UTC,39677582,push
39677547,a7aefb2c8f349faf7370dce2d945cf1ca18c6950,,master,failed,4,2014-11-01 10:43:57 UTC,39677548,push
38974640,e44c699778fa38daa695bf184cc954b909e932be,,master,failed,4,2014-10-24 22:13:17 UTC,38974641,push
38929751,885d2ac037b1f47cfa712bf20511943e93f4bafd,,master,failed,3,2014-10-24 13:59:12 UTC,38929752,push
38929719,f701fd7495e905c645b7d3812451033d95148465,,circular-progress-drawable-1.3,failed,3,2014-10-24 13:59:02 UTC,38929720,push
38929690,f701fd7495e905c645b7d3812451033d95148465,,master,failed,4,2014-10-24 13:59:10 UTC,38929692,push
38929350,43384d55f1b8f05623f499edc1faec2a6ff996e3,,master,failed,3,2014-10-24 13:55:51 UTC,38929351,push
