build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
463069851,442e76ebb7cbc7f60b04fbfac30dbf862aaffc67,,0.1.105,passed,431,2018-12-03 23:12:56 UTC,463069852,push
463061573,442e76ebb7cbc7f60b04fbfac30dbf862aaffc67,,master,passed,767,2018-12-03 22:51:22 UTC,463061574,push
463030809,3080fda060cceb57fcd2d43f0dfce7f26907c2d1,293,master,passed,722,2018-12-03 21:33:34 UTC,463030810,pull_request
463028112,d89b744c1a7c7cc0c94d78f3b70aedf215f2280b,,peng-update-travis-thrift,passed,687,2018-12-03 21:39:37 UTC,463028113,push
463016575,81ce8c0856c519096c55f875684f9bf83dee4bb0,,0.1.104,errored,153,2018-12-03 21:01:16 UTC,463016576,push
463013242,81ce8c0856c519096c55f875684f9bf83dee4bb0,,master,errored,160,2018-12-03 20:54:37 UTC,463013243,push
362079161,0068be275083f2fdde7029174eeec0ed4a3db5e6,289,master,errored,144,2018-04-04 10:53:31 UTC,362079162,pull_request
269353667,2a91bc694f43fd3c0836801280a7bd33970d6760,,0.1.103,passed,339,2017-08-28 21:10:29 UTC,269353668,push
269352709,2a91bc694f43fd3c0836801280a7bd33970d6760,,master,passed,641,2017-08-28 21:07:21 UTC,269352711,push
269351123,5f70a225a263094194fdf95c7481f7a78bf44897,286,master,passed,609,2017-08-28 21:02:59 UTC,269351124,pull_request
269350820,01b9635fa7d30bdc98f56b87dc92ee53efbe7664,,jq/learner,passed,626,2017-08-28 21:02:09 UTC,269350821,push
268111264,1cda999d3e2cc8f5a508ab0cf1f3500bac75adf0,283,master,errored,317,2017-08-24 19:46:36 UTC,268111265,pull_request
268110287,e07378d3f15d6037922ce31f555e8afd71822e0a,283,master,passed,649,2017-08-24 19:44:09 UTC,268110289,pull_request
267819362,9bb2ab86ea9bb90607de2fed8fb60278a7dce9a5,,master,passed,624,2017-08-24 02:12:54 UTC,267819363,push
267775310,54fd21e7ab7c0587646744d88a3bbe51bb68aa86,284,master,passed,636,2017-08-23 22:27:18 UTC,267775311,pull_request
267775152,5b020cdedbaa340877184ad2c9b7801f08461a3b,,jq/learner,passed,620,2017-08-23 22:26:55 UTC,267775153,push
267740812,10ac670eaebf5b2fe1dc1c206fd8bca73fae84a4,283,master,passed,604,2017-08-23 20:42:48 UTC,267740813,pull_request
265787273,9ba594c1d98a833fb15488fcea92327e166cc3d1,,0.1.102,passed,331,2017-08-17 23:50:21 UTC,265787274,push
265786753,9ba594c1d98a833fb15488fcea92327e166cc3d1,,master,passed,641,2017-08-17 23:48:25 UTC,265786754,push
265784471,2a63da811a6b04f589b28b61874d55f12a5b8c8c,282,master,passed,604,2017-08-17 23:36:53 UTC,265784472,pull_request
265784456,35d0fbda16a79f29d16c78052b955058fff69ff2,,jq/learner,passed,605,2017-08-17 23:36:59 UTC,265784459,push
265775126,67b65edeb4bd32fa989ca6a7a7947067158345e1,282,master,passed,660,2017-08-17 22:54:58 UTC,265775127,pull_request
265774614,bb3b66afe44be362eac3ce56fb4654ca25d47d7e,,jq/learner,passed,652,2017-08-17 22:53:17 UTC,265774615,push
265749936,9b5f2242f50b4cd46eb21eb2fe67d0d0dc35e111,,0.1.101,passed,366,2017-08-17 21:30:21 UTC,265749937,push
265748800,9b5f2242f50b4cd46eb21eb2fe67d0d0dc35e111,,master,passed,620,2017-08-17 21:25:25 UTC,265748801,push
265740163,9610dfa4221d2721f0dcd0c4cc6b1e0a5d14de52,281,master,passed,602,2017-08-17 21:05:31 UTC,265740164,pull_request
265376128,04582faae83c5c19a430aec0315445af883bbfe9,,0.1.100,passed,324,2017-08-16 23:44:31 UTC,265376129,push
265375546,04582faae83c5c19a430aec0315445af883bbfe9,,master,passed,631,2017-08-16 23:41:07 UTC,265375547,push
265368718,dfc4093b90ce895d0a5c05c660acf6a77f088b20,280,master,passed,645,2017-08-16 23:12:41 UTC,265368719,pull_request
265368627,89246b1d9a26d5beb5ec3735644563653645971d,,jq/learner,passed,624,2017-08-16 23:11:58 UTC,265368628,push
265368123,c1ffbf25ed6e8c458f08a6a8df6e1614d62f8802,,jq/learner,passed,612,2017-08-16 23:10:31 UTC,265368124,push
264827071,831ba91fbbbeef0f7589fbab7cf2e74efb73ecfc,,0.1.99,passed,318,2017-08-15 17:12:36 UTC,264827072,push
264825914,831ba91fbbbeef0f7589fbab7cf2e74efb73ecfc,,master,passed,667,2017-08-15 17:08:14 UTC,264825915,push
264616713,9aea746c1428946d7952a7ed1be9c136e59893a6,279,master,passed,677,2017-08-15 05:01:06 UTC,264616714,pull_request
264616705,c71bbae4f0c4b5f79cc4c193b7708b38114064fa,,jq/learner,passed,666,2017-08-15 05:01:06 UTC,264616706,push
264570692,782cd5f741dc0679a36713e50dd0b096c54731a4,279,master,passed,591,2017-08-15 00:34:22 UTC,264570693,pull_request
264570485,02bc57883235ca01de26a77596829e86859e6314,,jq/learner,passed,613,2017-08-15 00:33:05 UTC,264570486,push
260710724,02b5d819b8559c2e6522a101acdf1bf3a4e744c9,,master,passed,623,2017-08-03 17:36:32 UTC,260710725,push
260705404,72c329d680f761d7ca73b142dacf963ea3dc3981,,jq/learner,passed,620,2017-08-03 17:20:26 UTC,260705405,push
260705393,96999d14dc347fd852cbfc0aa76dd1359268f968,278,master,passed,641,2017-08-03 17:20:25 UTC,260705394,pull_request
260704495,a0bf94ec641daf17197d8e370ffbd139f0f7f3d7,278,master,passed,658,2017-08-03 17:17:56 UTC,260704496,pull_request
260704291,61238d163ef58a4adf3ef3de1e9b9972c90399fc,,jq/learner,passed,638,2017-08-03 17:16:37 UTC,260704292,push
256994153,9bc894d4bbc001ca30e5264158858e94ac43d9c1,,master,passed,601,2017-07-24 18:10:08 UTC,256994154,push
256993401,5c9140dfed66c0be19a36b772cc922e6a824bfda,277,master,passed,649,2017-07-24 18:07:10 UTC,256993402,pull_request
256993219,387b492a5e8d4b64cdf1d4df92353b02c0773f7f,,jq/learner,passed,604,2017-07-24 18:06:41 UTC,256993220,push
256991746,90e405baf0f2e978f84184394153a151c5612859,,jq/learner,passed,603,2017-07-24 18:02:24 UTC,256991747,push
256612838,90e405baf0f2e978f84184394153a151c5612859,,0.1.98,passed,357,2017-07-23 15:16:36 UTC,256612839,push
256610385,90e405baf0f2e978f84184394153a151c5612859,,master,passed,612,2017-07-23 15:04:20 UTC,256610386,push
256590461,2c98e7c739a608a7aaace6233a0923802d714cee,276,master,passed,608,2017-07-23 13:20:05 UTC,256590462,pull_request
256590329,ac29e3b94a4849f3d11e0a92e7d0557b10b46180,,jq/learner,passed,639,2017-07-23 13:18:57 UTC,256590330,push
251331101,c110cb5c2b06558714740d2b4ddee28302801762,,master,passed,632,2017-07-07 22:12:35 UTC,251331102,push
250994372,7dd3d6c566c633f2857af94e4edc12b89ce33c22,275,master,passed,653,2017-07-07 01:17:50 UTC,250994373,pull_request
250988043,d4979f3ff1b5042300b0d06d0fafee55c849330b,275,master,passed,610,2017-07-07 00:39:11 UTC,250988044,pull_request
250986322,785cca7729255fee6ccaf93bd017764f0ae39ab8,275,master,passed,671,2017-07-07 00:29:59 UTC,250986323,pull_request
245889949,4a8a03eabccc029b6ce2fae6571baeb690b84750,,master,passed,606,2017-06-22 17:48:25 UTC,245889950,push
245889459,c4817d9c2d6d88193e2662a3cd2f04b16dc09999,,master,passed,623,2017-06-22 17:46:41 UTC,245889460,push
245560180,f1a184eda1179a59c50d3cd473a7af3b0a0f06c4,274,master,passed,700,2017-06-21 22:06:20 UTC,245560181,pull_request
245558648,be4822683bde1a883f5f465bf4759d5ddc31dbbc,,mlewis--gradle40,passed,849,2017-06-21 22:00:19 UTC,245558649,push
245552477,fd48a5844921a862ec4f0d3510e5d1579f7daef7,,mlewis--gradle40,passed,744,2017-06-21 21:42:12 UTC,245552479,push
245166856,9524022bbee07b077669070f96bc3c068c4e97bd,273,master,passed,819,2017-06-21 00:04:04 UTC,245166857,pull_request
245166846,1eea448f4fe68d922fce34b8cabe142d986e1cad,,mlewis--jmh,passed,783,2017-06-21 00:07:55 UTC,245166847,push
245163980,114781bd314313492d284f14425c43423291fc73,273,master,passed,862,2017-06-20 23:50:40 UTC,245163981,pull_request
245161084,9b8dcedae27c0b1b4944ac15f3e6a42591ae288c,,mlewis--jmh,passed,664,2017-06-20 23:35:34 UTC,245161085,push
245159000,a584bf988fc7754b143d7acb82945655935acab4,,mlewis--jmh,passed,793,2017-06-20 23:27:38 UTC,245159001,push
244745612,7cc4a12ed797fda0166cfbbe33b6f792dbbf5bc6,,master,passed,752,2017-06-20 00:31:25 UTC,244745613,push
244744356,cf79ad905b386bd7cd1642ed0c522b9a49e4a7bd,272,master,errored,15,2017-06-20 00:26:02 UTC,244744357,pull_request
244744275,3201f58d95dac5068a0abd53462e2dff49006c98,,jq/learner,passed,784,2017-06-20 00:26:26 UTC,244744276,push
244744076,87b4e369705e4b6372ce139376dd2db443eb62b0,,0.1.97,passed,512,2017-06-20 00:26:25 UTC,244744077,push
244743469,87b4e369705e4b6372ce139376dd2db443eb62b0,,master,passed,750,2017-06-20 00:25:39 UTC,244743470,push
244743097,f1edbec05306da2b1233614e712aaca70de95734,,master,passed,706,2017-06-20 00:19:25 UTC,244743098,push
244742216,d48b14ddd5f4a8e43605ae8207a72585ac76d608,271,master,errored,15,2017-06-20 00:11:32 UTC,244742217,pull_request
244742157,936cc63768948c55fb54cf73e91c0f1e97927384,,jq/learner,passed,768,2017-06-20 00:11:30 UTC,244742158,push
244735437,45be22e2ffbe1f12518699afa2ba0953596e1fb8,270,master,passed,726,2017-06-19 23:25:17 UTC,244735438,pull_request
244735348,7fceb8e2a95f800974085e34be86bc8625390f03,,mlewis/fix_airleaner_typo,passed,760,2017-06-19 23:24:46 UTC,244735349,push
244732234,4e3c99efd289974ffcd066b6e23f5a961ac7f4a8,,0.1.96,passed,526,2017-06-19 23:11:51 UTC,244732235,push
244731533,4e3c99efd289974ffcd066b6e23f5a961ac7f4a8,,master,passed,721,2017-06-19 23:09:34 UTC,244731534,push
244727638,493151ffd736d1ff355c1f15b482f0c408bc1c42,269,master,passed,772,2017-06-19 22:54:10 UTC,244727639,pull_request
244727320,a0502acfabcb9b254bcc254d136317a030477024,,mlewis/match_utils_subproject_to_bintray,passed,835,2017-06-19 22:53:10 UTC,244727321,push
244725437,987d97db8118ade55c10aace7685b1cf24347614,,master,passed,719,2017-06-19 22:45:15 UTC,244725438,push
244721304,a74b1b243f5dbebdc83c519ca32ad88b7f161507,268,master,passed,722,2017-06-19 22:32:12 UTC,244721305,pull_request
244721265,625e0b9b24238e1c171b3b20e5259ffda621d84c,,mlewis/gradle_cleanup,passed,724,2017-06-19 22:31:49 UTC,244721266,push
244717743,371f3bb323d0e434e9f4fc13b25654de7b0d8a91,268,master,errored,168,2017-06-19 22:20:49 UTC,244717744,pull_request
244717741,8c9ac7f1e62c9091e8e226f7634ff03579048ce9,,mlewis/gradle_cleanup,errored,154,2017-06-19 22:20:49 UTC,244717742,push
244702007,d60017f94b79f9e080715bf4258d18a8cd871f32,268,master,passed,793,2017-06-19 21:32:10 UTC,244702008,pull_request
244700459,da01499ffcce9f32a7ea051ec515a02165b2a6ed,,mlewis/gradle_cleanup,passed,777,2017-06-19 21:28:10 UTC,244700460,push
244697976,b1b1d4aa872dd82a1a62aa90e3d4f5edabeebf5d,,mlewis/gradle_cleanup,passed,748,2017-06-19 21:20:14 UTC,244697977,push
235082306,5c68f135e71aac84da2467d6eef112a01244fc30,,master,passed,924,2017-05-23 03:51:21 UTC,235082307,push
235053501,657429532addaff5357ee27664ea21c93e020320,266,master,passed,671,2017-05-23 01:24:47 UTC,235053502,pull_request
235053260,05f83c881e72c21d9716e877ea721a797584ff39,,jq/learner,passed,746,2017-05-23 01:23:07 UTC,235053261,push
233749924,5e7e6c6b554b89bce7553358971343f5c9c052d7,,master,errored,2930,2017-05-18 18:54:31 UTC,233749925,push
233732390,016a20ad0ddda15c2c089396509ac1f1ddec1d02,265,master,errored,2952,2017-05-18 18:33:51 UTC,233732393,pull_request
233732058,c0c200abae9a233e1fec4c383d993d70ca03240b,,jq/learner,errored,2250,2017-05-18 18:07:22 UTC,233732059,push
232568413,a8a5a7da68b34be5671496e2c7cfc4184d68e209,,master,passed,602,2017-05-15 19:54:38 UTC,232568414,push
232564249,ac096116157ffc2ceaa83f7d90da4e5266ad51ac,264,master,passed,670,2017-05-15 19:41:01 UTC,232564251,pull_request
232564200,ca0314220215269e9d5c3e777014a14dc879d9c6,,jq/learner,passed,717,2017-05-15 19:41:00 UTC,232564202,push
232545683,2a0a2c4a5d27a6c317461753940295a698dda399,264,master,passed,746,2017-05-15 18:43:51 UTC,232545684,pull_request
232544605,544f07f53d1de085645314a360a979a4c004d426,,jq/learner,passed,753,2017-05-15 18:40:54 UTC,232544607,push
213094102,6de89b5d1264ddb9e5c8e3d0736317692339a5af,,master,failed,711,2017-03-20 18:24:48 UTC,213094105,push
211471606,cd36f62a794619d79d2815e64b0036c1e5ec0b55,263,master,passed,637,2017-03-15 19:03:58 UTC,211471607,pull_request
211471598,10f276573ad8e016985bee364c42d5afec631d29,,jq/online,passed,644,2017-03-15 19:01:58 UTC,211471599,push
211470607,9f890c28e91e7238ca7578c5cf0d86f981d8148d,263,master,passed,615,2017-03-15 19:02:21 UTC,211470608,pull_request
211470596,6cd917d0be60098bb025e25c247769695b25ffd0,,jq/online,errored,21,2017-03-15 19:01:01 UTC,211470597,push
211466644,797ae0582b28008cdde7a0c87166bd2afdfbc591,263,master,passed,809,2017-03-15 18:37:42 UTC,211466645,pull_request
211466257,89fa0c5f5543b9305f9b4f97a513192e9b2fd464,,jq/online,passed,627,2017-03-15 18:36:45 UTC,211466258,push
190823129,a6610f7f0cc5afceb1d1f4aa88b5a158ad10523a,,master,passed,611,2017-01-11 02:04:35 UTC,190823130,push
184019988,0664d9f8d2db06543a8b1b9ece1ff53bc84942ce,,0.1.95,passed,315,2016-12-14 19:11:22 UTC,184019989,push
184014308,0664d9f8d2db06543a8b1b9ece1ff53bc84942ce,,master,passed,574,2016-12-14 18:51:50 UTC,184014309,push
183779624,7d01ac4a6058d3bdfbf6c5eed1261ab346f44fd4,261,master,passed,594,2016-12-14 00:36:35 UTC,183779625,pull_request
183777771,52956acaeae862fe6b9d22ed0f00c39c880ee392,261,master,passed,576,2016-12-14 00:36:35 UTC,183777772,pull_request
183755326,6c790eb873e282435d600d4d663a03237069631f,261,master,passed,633,2016-12-13 22:57:30 UTC,183755327,pull_request
183737123,2dc6032ead0368fbc3fa1d14aab9373e046e0d54,260,master,failed,662,2016-12-13 21:51:16 UTC,183737124,pull_request
183736267,de4b5c10c0eaddebed73d23001448476148c1d29,,constant_point,passed,685,2016-12-13 21:49:51 UTC,183736268,push
183384191,72e885cb41bc8fd44bfc3e5b01d4ac2b6c25ab3d,,0.1.94,passed,293,2016-12-12 21:17:06 UTC,183384192,push
183382010,72e885cb41bc8fd44bfc3e5b01d4ac2b6c25ab3d,,master,passed,514,2016-12-12 21:10:51 UTC,183382011,push
183371819,f0e17dd988a05d44a617d959472bbc7db281ee3c,259,master,passed,581,2016-12-12 20:59:14 UTC,183371820,pull_request
183371806,9de7a755ae0e2e0d898dbcc89995d96019f360a2,,peng-discretization-transformer,passed,592,2016-12-12 20:34:58 UTC,183371807,push
183353845,bf4d07fd016db5b131f460d44335b33b2b53571d,259,master,passed,519,2016-12-12 20:06:23 UTC,183353846,pull_request
183353834,d9064733580ef87c514ac6dc6fa20b697536be41,,peng-discretization-transformer,failed,576,2016-12-12 20:03:40 UTC,183353835,push
183112844,bf0dc3504400a2abc2d9da26482197dcd68ab5a0,259,master,passed,593,2016-12-11 23:16:59 UTC,183112845,pull_request
183112842,d2b8e6d8b8c13853b4a65890cb1b07d6fe3b1c78,,peng-discretization-transformer,passed,586,2016-12-11 23:16:57 UTC,183112843,push
183071088,c5dcc672a9043e07dbc584eb944a55ea761f9bc0,259,master,passed,581,2016-12-11 20:03:53 UTC,183071089,pull_request
183070942,73bfecc99920dd3b744ad0abf559d5bdc979cc63,,peng-discretization-transformer,failed,603,2016-12-11 20:03:08 UTC,183070943,push
180528491,92f0c4c7201bd1c5b5e75c22461c56c342c10548,,0.1.93,passed,314,2016-12-01 21:33:26 UTC,180528492,push
180524930,92f0c4c7201bd1c5b5e75c22461c56c342c10548,,master,passed,611,2016-12-01 21:31:33 UTC,180524931,push
180476209,e3ebb3b12e6ca4960c577b5fc21a7cc8cd187d94,258,master,failed,601,2016-12-01 18:11:21 UTC,180476210,pull_request
180475843,caad59ec26db1ddd509df352c6bbe2548d7cb02b,,spark1.6,passed,624,2016-12-01 18:10:28 UTC,180475844,push
179122756,a8e2b611386df47ba93398ffb78239cce588872e,,master,failed,631,2016-11-26 23:29:05 UTC,179122757,push
178556912,8b77a5df740c4423c0636075338ff334c88f1908,257,master,passed,572,2016-11-24 10:51:30 UTC,178556913,pull_request
177822968,8bf9b02e06f5debf82b98621131b0f708feb881e,255,master,passed,612,2016-11-21 23:48:45 UTC,177822969,pull_request
177822966,a97ac5cae81ba4715045f325bb6c01e36e3f41a0,,shuffle-in-calibration-sgd,passed,596,2016-11-21 23:48:42 UTC,177822967,push
177808939,00cef7ed5e3e7a2ba6a421865cf3b658e869b431,255,master,passed,597,2016-11-21 22:48:43 UTC,177808942,pull_request
177808324,b39d8f2e81122542f28d08f090a369a271db365c,,shuffle-in-calibration-sgd,passed,683,2016-11-21 22:45:32 UTC,177808325,push
177174196,4874cbb406d23ac9aa3212c778171c1b4dfe8872,,master,passed,619,2016-11-18 23:46:22 UTC,177174197,push
177143029,64731eb3430d1d65355f9eeaf43bf31fbf8a7033,254,master,passed,619,2016-11-18 21:15:48 UTC,177143032,pull_request
177142673,70239d24ddd9da6469be0b99c553b99685ec1d68,,removed-used-code,passed,630,2016-11-18 21:14:24 UTC,177142674,push
176610621,a6ca9dd7f2b1fa2ab7bf1c792900488a2ac49d42,,master,passed,593,2016-11-17 06:28:21 UTC,176610622,push
