tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
318089992,318089997,10,f7c364c9477fc12f77baa65bde8dd38e99e8200c,android,ok,3,plain,"",false,,,,,,,,,"",,
318091060,318091063,11,81e86b23196e8beb1e3c433dcabef408060657fa,android,ok,0,plain,"",false,,,,,,,,,"",,
318091060,318091065,11,81e86b23196e8beb1e3c433dcabef408060657fa,unknown,unknown,,plain,"",false,,,,,,,,,"",,
318096793,318096811,12,f698f7e72c081c67842491be8e364b89e3ac15e5,android,ok,1,plain,"",false,,,,,,,,,"",,
318096852,318096853,13,0818c7605232912cb121f8ea118c6b63a854ebe5,android,ok,0,plain,"",false,,,,,,,,,"",,
318100225,318100227,14,3b31d78c3337b516e469e0a1bd3a5624df98f3c6,android,ok,0,plain,"",false,,,,,,,,,"",,
318104128,318104129,15,8f423677159370c2a0f5d5f7791c04c1297dd90b,android,ok,1,plain,"",false,,,,,,,,,"",,
318104128,318104130,15,8f423677159370c2a0f5d5f7791c04c1297dd90b,android,broken,1,plain,"",false,,,,,,,,,"",,
318172861,318172863,16,f689c6471d35cc64c02c0fb3f512c83508a0a3e2,android,ok,1,plain,"",false,,,,,,,,,"",,
318172861,318172864,16,f689c6471d35cc64c02c0fb3f512c83508a0a3e2,android,ok,1,plain,"",false,,,,,,,,,"",,
328547214,328547215,17,5d33fed1f4e6e82039adf6c61bb096f3b6a13251,android,broken,1,plain,"",false,,,,,,,,,"",,
328547214,328547216,17,5d33fed1f4e6e82039adf6c61bb096f3b6a13251,unknown,unknown,,plain,"",false,,,,,,,,,"",,
328550070,328550071,18,5bb7a817db825d55298397719369ba35beea3031,android,broken,2,plain,"",false,,,,,,,,,"",,
