tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
640317623,640317624,1795,5e2c842d591740b483b40d2cd02529075748d316,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
640317623,640317625,1795,5e2c842d591740b483b40d2cd02529075748d316,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
640320859,640320860,1796,3605f4c4d570d1d6b7af82bb315ecaa5354ec6ee,java,ok,1,java-maven,junit,true,false,740,0,740,6,,,,"",0,195
640320859,640320861,1796,3605f4c4d570d1d6b7af82bb315ecaa5354ec6ee,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
640535325,640535326,1797,c4d0ce90acb23935e96346cf8cd1e64a022803df,java,ok,0,java-maven,junit,true,false,730,0,730,6,,,,"",0,192
640535325,640535327,1797,c4d0ce90acb23935e96346cf8cd1e64a022803df,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
644369517,644369518,1798,443768e241b578bde2f988cbf5e064ca38486eaa,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,196
644369517,644369519,1798,443768e241b578bde2f988cbf5e064ca38486eaa,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
644387774,644387775,1799,b532d24b7c9eae278c177e514ab13313766d7a6e,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,194
644387774,644387776,1799,b532d24b7c9eae278c177e514ab13313766d7a6e,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
650733080,650733081,1800,a977a0d1eb17efbffad19ae1e967ed8f76e30318,java,ok,1,java-maven,junit,true,false,750,0,750,6,,,,"",0,203
650733080,650733082,1800,a977a0d1eb17efbffad19ae1e967ed8f76e30318,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
651857573,651857574,1801,e2026f7453a297673bc57cdf6ce889a103059d84,java,ok,1,java-maven,junit,true,false,730,0,730,6,,,,"",0,191
651857573,651857575,1801,e2026f7453a297673bc57cdf6ce889a103059d84,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
652366078,652366079,1802,c23379cc86c146e2b3e736257f9aaf82570be4a7,java,ok,0,java-maven,junit,true,false,732,0,732,6,,,,"",0,203
652366078,652366080,1802,c23379cc86c146e2b3e736257f9aaf82570be4a7,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
652389411,652389412,1803,6bc415a9b237842c072186900ee8d43bcaa6cddc,java,ok,0,java-maven,junit,true,false,730,0,730,6,,,,"",0,199
652389411,652389413,1803,6bc415a9b237842c072186900ee8d43bcaa6cddc,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
652439857,652439858,1804,f3b1b126c89f139cbf5e29de62ee869e0ac382d2,java,ok,1,java-maven,junit,true,false,730,0,730,6,,,,"",0,198
652439857,652439859,1804,f3b1b126c89f139cbf5e29de62ee869e0ac382d2,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
653065189,653065190,1805,61c86bdb3953e9df223e9905c8ed538fa56ad7c3,java,ok,0,java-maven,junit,true,false,732,0,732,6,,,,"",0,215
653065189,653065191,1805,61c86bdb3953e9df223e9905c8ed538fa56ad7c3,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
653262313,653262314,1806,c1ff9135ee6e9013863f7d64102870cab27da2d5,java,ok,1,java-maven,junit,true,false,732,0,732,6,,,,"",0,196
653262313,653262315,1806,c1ff9135ee6e9013863f7d64102870cab27da2d5,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
653288802,653288803,1807,5f203aa79f16d57939c5e6bbccf956934d650afe,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,206
653288802,653288804,1807,5f203aa79f16d57939c5e6bbccf956934d650afe,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
653349554,653349555,1808,c3acf3cd7d971f711c003c5b42bc94eac1dcc2f3,java,broken,0,java-maven,junit,true,true,552,2,554,6,,,,"",0,132
653349554,653349556,1808,c3acf3cd7d971f711c003c5b42bc94eac1dcc2f3,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
653357293,653357294,1809,9652ef8a474bc8cb8fc8954566071894c36319d7,java,ok,0,java-maven,junit,true,false,742,0,742,6,,,,"",0,198
653357293,653357295,1809,9652ef8a474bc8cb8fc8954566071894c36319d7,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
653361803,653361804,1810,33a2e5be773d1b42ffbcaf4cd6ca3f187e192960,java,ok,0,java-maven,junit,true,false,744,0,744,6,,,,"",0,196
653361803,653361805,1810,33a2e5be773d1b42ffbcaf4cd6ca3f187e192960,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
653513081,653513082,1811,2bdeccf72317148dbcc552a3e7a9888fbacfa8b7,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,211
653513081,653513083,1811,2bdeccf72317148dbcc552a3e7a9888fbacfa8b7,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
654000052,654000053,1812,bcd235685fed419ae1975d0a26d3f98cfaf697b7,java,ok,1,java-maven,junit,true,false,746,0,746,6,,,,"",0,196
654000052,654000054,1812,bcd235685fed419ae1975d0a26d3f98cfaf697b7,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
654306518,654306519,1813,e416a9538f0a32be7d446a189cfd5e64fff6530d,java,ok,1,java-maven,junit,true,false,744,0,744,6,,,,"",0,200
654306518,654306520,1813,e416a9538f0a32be7d446a189cfd5e64fff6530d,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
654345918,654345919,1814,b6c1e68b301fd5c3ac6138f8128549b9e7bf6477,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,210
654345918,654345920,1814,b6c1e68b301fd5c3ac6138f8128549b9e7bf6477,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
654442601,654442602,1815,cd1d9be0ea9e4f5e44cee28fc234278a83f9258c,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,213
654442601,654442603,1815,cd1d9be0ea9e4f5e44cee28fc234278a83f9258c,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
654454010,654454011,1816,735d477eea9665a29695ffc2dc6c1b89b108984f,java,ok,1,java-maven,junit,true,false,742,0,742,6,,,,"",0,212
