build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
744640015,759815eb1c2594f2c22c8effaf664b99af6d22e1,2285,develop,passed,946,2020-11-19 12:42:23 UTC,744640016,pull_request
744640010,7bef0a3e962135f1815dddc31dfdb9fa7d98ec84,,agp-4.1,passed,943,2020-11-19 12:42:22 UTC,744640011,push
744627758,10de5db2a1e29be75ea26f747fdcc49dd856c800,2285,develop,failed,457,2020-11-19 11:12:49 UTC,744627759,pull_request
744627743,acdedbe9580fb8eb374cf1a0f53bcca80296a318,,agp-4.1,failed,531,2020-11-19 11:12:36 UTC,744627744,push
744618695,1126f188e521df6df71befae0d77303db3704f3f,2285,develop,failed,400,2020-11-19 09:56:14 UTC,744618696,pull_request
744618689,de033e317caec4ce3336ca564eab5dfdd75646c4,,agp-4.1,failed,434,2020-11-19 09:55:57 UTC,744618690,push
744446691,48753ca3d2ef12056a3a7635f08aa7f4eaf92b75,2285,develop,failed,334,2020-11-18 16:12:53 UTC,744446692,pull_request
744446270,7db35b92113061317a4b451d6da4d1d7b46da86f,,agp-4.1,failed,398,2020-11-18 16:11:25 UTC,744446271,push
740502253,dbc77b8478329430090ad8e9f4bdef0b94f1c9a9,2284,develop,passed,504,2020-10-31 22:28:39 UTC,740502254,pull_request
731895094,c438de305d8a6613230ac50832b205da18e44835,2280,develop,passed,470,2020-10-01 10:50:27 UTC,731895095,pull_request
731894908,899e87ae3e9110e62c7633f8548519d09aa9dbf8,2280,develop,passed,489,2020-10-01 10:49:00 UTC,731894909,pull_request
673365720,d6048e1a09e7bb05a26f1f309621421181e865e8,,develop,passed,472,2020-04-10 10:50:49 UTC,673365721,push
673363933,4e8952d927a68182b9c17c5d2b2dcb23b00ab319,2269,develop,passed,364,2020-04-10 10:43:33 UTC,673363934,pull_request
668916537,40f20f94630266efd6f7a68af6a9e0fe324d6b88,,develop,passed,483,2020-03-30 19:32:10 UTC,668916538,push
668871397,8dbb97731d3909a1df784a240568a633a20f71fc,2266,develop,passed,379,2020-03-30 17:41:08 UTC,668871398,pull_request
668862502,19c050af20cd86fdc5d80dfacb7fe6320a460fe5,,master,passed,366,2020-03-30 17:18:52 UTC,668862503,push
668862425,05295dc962e1595f6490aef611ff38d3526352d8,,develop,passed,488,2020-03-30 17:18:36 UTC,668862426,push
668779472,b2a100d232d70e90d702fc4408b435b09fdeafe9,,androidannotations-4.7.0,passed,388,2020-03-30 14:10:13 UTC,668779473,push
668779461,0187ff5446af0bbf030b5fb994c6a178401af245,,release/4.7.0,passed,382,2020-03-30 14:10:33 UTC,668779462,push
668779367,b2a100d232d70e90d702fc4408b435b09fdeafe9,,release/4.7.0,canceled,0,,668779368,push
668774624,785d5d4d7ae697eb96af0a0259d64429b6ef0c70,,develop,passed,488,2020-03-30 13:59:17 UTC,668774625,push
668764897,9d40657c48cada3536069b553ef1068f81f0f0df,2265,develop,passed,380,2020-03-30 13:50:43 UTC,668764898,pull_request
