tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
93488623,93488624,100,ad9e213c03cb24719d9f79057052ca630728d9ee,java,ok,1,java-maven,junit,true,false,200,0,200,0,,,,"",88.98,98
93491604,93491606,101,f4d09ff5aaf2c2f4af92212953da8ee819db5415,java,ok,1,java-maven,junit,true,false,203,0,203,0,,,,"",85.41999999999999,94
93497677,93497678,102,da5fedcb9cd0aa43789e126d9df842aba536ffcf,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",85.33999999999999,90
93502712,93502714,103,3fb86f1d0719a6a43de77f09d4eb623098966356,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",86.17,92
93513308,93513309,104,e33e420fd0564d21b0ac705c53de64de9a14fa56,java,ok,0,java-maven,junit,true,false,204,0,204,0,,,,"",85.22,90
93514344,93514345,105,00a7affa37014750444a23a8c3510e03806b2abd,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",89.32999999999997,95
93514353,93514354,106,00a7affa37014750444a23a8c3510e03806b2abd,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",88.95000000000002,95
93514355,93514356,107,d254c5f2f3f2164279a3cc98e818ee07aef16554,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",85.86999999999999,93
93517040,93517041,108,22d2ae7a3ed1d0f9c4e2e0de304abc383b90d6e0,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",86.6,93
93517778,93517783,109,3923e5d8e4882c4ba0e8562465b2076bb5ba0d61,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",87.09,95
37803940,37803941,10,6ba7441331f2673d2c4828f545beaf948e604c85,java,broken,,java-maven,junit,true,true,95,1,96,0,,,,givenStaticFieldAndUsingOfTypeAndName(com.jayway.awaitility.UsingFieldSupplierTest)#,49.62,52.85
93520245,93520246,110,6030a06d01347a3d12b551ad0fcbd5a62b7af39e,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",85.53,91
93521184,93521187,111,949cd502260c883e4735b6f6e7667f1736c4f863,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
93521253,93521254,112,6030a06d01347a3d12b551ad0fcbd5a62b7af39e,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",89.61999999999998,97
93527101,93527102,113,c4be539be1bd5ff90385c8c8f4d035eadffdced0,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",92.22999999999999,103
93530527,93530528,114,92281f4d47ae9bab8d924186c55f0ae431b1d54b,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",85.83999999999999,92
93537000,93537001,115,b0361f841d6319ff4afdbbefd6087652e310cdc2,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",86.04999999999998,92
93538026,93538029,116,4a44ddedffc6632c31ae8bf55567b274406154b6,java,ok,0,java-maven,junit,true,false,204,0,204,0,,,,"",85.35000000000001,90
100114198,100114199,117,e07a3ffe4c8faf02603a17be6ae612ae696b16d2,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",83.99000000000001,89
100332101,100332103,118,d633578a10cc766695e6876d04ed9382acaf2b46,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",83.91,88
102131306,102131309,119,3ff6a454c7f8b6f2613a3fe0d5b58b402e36b1cf,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",84.11,89
37821485,37821486,11,5b1560d8aaf2dc0ccbc8d2f1705c3e92ae52dc0e,java,ok,,java-maven,junit,true,false,119,0,119,0,,,,"",61.980000000000004,70
102796205,102796212,120,205e3e1ad053642bf61a06375d048c8c999cd5ac,java,ok,3,java-maven,junit,true,false,204,0,204,0,,,,"",83.99,89
107440435,107440437,121,03abee7b0599108a977f706a567dc99911c47c00,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",83.74,88
107714370,107714372,122,c562aa1dc955c836dadc624cdd74324eadd2797f,java,ok,1,java-maven,junit,true,false,204,0,204,0,,,,"",83.55,87
