tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
492622600,492622601,10,b36bace3860dd47cffa9ad4df1ffcbc9c1f6da02,android,broken,6,plain,"",false,,,,,,,,,"",,
492627431,492627432,11,04052a48d0014fa8c45f9bddee78616b5f15e02e,android,broken,5,plain,"",false,,,,,,,,,"",,
492636711,492636712,12,810f18247276f0e6eeca006d208b7a01aefb3391,android,broken,5,plain,"",false,,,,,,,,,"",,
492648785,492648786,13,14563d14b6d689354ea22921c921998605eae0f9,android,ok,10,plain,"",false,,,,,,,,,"",,
492659828,492659829,14,e8a463d2976f75df7886345e10e3bf6e9a8fa7cd,android,broken,5,plain,"",false,,,,,,,,,"",,
492694934,492694935,15,34229828475969f314c826188a70f80b513b9651,android,ok,6,plain,"",false,,,,,,,,,"",,
493187748,493187749,16,d21f8a0b3505872cb36cbb781a033b81369f7414,android,ok,5,plain,"",false,,,,,,,,,"",,
493244376,493244378,17,fa3d18f0dcdb2185c20bc732304916ab45102cf1,android,ok,6,plain,"",false,,,,,,,,,"",,
497769156,497769157,18,171a8437a36dfa7673a973de871c9bcb12237f88,android,broken,7,plain,"",false,,,,,,,,,"",,
497773717,497773718,19,6170dbc5673aca557cbcd018d2babcdd9af1e5db,android,ok,5,plain,"",false,,,,,,,,,"",,
492124729,492124730,1,5a280d13d27d94b5611ab6ef84b83f990f845c9d,ruby,unknown,0,ruby,"",false,,,0,,,,,,"",,
497777920,497777921,20,14fee3b21e7112f491abf470cd7323d5b59207dc,android,ok,8,plain,"",false,,,,,,,,,"",,
497792953,497792954,21,864c6fc94fa42f760c141344c7d4c2f5381c88cd,android,unknown,8,plain,"",false,,,,,,,,,"",,
497799197,497799198,22,e6f380f0f092b77da04827c33582b256cfbc15ab,android,broken,5,plain,"",false,,,,,,,,,"",,
497803438,497803439,23,c61b416833da26ebfaa9027b23b3223d8f56756d,android,ok,6,plain,"",false,,,,,,,,,"",,
497807639,497807640,24,1179dad13bcdbe9ca1f255ab8654237a49cfbace,android,ok,8,plain,"",false,,,,,,,,,"",,
498087560,498087561,25,2bb60cebd3689ea4ae328329dc2e568757b18f51,android,ok,6,plain,"",false,,,,,,,,,"",,
498091571,498091572,26,532b542a3b71a91fc7715ec835191288be84d504,android,ok,4,plain,"",false,,,,,,,,,"",,
498094087,498094089,27,5e8b0cdd55b47e596cc730653e2582eb77d48e34,android,ok,8,plain,"",false,,,,,,,,,"",,
498101898,498101899,28,dd6280236ada9c9c75a6f57e8417c7de53e2282a,android,unknown,9,plain,"",false,,,,,,,,,"",,
498117726,498117727,29,1fd4bfcee9e1d0ffee2934b872377394e122dd5c,android,ok,5,plain,"",false,,,,,,,,,"",,
492127456,492127457,2,06037667b75cc711d357ff0b441d475c9eb3470a,ruby,unknown,0,ruby,"",false,,,0,,,,,,"",,
498143929,498143930,30,511b09955e2faac1950ce2f04276085d4a19faba,android,unknown,8,plain,"",false,,,,,,,,,"",,
498153550,498153551,31,be62270b0b98b9fb87e35f1efcd89714d788242d,android,unknown,4,plain,"",false,,,,,,,,,"",,
498153563,498153564,32,14039cfd0f5fa8c86d94034f3ae92bbd70c14d92,android,ok,7,plain,"",false,,,,,,,,,"",,
498167304,498167305,33,c8645461a1aac08f3b5f196652bb92bfd2b10886,android,ok,9,plain,"",false,,,,,,,,,"",,
498177434,498177435,34,c8d74605690134ef4c2bc736f19c8138f636818e,android,ok,8,plain,"",false,,,,,,,,,"",,
499673013,499673014,35,6c1658059bb4c09f299c0b423a0d6b13bc803d2c,android,ok,9,plain,"",false,,,,,,,,,"",,
499693009,499693010,36,0928b5418a131635471f5979af1818a19a917134,android,ok,5,plain,"",false,,,,,,,,,"",,
564007452,564007453,37,4b08709a6a33e6d76a77ce61e8cfae2187493d20,android,ok,5,plain,"",false,,,,,,,,,"",,
564034858,564034859,38,38ef152993cfd36399bfd3c4ac91ffa4a1e38a54,android,ok,9,plain,"",false,,,,,,,,,"",,
492131186,492131187,3,e0727441f3f00ff498d564a2e7d20341151c9288,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
492140479,492140480,4,119f871a1013cb88b44b403cb9f56222b6ea73fb,android,unknown,0,plain,"",false,,,,,,,,,"",,
492161088,492161089,5,de97eb2c39fe984de0218193336ac9d6f58632fd,android,unknown,1,plain,"",false,,,,,,,,,"",,
492178363,492178364,6,f51a19243251d1971332855486f155e6c65c9073,android,broken,1,plain,"",false,,,,,,,,,"",,
492254114,492254115,7,20e6df437fa4455eac2e56ecf6b2546cd0e05482,android,broken,7,plain,"",false,,,,,,,,,"",,
492262592,492262593,8,3c29eb714bedd08145062e1c46278b849c566959,android,unknown,7,plain,"",false,,,,,,,,,"",,
492268427,492268428,9,b6eb09f53dc592e28c10c3c4ea654fd449b3ee1f,android,broken,7,plain,"",false,,,,,,,,,"",,
