tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
157503778,157503779,100,c23ab5ad2d8c69e5df8b44aee1c27e82e85cbba0,java,ok,0,java-ant,"",false,,,,,,,,,"",,
157648126,157648127,101,152f1929e41647e357639b6940a654c9d463c4a3,java,ok,1,java-ant,"",false,,,,,,,,,"",,
157648282,157648283,102,a013906e63cc75fb91214d7f3a65eb7a6f519ce9,java,ok,1,java-ant,"",false,,,,,,,,,"",,
157648894,157648895,103,9d0729f35a7c7b4f6a3ff8b65588e05c57654a3d,java,ok,4,java-ant,"",false,,,,,,,,,"",,
157664424,157664425,104,b6cca884bcedba030d2072c3c2ded8c2572833cc,java,ok,0,java-ant,"",false,,,,,,,,,"",,
157781086,157781088,105,d5584e3677f5fed629f68ff66d6e6f6fa2f334b5,java,ok,1,java-ant,"",false,,,,,,,,,"",,
159379403,159379404,106,a24d7513d425681083b194dca927ae45bb8157e6,java,ok,1,java-ant,"",false,,,,,,,,,"",,
159381639,159381640,107,a2a4e57352671acea71f4df2e92de231e71a0835,java,ok,1,java-ant,"",false,,,,,,,,,"",,
159382147,159382148,108,09e0f599cc9c25932f964e3849086c36b75dd52e,java,ok,10,java-ant,"",false,,,,,,,,,"",,
159383572,159383573,109,684ef94c0561b5d3bacf961c23859f34f4a2d3e1,java,ok,2,java-ant,"",false,,,,,,,,,"",,
69702075,69702076,10,c4f85ba8889b7c59ad7213bea8e7ab76e07474c6,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
69702075,69702077,10,c4f85ba8889b7c59ad7213bea8e7ab76e07474c6,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
69702075,69702078,10,c4f85ba8889b7c59ad7213bea8e7ab76e07474c6,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
159394946,159394947,110,3d7fc979044e486f0d9e22e4836617bbde049b9a,java,ok,0,java-ant,"",false,,,,,,,,,"",,
159396013,159396019,111,52a31964fbafc02633cc80e96ca3d88b6b5274ab,java,ok,0,java-ant,"",false,,,,,,,,,"",,
