build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
705301652,78b39a46932fb2f50e5906eb54958fa8e3c0bb63,155,master,failed,90,2020-07-06 07:10:48 UTC,705301653,pull_request
456026035,f93f05cb1c4237d785302624a2aea23bd08c7114,154,master,passed,141,2018-11-16 15:31:16 UTC,456026036,pull_request
168113450,e692910e28d432f8d80f673009789b25002d4502,,master,passed,254,2016-10-16 20:27:23 UTC,168113451,push
158999086,6e442a1ea417465e3eeb1c6f9660f39e665fa83e,149,master,passed,209,2016-09-10 17:56:16 UTC,158999087,pull_request
118191151,d1dccb4a72cbbaee1967b77a81484ad570b821d2,,v3.2.2,passed,182,2016-03-24 10:04:33 UTC,118191152,push
118190388,d1dccb4a72cbbaee1967b77a81484ad570b821d2,,master,passed,218,2016-03-24 10:00:05 UTC,118190389,push
118189128,08878700e7005fbc68b61034492c84becdc35a6d,,v3.2.1,failed,146,2016-03-24 09:52:59 UTC,118189129,push
118188987,08878700e7005fbc68b61034492c84becdc35a6d,,master,failed,122,2016-03-24 09:52:24 UTC,118188988,push
118188677,05ea683fb5c25e1f354356e1d8011b7cd3be1913,,master,failed,153,2016-03-24 09:50:55 UTC,118188678,push
118188057,ebdb6950f4f6e0440221e1d0c2b6c6106678f260,,v3.2.0,failed,135,2016-03-24 09:46:39 UTC,118188058,push
118187782,ebdb6950f4f6e0440221e1d0c2b6c6106678f260,,master,failed,108,2016-03-24 09:44:45 UTC,118187783,push
118185473,0ed4c80251ed3451d8839f973e3ae8f34e53ac3b,,master,passed,226,2016-03-24 09:30:30 UTC,118185474,push
118185328,300240f01b1fbc633cd4822161fc9915bacc75c8,,master,passed,198,2016-03-24 09:29:46 UTC,118185329,push
118185303,0192f5c3187ee15a37f1daf9a27135be1340aa76,130,master,errored,73,2016-03-24 09:29:48 UTC,118185304,pull_request
115925500,0192f5c3187ee15a37f1daf9a27135be1340aa76,130,master,passed,310,2016-03-14 18:01:39 UTC,115925501,pull_request
115699958,39104df81a3cb055eb033c7f0d9f7f9ab0ccaa4c,129,master,passed,179,2016-03-13 17:49:49 UTC,115699959,pull_request
105857794,c894531320edb42d985a3657b219e379d540f2ac,,master,passed,153,2016-01-30 10:30:30 UTC,105857795,push
105857394,eda27eb03168d914f79e2551bfec02cf15b2af32,,master,passed,182,2016-01-30 10:25:37 UTC,105857395,push
104692320,35c72557b49ec4b5c1b54019b7bbb1e509a3225e,119,master,passed,924,2016-01-25 17:30:50 UTC,104692321,pull_request
104674434,d5b0b21b2e2f059fb7adb2a314fd2b54e6de4de7,119,master,passed,196,2016-01-25 16:23:53 UTC,104674435,pull_request
87992577,b64c93c990483f3af2642b9437351932a8076f16,,master,passed,167,2015-10-28 21:38:21 UTC,87992578,push
87992096,a2632f203e23665e0be0304fa6a17d6159da0626,,master,passed,169,2015-10-28 21:35:56 UTC,87992097,push
87182796,c42f46e6d21598a60d3ee0d68b3d3477427fd5f3,107,master,passed,212,2015-10-24 11:22:12 UTC,87182797,pull_request
86983191,b6048f062d4c2ea09d42f7fb4a3722ba99cf8f3d,,master,passed,160,2015-10-23 08:05:13 UTC,86983192,push
86910704,7ef0739fa4d9ea584ab2a12cf66149b5e6a5c521,,master,passed,166,2015-10-22 20:50:41 UTC,86910705,push
86909822,24ecaedb18d8a7f319f9c7e945bd15abfc85f437,,master,failed,96,2015-10-22 20:47:03 UTC,86909823,push
86908660,142887369be2060df47f0638a29b687486dadc74,,master,failed,98,2015-10-22 20:41:53 UTC,86908661,push
86906690,6091fc2e16ae5b51655957a59a1a6a20a878692b,,master,passed,201,2015-10-22 20:31:14 UTC,86906691,push
83506509,eaaa28ac48ca06e587f04218bf0b8347aa3d3ec7,101,master,passed,124,2015-10-04 00:20:56 UTC,83506510,pull_request
81140276,2bf87fce93965e0ef91da67d71704c2eb2e18be9,98,master,passed,147,2015-09-19 09:55:47 UTC,81140277,pull_request
79492244,0699aeb7577c2be2300c03092128cf6b9a2d1302,98,master,passed,169,2015-09-09 15:20:07 UTC,79492245,pull_request
79149913,108d7a9993aadfe4606a5769305488a933c08c50,98,master,passed,145,2015-09-07 16:22:02 UTC,79149914,pull_request
79149394,9fcd6ea4f79c617973cf024de08466fc06c9513a,98,master,failed,87,2015-09-07 16:19:02 UTC,79149395,pull_request
76845237,0637e11da6a6c113b1008813577bf650598bc859,,v3.0.1,passed,134,2015-08-23 11:13:15 UTC,76845238,push
76845121,0637e11da6a6c113b1008813577bf650598bc859,,master,passed,124,2015-08-23 11:11:19 UTC,76845122,push
76435220,5fbddf9b98135fe1e43506eb7f291d47ed905969,,master,passed,148,2015-08-20 10:23:10 UTC,76435221,push
76422182,4254229f1b533c2b7a583d951196e987679d4cdf,,master,passed,145,2015-08-20 08:40:02 UTC,76422183,push
76421248,ecc87ba49bc708e1c558e35063875db9d99280ae,,master,passed,133,2015-08-20 08:32:43 UTC,76421249,push
74110681,973c6f09350bc410330171981751c3de8e03a271,93,master,passed,139,2015-08-04 18:19:23 UTC,74110682,pull_request
74110017,ec9157697bcbd2590107ffffd1a8f0c645a83486,93,master,passed,156,2015-08-04 18:14:43 UTC,74110018,pull_request
73892240,2283b2b3b5563733e40ff5f111db3112e4479eaa,93,master,passed,144,2015-08-03 13:32:35 UTC,73892242,pull_request
73780313,2283b2b3b5563733e40ff5f111db3112e4479eaa,93,master,passed,122,2015-08-02 15:52:44 UTC,73780314,pull_request
73455511,c101bc01ccfb50a5cf26c2891fdad86213ba1987,,v2.5.0,passed,128,2015-07-30 21:08:57 UTC,73455513,push
73454873,c101bc01ccfb50a5cf26c2891fdad86213ba1987,,master,passed,146,2015-07-30 21:04:01 UTC,73454874,push
73341184,51fa7ce8a5439468ae11aea400e4ea6de427d75e,,master,passed,155,2015-07-30 09:12:31 UTC,73341185,push
73340348,24838bdfb262aaa03577fa1b1f30affb6defa6d4,,master,passed,172,2015-07-30 09:07:37 UTC,73340349,push
73340172,258232d7362d49545a5f686e912c73dd62f35020,,master,passed,160,2015-07-30 09:05:15 UTC,73340173,push
73076031,cf90e158c272f30b2e09688cb2e11b31078b62db,90,master,passed,220,2015-07-28 20:08:44 UTC,73076037,pull_request
69002294,636e0f57df342f369f92c743128c2e7c26aaf50c,86,master,passed,163,2015-06-30 16:33:58 UTC,69002295,pull_request
68631243,b119f1cf847242acdd30071d1ca03a6dd071d9e7,86,master,passed,167,2015-06-27 20:03:15 UTC,68631244,pull_request
68474829,946b34aa4edcc2d4ff88eefbeb0c4b1beb9f519e,,v2.4.5,passed,207,2015-06-26 13:11:08 UTC,68474830,push
68471213,946b34aa4edcc2d4ff88eefbeb0c4b1beb9f519e,,master,passed,178,2015-06-26 12:47:47 UTC,68471214,push
67171516,0c2c4f6eacf0daff710765afc129185660ce2f01,,master,passed,182,2015-06-17 10:44:06 UTC,67171517,push
65527282,30230fee3e3dde17f19551f35cdff882f1dc9f04,82,master,passed,229,2015-06-05 07:38:44 UTC,65527283,pull_request
59105417,99af8c4595691a6d306b2cdc12006b95c78c1a0f,,v2.4.3,passed,155,2015-04-19 10:10:13 UTC,59105418,push
58923189,99af8c4595691a6d306b2cdc12006b95c78c1a0f,,master,passed,183,2015-04-17 15:13:56 UTC,58923190,push
58659719,df7b9e8acdf143a67cf2dab319c4da8d4f6ebd1c,,master,passed,202,2015-04-15 20:52:23 UTC,58659721,push
58655037,fdffd453ca1f895bc448c93aeb4f2fee03d208ce,,master,passed,229,2015-04-15 20:19:25 UTC,58655039,push
57085299,395374fc8dab5e98e2caa7626d8b72deaa637617,,master,passed,221,2015-04-03 19:53:33 UTC,57085300,push
57023811,fc8398d4f56d7cf16b41df847d8276b70961e293,,master,passed,201,2015-04-03 11:47:31 UTC,57023812,push
57023389,4e30db4c5dc72119f9a16adc0542642140e30172,62,master,passed,174,2015-04-03 11:42:41 UTC,57023391,pull_request
57023329,61099d9e84b1056c117bc0d047cac677541f6567,,onItemClickDevelopment,passed,154,2015-04-03 11:42:47 UTC,57023331,push
53726439,d0e4bee99c22f682d734b4193c0103e620f87e8e,,onItemClickDevelopment,passed,189,2015-03-09 22:57:57 UTC,53726440,push
53725156,a9ec3163177c1bf5e74e1ed7bbcf103f1b8fd021,,onItemClickDevelopment,passed,213,2015-03-09 22:51:52 UTC,53725157,push
53723763,ce096708186d7481c41262154a0721974baf07df,,onItemClickDevelopment,passed,127,2015-03-09 22:40:09 UTC,53723764,push
53452703,d3b66f35089d11e42303b5902f5ecd9332befe09,,master,passed,120,2015-03-07 12:44:24 UTC,53452704,push
53452507,b20bac1690018a9488d42b96ec39046ae2b5e091,,master,passed,131,2015-03-07 12:39:20 UTC,53452508,push
52860934,fb4b3acb9844a6ddabecd78eafeb1b1f35187300,51,master,passed,133,2015-03-03 07:55:09 UTC,52860935,pull_request
52713540,570c9d3c718c2dd9da93a125cf1d9a26fbecac61,,master,passed,146,2015-03-02 09:21:20 UTC,52713541,push
52618320,6796b71c89eec9b6671e3f761d3ba3be9daa1d73,,master,passed,159,2015-03-01 12:15:38 UTC,52618321,push
52618200,6b2461b7bef9a712176ab369c5ef47e10026a43c,,master,passed,127,2015-03-01 12:13:29 UTC,52618201,push
52617362,a0ea7d45e02cad96496be0a9217fdfcea4bd8bb2,,master,passed,162,2015-03-01 12:03:29 UTC,52617363,push
52159135,01cc26079d45b92c0f924eae77252715bd90e947,49,master,passed,121,2015-02-25 17:02:12 UTC,52159136,pull_request
50660683,27f0653c9cfd78ecb0fa5b98ad5cb448b80ef789,,v2.2.0,passed,176,2015-02-13 17:20:22 UTC,50660684,push
50660268,27f0653c9cfd78ecb0fa5b98ad5cb448b80ef789,,master,passed,227,2015-02-13 17:15:34 UTC,50660269,push
50657522,d9efaca3d38e0b38a95cf44f9f5529a4d8e1af58,,development,failed,225,2015-02-13 16:53:41 UTC,50657523,push
48819282,3740a8cce40b634c6e79d828f4b4dddd2987ed5d,,master,passed,125,2015-01-29 21:43:16 UTC,48819283,push
48807826,277b66f2f03f4df6373c6f432b8eaf1149e79bc7,,v2.1.1,passed,218,2015-01-29 20:09:47 UTC,48807827,push
48806582,277b66f2f03f4df6373c6f432b8eaf1149e79bc7,,master,passed,137,2015-01-29 19:57:37 UTC,48806583,push
48806435,40fa373b2c49c6125cd0fd0dcc7a884bd34b79b7,,master,passed,135,2015-01-29 19:56:31 UTC,48806436,push
48792231,45cd052e76d0669998a0d5c4fe66d37dca848e3f,,master,passed,165,2015-01-29 17:57:51 UTC,48792232,push
48791810,c793fd1f06fb19d75efed303b426076db7b716e0,,master,passed,217,2015-01-29 17:53:23 UTC,48791811,push
48243351,b5be1d4d02d8ee2cc3c64b750441421738b070c4,,v2.0.3,passed,139,2015-01-25 13:33:52 UTC,48243352,push
48243164,b5be1d4d02d8ee2cc3c64b750441421738b070c4,,master,passed,134,2015-01-25 13:29:48 UTC,48243165,push
48243063,482891654ab2f416dc61c5da2a5a73d0d0b373da,,master,passed,168,2015-01-25 13:28:05 UTC,48243064,push
48230299,600a9e016215ce705759cc5dbf5d487d2dd6c701,,master,passed,162,2015-01-25 09:42:09 UTC,48230300,push
48229382,3dcc86b9f1c55df48f89249c5cf693d65fcc7147,,master,passed,166,2015-01-25 09:26:20 UTC,48229383,push
48229199,0bfed1f276df2938f6b59964b9b1cc04c8de60e1,,v2.0.2,passed,122,2015-01-25 09:21:26 UTC,48229200,push
48229086,0bfed1f276df2938f6b59964b9b1cc04c8de60e1,,master,passed,122,2015-01-25 09:17:34 UTC,48229087,push
47010471,73ef2073f84a53fd35cc864fbcc0501dec6d2850,,master,passed,201,2015-01-14 17:24:28 UTC,47010472,push
47006355,4fcf5761f97acc0efe2fa8bd47e8b92db0eef8f7,,master,passed,229,2015-01-14 16:48:06 UTC,47006356,push
46854464,5b53aae05fe37f89bba542034f40d99d0b32558a,31,master,passed,161,2015-01-13 14:05:47 UTC,46854465,pull_request
46750280,82e2e70a2f8e2aae738ecd8670d15e53b918e1d2,30,master,failed,163,2015-01-12 17:00:35 UTC,46750281,pull_request
46733954,74cf81b4ed774fbbbe37c510ed1ca675fc488213,27,master,passed,210,2015-01-12 14:39:05 UTC,46733955,pull_request
46723989,d6043b1c9a3a8a9c9cd0279625e453a375d2980e,27,master,failed,121,2015-01-12 12:59:15 UTC,46723990,pull_request
46545059,a6c3a298ab0caeb3b15e3632c21fe1a307dd9bb0,,master,passed,178,2015-01-10 12:23:45 UTC,46545061,push
46544887,25a775ac98ec170a2f38713b1046ae0a1a980c15,,master,passed,189,2015-01-10 12:20:03 UTC,46544888,push
46473486,871a63eb95fe58bfa656abc1838d1b6e8fad7a3b,,master,passed,229,2015-01-09 18:00:59 UTC,46473487,push
46454565,875fdb1c8dd328f8e5e0bc6d2639b41e283081b1,23,master,passed,262,2015-01-09 15:28:14 UTC,46454566,pull_request
46443154,a8cf4e75f65bd665e843c25aea0d4928fe0f2e85,23,master,failed,153,2015-01-09 13:45:39 UTC,46443155,pull_request
46433218,e817be1f1e170592999d327885db6d7015b6cf88,23,master,passed,145,2015-01-09 11:51:45 UTC,46433219,pull_request
46419843,cb06b4a4c9085cae00ac84d1f16e24e364818855,23,master,failed,147,2015-01-09 09:17:01 UTC,46419844,pull_request
46417599,a6a075f15d8f68ce7da6a8dee66bf1790d4bfe43,23,master,passed,153,2015-01-09 08:45:10 UTC,46417600,pull_request
46332592,a6cf0aacb519fb4dce9850aa1ffcfe1de7a2d826,23,master,passed,158,2015-01-08 16:17:45 UTC,46332594,pull_request
46303904,a536fe7f502028cfefcb70bb5d70769cfd34587a,23,master,passed,195,2015-01-08 11:33:15 UTC,46303905,pull_request
46136451,d0098dcc5b8d22f4341083c9b78a46df959f95be,23,master,passed,135,2015-01-06 23:22:28 UTC,46136452,pull_request
45812691,93b91f9bea1af3af202a8defadd0b088174be52e,,master,passed,156,2015-01-04 00:02:22 UTC,45812692,push
45776103,9526742373481620fb35f560986d32af3be90834,,master,passed,137,2015-01-03 15:04:13 UTC,45776104,push
45771557,258470f566c6d0386529a47905dcf9626d2217a6,,master,passed,211,2015-01-03 13:43:26 UTC,45771558,push
45771553,3015b274bd8a5a286972655062429ae0ca6e9a46,17,master,errored,6,2015-01-03 13:43:24 UTC,45771554,pull_request
45722526,3015b274bd8a5a286972655062429ae0ca6e9a46,17,master,passed,215,2015-01-02 21:26:15 UTC,45722527,pull_request
44877994,d7d78c75e745bce8fb41f4acae06754165637e2d,17,master,passed,193,2014-12-22 22:17:32 UTC,44877995,pull_request
44877105,0ddfdfa9ab7bf2a5bd32030913380bad420593a0,17,master,passed,222,2014-12-22 22:07:42 UTC,44877107,pull_request
