build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
697604105,e764b73cae9a5d8128aaf1a690aa74887954a281,,master,passed,809,2020-06-12 13:05:16 UTC,697604106,push
696943892,efe09e8923686a3a367fb110aa30639485b6a319,947,master,passed,877,2020-06-10 17:53:28 UTC,696943893,pull_request
674023116,5dd6404d7431bb8f60371a15a11798af8429a6aa,931,master,passed,870,2020-04-12 11:18:54 UTC,674023117,pull_request
673902705,af72f347ea3d4d54b2e3f1bd0c86c53bb46ed44b,469,master,passed,761,2020-04-11 21:48:19 UTC,673902706,pull_request
673902689,5f127779aa84c34a4490040e86bd902333f76139,,stories/442-show-subtasks,passed,727,2020-04-11 21:48:30 UTC,673902690,push
673902124,08bbda6a90976bc8d1355ff656ce6b1632ba9f65,,master,passed,745,2020-04-11 21:46:17 UTC,673902125,push
673899311,b4981d3768b34515df4bea15c0f89b56c4f1049c,935,master,passed,792,2020-04-11 21:32:03 UTC,673899312,pull_request
673899274,cdc039e6472a3a31ec6e0955727bc1bd4455180b,,stories/442-opentaskspal-subtasks,passed,766,2020-04-11 21:31:43 UTC,673899275,push
673884056,bf47b419f31d913132700cfcc4e556bec5c5463d,469,master,passed,772,2020-04-11 20:29:02 UTC,673884057,pull_request
673884049,d2d95198bc9c8b9f38e123eab6cbaf7d5f2181bc,,stories/442-show-subtasks,passed,803,2020-04-11 20:28:58 UTC,673884050,push
673440193,0fbfdf2eab64ffb3fc5181a0a6c3631d81d7c0eb,469,master,failed,490,2020-04-10 14:13:21 UTC,673440194,pull_request
673440167,fbe188ba11e7fba51128a03f6074e8b7817dc087,,stories/442-show-subtasks,failed,491,2020-04-10 14:13:22 UTC,673440168,push
673439909,a59ca624a484ed571aa017960846c09f8bddc09d,,master,passed,760,2020-04-10 14:12:13 UTC,673439910,push
673433786,3d634bdf089522f37e12daa1d12dc470ec22e801,934,master,passed,720,2020-04-10 13:55:39 UTC,673433787,pull_request
673433415,db654debc9c1b9fb1dcf44805b0735aaf8a5ed7b,,fixes/877-update-parent-id,passed,701,2020-04-10 13:54:54 UTC,673433416,push
673406734,f5e56be8596aa338d189222e4f1ef310b54b76be,,master,passed,731,2020-04-10 13:12:29 UTC,673406735,push
673399068,839470378f81f92f0f519c2b1dc2d9ca0d01a5cc,933,master,passed,796,2020-04-10 12:55:23 UTC,673399069,pull_request
673395070,23d9cb09f361f95ee10487369a8410848bcace64,,features/454-update-parent-relations,passed,710,2020-04-10 12:40:33 UTC,673395071,push
673246423,43d9a1f0be4be3347e1f4190251fbf4eef40fc11,,features/454-update-parent-relations,passed,685,2020-04-10 01:26:07 UTC,673246424,push
