build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
376712749,cf53a1a22930591fcfcea59afa68b955a4d9c4f0,80,master,errored,189,2018-05-09 07:40:10 UTC,376712750,pull_request
376708510,fd11e69c4d273d8ac4dc10f3a18f2704e60021d0,80,master,errored,621,2018-05-09 07:21:53 UTC,376708511,pull_request
376705331,bf33de483868941f0800c2e72e29e34adc208804,80,master,errored,627,2018-05-09 07:10:51 UTC,376705332,pull_request
223012736,52f1a0586c24132255e8c7e9e88f88362d10a224,92,master,errored,100,2017-04-18 04:00:07 UTC,223012737,pull_request
202815574,b240941e5125d9f70947f2e3c8b562652faf3a72,80,master,errored,44,2017-02-18 00:14:15 UTC,202815575,pull_request
172026661,b1127a60343590ab4729877d7605022a6506b3ba,80,master,errored,41,2016-10-31 16:08:18 UTC,172026662,pull_request
171791519,07ea2ad6f7a139c59045df248311aed60a098373,80,master,errored,41,2016-10-30 16:15:40 UTC,171791520,pull_request
171784375,e9377ae8081b025167b974f52b257a571406f62f,80,master,errored,37,2016-10-30 15:29:36 UTC,171784376,pull_request
171758069,27b544a80740b497d4c5d1e30b979a7f5ee80ffc,80,master,errored,37,2016-10-30 12:16:01 UTC,171758070,pull_request
171726074,d27784e021d9473c2fc881560a005f3c88de79e3,80,master,errored,39,2016-10-30 06:10:52 UTC,171726075,pull_request
41483301,6b69d733631cdff207904af0856107effd28b8ae,80,master,errored,22,2014-11-19 14:08:15 UTC,41483302,pull_request
41070785,286d85f4e8f29ff6845cfc31c6ce8e3db208f37e,80,master,errored,31,2014-11-15 04:59:53 UTC,41070786,pull_request
40475632,faf12891a7bd2465b7cf077e9041ef63f560ec8a,80,master,errored,18,2014-11-09 18:29:48 UTC,40475633,pull_request
40466310,662c293078c12302a4b77bcf61966dcab29544fa,80,master,errored,30,2014-11-09 15:53:28 UTC,40466311,pull_request
40462610,0ec9d8cc74c85238c699f3b5314e22293df8f93e,80,master,errored,28,2014-11-09 14:39:07 UTC,40462611,pull_request
40394170,f684d8f681dc89d4b0e36af2797c1ac45a3565dc,80,master,errored,18,2014-11-08 15:47:08 UTC,40394171,pull_request
40392312,bbd5b639091e227bf38f5f6cc774922a04ef2898,80,master,errored,23,2014-11-08 15:15:57 UTC,40392313,pull_request
40381275,85192ac28c8df6fd8473a4c222b5252d1a5fb7e0,80,master,errored,26,2014-11-08 11:29:38 UTC,40381276,pull_request
40094246,4ec81fbd348dfcc6200790d989152801570b2e2d,80,master,errored,23,2014-11-05 18:45:51 UTC,40094247,pull_request
40022226,0484b2958c029efcc2a9866bc270c1f9ecfbc9bd,80,master,errored,19,2014-11-05 03:09:34 UTC,40022227,pull_request
39918779,9c30b7effdc60bb98f09295d15a46f164adf9550,80,master,errored,19,2014-11-04 07:35:13 UTC,39918780,pull_request
39821383,0d7cb9dac94a1d934b58aac7b8554db339826f8e,80,master,errored,22,2014-11-03 11:20:54 UTC,39821384,pull_request
39815376,a5cfe22fc3954f57ad89b31675c0dcd1e9b00bf4,80,master,errored,31,2014-11-03 10:07:18 UTC,39815377,pull_request
39590174,3ce73b6dd5355731252a4cfc077b4d724740667b,80,master,errored,32,2014-10-31 12:14:02 UTC,39590175,pull_request
39174559,d0e7e4198a388e32c11a9cf75ce9122c2ee047d8,80,master,errored,36,2014-10-27 17:22:12 UTC,39174560,pull_request
39128681,b9a9500522c8e56e98ebd90eff5eb98553234e96,80,master,errored,22,2014-10-27 07:50:34 UTC,39128682,pull_request
39069743,19d513509183eac40000ca5585c34942c0753e12,81,master,errored,157,2014-10-26 11:28:51 UTC,39069744,pull_request
39012772,9f9b5df1a9495a0c781cff82635caea396ad767b,80,master,errored,23,2014-10-25 14:03:12 UTC,39012773,pull_request
38995904,35114e253e85ba46788b4ae54c4fee3d0f1bb27a,80,master,errored,17,2014-10-25 05:50:50 UTC,38995905,pull_request
38995008,c5490842b23f6a42387de3a5f2ad65204ec5d11b,80,master,errored,18,2014-10-25 05:12:43 UTC,38995009,pull_request
38992291,7ecac78b01e2219f85334f49794c7933bcf61e00,80,master,errored,23,2014-10-25 03:36:36 UTC,38992292,pull_request
38945502,ead8d221721db73abda8e08e8aee6aefd7056321,80,master,errored,42,2014-10-24 16:33:47 UTC,38945504,pull_request
38944497,9218f0cb21f20f80a91c6c64bc0c6b5a21b4dce6,80,master,errored,40,2014-10-24 16:21:55 UTC,38944498,pull_request
38907542,59f3808409abc96e560aca17dd5866a140f0574b,80,master,errored,36,2014-10-24 09:19:57 UTC,38907543,pull_request
38905743,f37978965ce820b7fa4acbc22ef1c1476547ef74,80,master,errored,22,2014-10-24 08:57:57 UTC,38905744,pull_request
38900484,08d1e422f45d7f7552a4185dd625d6e6cd392a25,80,master,errored,19,2014-10-24 07:43:29 UTC,38900485,pull_request
38897257,3bb8d1fd6adea427a1772d2d95aaa4ee4985c961,80,master,errored,27,2014-10-24 06:45:53 UTC,38897259,pull_request
38397092,d9d767d2965b4fc4b6050b58d7c5ba34d7a078ec,80,master,errored,25,2014-10-19 08:09:33 UTC,38397093,pull_request
38347377,483db6f40f62ac3232b3f38bbdd3290d7af8c0c4,80,master,errored,142,2014-10-18 13:44:13 UTC,38347378,pull_request
38280453,df2e06b30f414d0eb338e801da44144a378ddc5d,80,master,errored,166,2014-10-17 16:48:06 UTC,38280454,pull_request
38247953,cc9a4d77003687f587679d315f4cb2c0bad4a830,80,master,errored,106,2014-10-17 10:28:31 UTC,38247954,pull_request
38227791,b1429e0948951803faa64b8e6bbf08361f2e8ae7,80,master,errored,160,2014-10-17 04:25:54 UTC,38227792,pull_request
26464079,3a666f18ee5158db6fe3b4f4346b470481559606,,master,passed,149,2014-05-31 17:34:12 UTC,26464080,push
26463995,80a9de195bf020789ebe9a19ebef62174e93f202,,1.3.1,errored,97,2014-05-31 17:30:53 UTC,26463996,push
26463930,80a9de195bf020789ebe9a19ebef62174e93f202,,master,errored,121,2014-05-31 17:28:50 UTC,26463931,push
25321614,126d70b6659bb277713f29f1b2ffd33f7fedb130,75,master,passed,238,2014-05-16 10:55:34 UTC,25321615,pull_request
