tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
145381094,145381095,100,5beae14fa5d82375d9aec264492220db82c1fa2b,java,ok,54,java-ant,"",false,,,,,,,,,"",,33.19
145397133,145397134,101,5f258bddfd12aa5cf69c9204e5a91b9ad8f8b164,java,ok,50,java-ant,"",false,,,,,,,,,"",,29.08
147816839,147816840,102,edc53815fa09893a5f1a668d3fe189aa898196d2,java,ok,50,java-ant,"",false,,,,,,,,,"",,27.16
147968125,147968126,103,94a2859dfdaa915679d4d6434af6a9a4ef4ce944,java,broken,39,java-ant,"",false,,,,,,,,,"",,
147974067,147974068,104,562e9b35e9b43680c3a55f72261b3f4b313ec5cd,java,broken,51,java-ant,"",false,,,,,,,,,"",,
147976351,147976352,105,04d67fe1a5214759c4ab08e8049a36438623f465,java,broken,1,java-ant,"",false,,,,,,,,,"",,11.76
147977183,147977184,106,699e498e0b8063eeaa62e3b325c277034f68cf18,java,broken,1,java-ant,"",false,,,,,,,,,"",,9.72
148003029,148003030,107,17d8ed41b781f760b3c1769e13fce6ba60030e3e,java,ok,1,java-ant,"",false,,,,,,,,,"",,34.24
150014403,150014404,108,0f992c2e7e4cfbf99bd602e4384f55e7cd893b42,java,ok,0,java-ant,"",false,,,,,,,,,"",,44.56
150084901,150084902,109,57b59483056cc7d61229098c541b2f1479ffd88a,java,ok,0,java-ant,"",false,,,,,,,,,"",,25.28
81777212,81777213,10,dfb1e1c60117bdc04f9a578cc0d1085f10573a53,java,unknown,1,java-maven,"",false,,,,,,,,,"",0,
150264227,150264228,110,9423224b6f7c765b33e7305c944d8b0a67143314,java,ok,1,java-ant,"",false,,,,,,,,,"",,28.99
150548127,150548128,111,446495095184d366d7f489a18fd27a0919be7f19,java,ok,1,java-ant,"",false,,,,,,,,,"",,32.15
