build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
755377629,1d9b904d270f8845bfec03e84bbf28f4d00fce7f,215,dev,passed,219,2021-01-20 17:21:36 UTC,755377630,pull_request
755372023,1a22977c17667519654f171bd2718aefa596b9a0,215,dev,passed,209,2021-01-20 16:45:57 UTC,755372024,pull_request
729741652,a837934d9eaa5bc71414c0a5291f7a0effd34ec0,,v1.3.3,passed,283,2020-09-23 20:02:19 UTC,729741653,push
729740238,a837934d9eaa5bc71414c0a5291f7a0effd34ec0,,master,passed,291,2020-09-23 19:57:30 UTC,729740239,push
729740185,0db33cd48cea2301d88e6b1c241e1f61e818b142,213,master,errored,22,2020-09-23 19:57:26 UTC,729740186,pull_request
729740104,5d29e3d2fd3bc27214f6f56ca676c4ce29c63b5d,,v1.3.3,passed,285,2020-09-23 19:57:03 UTC,729740105,push
729734395,ab4d4f16996f9d3d57094c7fa4615fc6f0c13d8b,,master,passed,242,2020-09-23 19:32:15 UTC,729734396,push
729734293,fea4eb540861c74692e39e004820c1fc30f9e9ea,211,master,errored,22,2020-09-23 19:32:03 UTC,729734294,pull_request
729733254,e2d1d7af737af3dc19242da031572c4a9e1b68e2,,bugfix/title-horizontal-gravity,passed,318,2020-09-23 19:28:15 UTC,729733255,push
726823897,8ced4578762d5105f6973949a557461426d5240c,,master,passed,241,2020-09-13 19:21:44 UTC,726823898,push
721922947,f4b1af6a5e0cc18067caca7878060e9d58175bc2,,master,passed,235,2020-08-28 06:18:08 UTC,721922948,push
721849537,b6b4460aa528a6f84efe33a939527fb7d85d154e,204,master,passed,232,2020-08-27 22:44:19 UTC,721849538,pull_request
718802796,89d56b9f22fc4df16cfab15ebe3390f4fc5f7c76,204,master,passed,232,2020-08-18 00:09:46 UTC,718802797,pull_request
718802186,992f2188344ba95a8e0cb0fea7cd6c2179987950,203,master,passed,238,2020-08-18 00:06:47 UTC,718802187,pull_request
711255783,1cc3bd34b7d0385efa5d23395c5f60f31db23d3b,,v1.3.1,passed,241,2020-07-23 21:45:35 UTC,711255784,push
711254429,1cc3bd34b7d0385efa5d23395c5f60f31db23d3b,,master,passed,249,2020-07-23 21:40:39 UTC,711254430,push
711252846,d11d0f31c7e4a7a21d8e696eaca52655720bf149,,master,errored,86,2020-07-23 21:33:53 UTC,711252847,push
711250435,9c4eda7ad2b07bfe197f46cb262818591d121692,,master,failed,152,2020-07-23 21:25:55 UTC,711250437,push
711246453,3fe3c6c12f6751d810c8f76993c98daa2ef0e475,,master,passed,255,2020-07-23 21:16:02 UTC,711246454,push
709307073,e4826a77cf58a557ed16b00ad4e19bb04088e3a9,,master,passed,238,2020-07-17 19:50:18 UTC,709307074,push
708719661,3f8e83e78dd0dbb8abb20bd359c7abb9a1c09760,198,master,passed,224,2020-07-16 12:31:12 UTC,708719662,pull_request
703681935,916271f068f92ae1c6abe2b0f3e5275279b50144,,master,passed,216,2020-06-30 20:56:58 UTC,703681937,push
703678012,afcf01aa6b56ac8209f259384d6dc1d7bd06deca,,master,passed,221,2020-06-30 20:43:40 UTC,703678013,push
