tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
92414202,92414203,100,13b7071d7a98ab62f83ede0baf3c234edbf0a767,java,ok,49,java-ant,"",false,,,,,,,,,"",,834
92414202,92414204,100,13b7071d7a98ab62f83ede0baf3c234edbf0a767,java,unknown,5,java-ant,"",false,,,,,,,,,"",,838
92452361,92452362,101,77468d875ef02c3eb6c77d88b19e2cb967ac4935,java,ok,40,java-ant,"",false,,,,,,,,,"",,720
92452361,92452363,101,77468d875ef02c3eb6c77d88b19e2cb967ac4935,java,unknown,6,java-ant,"",false,,,,,,,,,"",,867
93037417,93037418,102,7346d12bc22f43b60e27b53e6f16bd4933178719,java,ok,41,java-ant,"",false,,,,,,,,,"",,775
93037417,93037419,102,7346d12bc22f43b60e27b53e6f16bd4933178719,java,unknown,8,java-ant,"",false,,,,,,,,,"",,906
93200632,93200633,103,d82891179d601f39d751ec1720176861687f02a2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93200632,93200635,103,d82891179d601f39d751ec1720176861687f02a2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93235616,93235617,104,2498fc4b127d4378398694d37cc37c8195ebe6c4,java,ok,84,java-ant,"",false,,,,,,,,,"",,992
93235616,93235618,104,2498fc4b127d4378398694d37cc37c8195ebe6c4,java,unknown,5,java-ant,"",false,,,,,,,,,"",,829
93238619,93238624,105,ad88b82e09f499758365212a694f4e1166214999,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93238619,93238630,105,ad88b82e09f499758365212a694f4e1166214999,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93241835,93241836,106,91aa3b2ca0c43b66747d7926e34fae38ef030efa,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93241835,93241837,106,91aa3b2ca0c43b66747d7926e34fae38ef030efa,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93245780,93245781,107,6dc904aa36db6a8a0d2feb465d9fa7cbbafe5f88,java,ok,62,java-ant,"",false,,,,,,,,,"",,1014
93245780,93245782,107,6dc904aa36db6a8a0d2feb465d9fa7cbbafe5f88,java,unknown,7,java-ant,"",false,,,,,,,,,"",,883
93252349,93252350,108,1d2bbb98d8d54439c3ffc4760c3ad631429e0cd1,java,ok,40,java-ant,"",false,,,,,,,,,"",,884
93252349,93252351,108,1d2bbb98d8d54439c3ffc4760c3ad631429e0cd1,java,unknown,6,java-ant,"",false,,,,,,,,,"",,873
93262955,93262956,109,5f8477612b96aa825313b9895975120ee50753c4,java,ok,47,java-ant,"",false,,,,,,,,,"",,727
93262955,93262957,109,5f8477612b96aa825313b9895975120ee50753c4,java,unknown,6,java-ant,"",false,,,,,,,,,"",,854
79090207,79090208,10,e8dddd3ac94c328b7b8a33de3f06c83dd840505a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
93265015,93265016,110,2c079944193fea784e13cffc84103a377c4b82ce,java,ok,40,java-ant,"",false,,,,,,,,,"",,713
93265015,93265017,110,2c079944193fea784e13cffc84103a377c4b82ce,java,unknown,8,java-ant,"",false,,,,,,,,,"",,872
93357732,93357734,111,c99751729648d5be90bc0dd2cc19c12bda347d4b,java,ok,43,java-ant,"",false,,,,,,,,,"",,728
93357732,93357737,111,c99751729648d5be90bc0dd2cc19c12bda347d4b,java,unknown,7,java-ant,"",false,,,,,,,,,"",,853
93435532,93435533,112,f02a552859307dfc0eb8c0a246dc49d10b4a132a,java,ok,39,java-ant,"",false,,,,,,,,,"",,680
93435532,93435534,112,f02a552859307dfc0eb8c0a246dc49d10b4a132a,java,unknown,6,java-ant,"",false,,,,,,,,,"",,823
93480792,93480793,113,452f74993d323219331107708c5762c0ba102c0c,java,ok,47,java-ant,"",false,,,,,,,,,"",,1046
93480792,93480794,113,452f74993d323219331107708c5762c0ba102c0c,java,unknown,6,java-ant,"",false,,,,,,,,,"",,941
93713317,93713318,114,f73af81351fd35c2b23d2544714d499e468d0d71,java,ok,48,java-ant,"",false,,,,,,,,,"",,735
93713317,93713319,114,f73af81351fd35c2b23d2544714d499e468d0d71,java,unknown,5,java-ant,"",false,,,,,,,,,"",,771
93721045,93721046,115,16dffb700ecf772b44588ae940a746016c6d837c,java,ok,42,java-ant,"",false,,,,,,,,,"",,882
93721045,93721047,115,16dffb700ecf772b44588ae940a746016c6d837c,java,unknown,7,java-ant,"",false,,,,,,,,,"",,784
93723609,93723610,116,a4341d2c5b13ccb76d5d5c8e4bc37e512a2e3b0e,java,ok,40,java-ant,"",false,,,,,,,,,"",,727
93723609,93723611,116,a4341d2c5b13ccb76d5d5c8e4bc37e512a2e3b0e,java,unknown,6,java-ant,"",false,,,,,,,,,"",,897
93826445,93826446,117,bea78741dc19da9e88d10c14222dca3409a71da5,java,ok,47,java-ant,"",false,,,,,,,,,"",,726
93826445,93826447,117,bea78741dc19da9e88d10c14222dca3409a71da5,java,unknown,5,java-ant,"",false,,,,,,,,,"",,932
