tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
49865864,49865865,1066,cfcba7d9cb8c35ac2fa55a7326221f9535294058,java,ok,1,java-ant,junit,true,false,2,0,2,0,,,,"",0.0,39.0
49865864,49865866,1066,cfcba7d9cb8c35ac2fa55a7326221f9535294058,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
52780053,52780054,1290,9f93099dfdb7838fbe519dc5c3f61fd4e18be1d8,java,broken,2,java-ant,"",false,,,,,,,,,"",,0.0
52780771,52780772,1291,e3614399a629b0ed91227db131ecd4b906ed94d4,java,broken,1,java-ant,"",false,,,,,,,,,"",,0.0
52784783,52784784,1292,068647b7c6fd5511a7ae0db9642fde88660cc14e,java,broken,0,java-ant,"",false,,,,,,,,,"",,0.0
58473035,58473036,1484,2db3f95b843a3c4799afa5df35dd1f86e72120f1,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
58521032,58521033,1485,48492eac1a51eacfec18a03068c708834ceb5c72,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
58740974,58740975,1486,0481b28bc361a0d1a5343bd5da3661404617c054,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
58742163,58742164,1487,a7bd3a75af546a2aa6dd1416ff7ce278d5efcba2,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
64214066,64214067,1595,7e35254fcb3e030562c982aebd5faea88b783eee,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
64214345,64214346,1596,11e4b186b3c8238d4bef5de352db6a1fd8e20182,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
64223591,64223592,1597,8cd04433b694dd64968abfad8c7f5c4a0565fb4e,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
64227343,64227344,1598,4e2b3e25bee0c44af454ab95588a1e08ce4a4bfc,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
64235676,64235678,1599,0b546f36e1beecb2b3714dae36e5254d6203338c,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
64236190,64236191,1600,a5ca1dee0b0d3928ae745691c953d50937de450a,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
64236444,64236445,1601,9f11b7ce6fb01964cc49852b071539cd695d2ebb,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
64238007,64238008,1602,6f053ae7adf6227488cb843fa17ff055eb01c700,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
64255125,64255126,1603,88036d379558f9fa1b1cbebd26a6b444039bbfc8,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
73591258,73591259,1878,07b5826c0e97224b7234d35b3cb6110f0cedc202,java,broken,0,java-ant,"",false,,,,,,,,,"",,0.0
83772499,83772500,2134,e41b1bd7e0848cb490a4d508fdcc887206621913,java,broken,1,java-ant,"",false,,,,,,,,,"",,0.0
91241213,91241214,2156,e877766e95bda16d538941bfd7da90a92e5f0029,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
167664715,167664716,2157,4a1ad755098b9b833b6c215d0fd48a3aabe26ba2,java,broken,1,java-ant,"",false,,,,,,,,,"",,0.0
167664715,167664717,2157,4a1ad755098b9b833b6c215d0fd48a3aabe26ba2,java,broken,1,java-ant,"",false,,,,,,,,,"",,0.0
348333412,348333413,2158,d2a8b13481a5facf79be0cbb3dd20a5cbdff22cc,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
348333913,348333915,2159,5e92fa690039339c0db517f36ec27d2765f6b79b,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
348333913,348333917,2159,5e92fa690039339c0db517f36ec27d2765f6b79b,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
