tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
538540629,538540630,100,d2e0f59fb8c8499b9c05b51da20b012a7ee936ad,java,ok,10,java-ant,"",false,,,,,,,,,"",,
538540629,538540631,100,d2e0f59fb8c8499b9c05b51da20b012a7ee936ad,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
538541610,538541611,101,1349549d35015b0113c4ecb588a16969a378c0ba,java,ok,10,java-ant,"",false,,,,,,,,,"",,
538541610,538541612,101,1349549d35015b0113c4ecb588a16969a378c0ba,java,unknown,11,java-ant,"",false,,,,,,,,,"",,
538555328,538555330,102,70bc0a30e9b70bbeec365794263d175662998b86,java,ok,22,java-ant,"",false,,,,,,,,,"",,
538555328,538555331,102,70bc0a30e9b70bbeec365794263d175662998b86,java,unknown,11,java-ant,"",false,,,,,,,,,"",,
538589985,538589986,103,a5a434ef33787d8e2d1d4653994aad5fbcb15763,java,ok,9,java-ant,"",false,,,,,,,,,"",,
538589985,538589987,103,a5a434ef33787d8e2d1d4653994aad5fbcb15763,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
538591801,538591802,104,958132e5d49345041504b3cfe6d65584b8ae7143,java,ok,10,java-ant,"",false,,,,,,,,,"",,
538591801,538591803,104,958132e5d49345041504b3cfe6d65584b8ae7143,java,unknown,11,java-ant,"",false,,,,,,,,,"",,
538839768,538839769,105,7855ef71b8ad048d47d7693eee39ad7313905498,java,ok,13,java-ant,"",false,,,,,,,,,"",,
538839768,538839770,105,7855ef71b8ad048d47d7693eee39ad7313905498,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
539438562,539438563,106,00e94e8b1d24a9f3c81982884e5b599a02437892,java,ok,10,java-ant,"",false,,,,,,,,,"",,
539438562,539438564,106,00e94e8b1d24a9f3c81982884e5b599a02437892,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
540941944,540941945,107,1ca29361920458fa6f014ad09a97e66e38a8601d,java,ok,13,java-ant,"",false,,,,,,,,,"",,
540941944,540941946,107,1ca29361920458fa6f014ad09a97e66e38a8601d,java,unknown,13,java-ant,"",false,,,,,,,,,"",,
541407559,541407560,108,27e33ca01f14260c2ee0b6b731fa590087b2726f,java,ok,14,java-ant,"",false,,,,,,,,,"",,
541407559,541407561,108,27e33ca01f14260c2ee0b6b731fa590087b2726f,java,unknown,17,java-ant,"",false,,,,,,,,,"",,
541470111,541470112,109,3aa1a4765f59b31a196ffc169e143a6695dfee26,java,ok,10,java-ant,"",false,,,,,,,,,"",,
541470111,541470113,109,3aa1a4765f59b31a196ffc169e143a6695dfee26,java,unknown,13,java-ant,"",false,,,,,,,,,"",,
502823878,502823881,10,8cfd8f180a71b681804d275fef4fa29c776fe8db,java,ok,40,java-ant,"",false,,,,,,,,,"",,
502823878,502823882,10,8cfd8f180a71b681804d275fef4fa29c776fe8db,java,unknown,14,java-ant,"",false,,,,,,,,,"",,
541489216,541489217,110,aaae737efd5c4bb87a3e6286d3473d99b294c13c,java,ok,10,java-ant,"",false,,,,,,,,,"",,
541489216,541489218,110,aaae737efd5c4bb87a3e6286d3473d99b294c13c,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
541930765,541930766,111,82334dc63b3604db6204f14988080ab6a4859799,java,ok,14,java-ant,"",false,,,,,,,,,"",,
541930765,541930767,111,82334dc63b3604db6204f14988080ab6a4859799,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
541977442,541977443,112,9d4c9168ad54828dcda68e3eb40df4e87b2f016f,java,ok,13,java-ant,"",false,,,,,,,,,"",,
541977442,541977444,112,9d4c9168ad54828dcda68e3eb40df4e87b2f016f,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
542522974,542522975,113,79186c785b8dbb405e99777af690161a376226e9,java,ok,10,java-ant,"",false,,,,,,,,,"",,
542522974,542522976,113,79186c785b8dbb405e99777af690161a376226e9,java,unknown,13,java-ant,"",false,,,,,,,,,"",,
542600084,542600085,114,29f2eb8570d5274959d606647284cc3558790a40,java,ok,9,java-ant,"",false,,,,,,,,,"",,
542600084,542600086,114,29f2eb8570d5274959d606647284cc3558790a40,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
542604698,542604699,115,3d812547651b23ef0fb580f0747522138d2bbf69,java,ok,10,java-ant,"",false,,,,,,,,,"",,
542604698,542604700,115,3d812547651b23ef0fb580f0747522138d2bbf69,java,unknown,11,java-ant,"",false,,,,,,,,,"",,
542816773,542816774,116,4137532e333e3ecc3bfaf21a57207b05c396aa96,java,ok,9,java-ant,"",false,,,,,,,,,"",,
542816773,542816775,116,4137532e333e3ecc3bfaf21a57207b05c396aa96,java,unknown,13,java-ant,"",false,,,,,,,,,"",,
542874172,542874173,117,480e24b19f9eafb2be56fb42a297bc68576c008b,java,ok,16,java-ant,"",false,,,,,,,,,"",,
542874172,542874174,117,480e24b19f9eafb2be56fb42a297bc68576c008b,java,unknown,13,java-ant,"",false,,,,,,,,,"",,
543523983,543523984,118,0bc30da04eafaaac8d062930845bceb85c6425d7,java,ok,10,java-ant,"",false,,,,,,,,,"",,
543523983,543523985,118,0bc30da04eafaaac8d062930845bceb85c6425d7,java,unknown,11,java-ant,"",false,,,,,,,,,"",,
543829097,543829098,119,87d0d13bf2c06b3a716b202b150a849e02bd0f89,java,ok,14,java-ant,"",false,,,,,,,,,"",,
543829097,543829099,119,87d0d13bf2c06b3a716b202b150a849e02bd0f89,java,unknown,18,java-ant,"",false,,,,,,,,,"",,
502833368,502833369,11,e857104b76823d411411af68c8a549a640ec4f05,java,ok,13,java-ant,"",false,,,,,,,,,"",,
502833368,502833370,11,e857104b76823d411411af68c8a549a640ec4f05,unknown,unknown,,plain,"",false,,,,,,,,,"",,
543969892,543969893,120,5b0583c501d3a99333926533c3fd1585bc6ce08b,java,ok,19,java-ant,"",false,,,,,,,,,"",,
543969892,543969894,120,5b0583c501d3a99333926533c3fd1585bc6ce08b,java,unknown,14,java-ant,"",false,,,,,,,,,"",,
544508191,544508192,121,4d67fb4915356e474b10da90305785c9cbfdb25d,java,ok,290,java-ant,"",false,,,,,,,,,"",,
544508191,544508193,121,4d67fb4915356e474b10da90305785c9cbfdb25d,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
545065867,545065868,122,e8b6b9c40d2d251d65fc7333c6117b0b785b7d7c,java,ok,12,java-ant,"",false,,,,,,,,,"",,
545065867,545065869,122,e8b6b9c40d2d251d65fc7333c6117b0b785b7d7c,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
545573747,545573748,123,a4cd54af9dcd6300b57f8830180e117fad4a48d9,java,ok,10,java-ant,"",false,,,,,,,,,"",,
545573747,545573749,123,a4cd54af9dcd6300b57f8830180e117fad4a48d9,java,unknown,12,java-ant,"",false,,,,,,,,,"",,
546655069,546655070,124,58830c911e16a17aa95b0e340d728cb212c8fb43,java,ok,13,java-ant,"",false,,,,,,,,,"",,
