build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
750141285,327977082135db0f993149d962df404b23a2728f,,github_actions,failed,4390,2020-12-17 02:02:54 UTC,750141286,750141287,push
750141070,4681dda4520841856239479ba7b79a6472446aaa,,github_actions,errored,4705,2020-12-17 01:59:08 UTC,750141071,750141072,push
750140667,a77ae7b777678664d98d11c7eb5ce2a920f56ee0,,github_actions,errored,5149,2020-12-17 01:55:09 UTC,750140668,750140669,push
750140321,d6093aa471a8849e4f8b67f173b5a7c464378fbe,,github_actions,errored,4901,2020-12-17 01:50:40 UTC,750140322,750140323,push
750140065,6c2606e76311617e796abae912626bccc00c3730,,github_actions,errored,4873,2020-12-17 01:48:18 UTC,750140066,750140067,push
750139834,2d91f7cd868f22861ee8512f1655dfd53032f289,,github_actions,errored,5447,2020-12-17 01:44:50 UTC,750139835,750139836,push
750130435,5d0086809936c038537957d67485939cc2148e99,,master,errored,5021,2020-12-17 00:33:32 UTC,750130436,750130437,push
749979985,4a7dd7b44dd1d5ee9d104ca01a057a91c48bfb61,,master,errored,5332,2020-12-16 08:36:12 UTC,749979986,749979987,push
749966085,9980fab1edde9b204537080677286d8ce495b4c0,,github_actions,failed,4300,2020-12-16 06:19:25 UTC,749966086,749966087,push
749965465,9f36972e573b05484554c674ccae241664162e19,,github_actions,errored,5123,2020-12-16 06:13:27 UTC,749965466,749965467,push
749964500,56457c4620aa3be2bb18b2003ed30b1d06bc589f,,github_actions,errored,5012,2020-12-16 06:05:48 UTC,749964501,749964502,push
749963017,b8ea62e12b66add2d68747187f3a1c314970929a,,github_actions,errored,4998,2020-12-16 05:56:20 UTC,749963019,749963020,push
749943852,5d3131cb86f6cdf7aaff2991168fba226204ae50,,master,failed,4461,2020-12-16 03:18:08 UTC,749943853,749943854,push
749942260,e56e333b2cb795aeddbd2c575893434c30f86329,,github_actions,failed,4386,2020-12-16 02:49:12 UTC,749942261,749942262,push
749942003,739f39dc43f073f7e1d2bdfe1bdabc818204528d,,github_actions,errored,4946,2020-12-16 02:46:47 UTC,749942004,749942005,push
749941882,04a9f4a8021adb4356cbaa6db4273f8877034e9f,,github_actions,errored,5174,2020-12-16 02:45:20 UTC,749941883,749941884,push
749941370,5a52c09610f9474ca98565f0e4aa090f6d3798e1,,github_actions,errored,5141,2020-12-16 02:41:00 UTC,749941371,749941372,push
749941030,52f93cae80983550f69e0d684d3db93ad0bf08e9,,github_actions,errored,5309,2020-12-16 02:39:13 UTC,749941031,749941032,push
749931360,58275400d6b50f08dfe15f721980c90dee62b353,118,master,errored,5735,2020-12-16 01:10:58 UTC,749931361,749931362,pull_request
749931357,7f68cd16702c9eb0a4100dd9f9f404ca38840f09,,jDramaix-patch-1,errored,5144,2020-12-16 01:10:56 UTC,749931358,749931359,push
749931235,0d12e54a86e29e05a77c325a248add579b966d42,118,master,errored,5108,2020-12-16 01:09:52 UTC,749931236,749931237,pull_request
749931224,f4d5ccb6b80ce0e26b6b7d60e34a5cd64b317b8d,,jDramaix-patch-1,errored,5044,2020-12-16 01:09:43 UTC,749931225,749931226,push
749919412,698c667d0d606b20fb79338cfbfdbbaf2885bd28,,master,errored,4926,2020-12-15 23:42:15 UTC,749919413,749919414,push
749905318,f259d6545f10b8b3ddb67c9e57cdd2c826c2a7d7,,master,failed,4508,2020-12-15 22:01:26 UTC,749905319,749905320,push
749892777,34806cb530e7842f1f271266244b8d5e36b42352,,master,errored,3362,2020-12-15 20:43:39 UTC,749892779,749892781,push
749881068,aad4e2160b1d26466ab8ad8668d8814d2e59cece,,master,errored,5108,2020-12-15 19:26:01 UTC,749881069,749881070,push
749864545,ebe2df93dc365f2172b1cc49001c4836ae52702c,,master,errored,5791,2020-12-15 17:41:38 UTC,749864546,749864547,push
749861806,581d916a75fd490dc61d1fc8e0148063df2e346a,,master,errored,5240,2020-12-15 17:21:25 UTC,749861807,749861808,api
749770125,581d916a75fd490dc61d1fc8e0148063df2e346a,,master,errored,4989,2020-12-15 07:34:54 UTC,749770126,749770127,push
749744314,b0a6e59d4bf049f921962a7547a89ec1ed9f92e8,,master,failed,2444,2020-12-15 03:28:07 UTC,749744315,749744316,api
749731545,b0a6e59d4bf049f921962a7547a89ec1ed9f92e8,,master,failed,4397,2020-12-15 01:15:05 UTC,749731546,749731547,push
749200473,2ad6ca2d23ef92cdf6546ae7ab5ecebcdc965a43,,master,errored,5335,2020-12-14 23:51:52 UTC,749200474,749200475,push
749176183,1eb5b979ecf813f188f8a5b51ed3ad3c060809d7,,master,errored,4774,2020-12-11 23:42:22 UTC,749176184,749176185,push
