build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
631475189,2fa0b4b422409c7449de2c2a700ab4e7c9c62d9d,,dns-server,passed,193,2020-01-01 03:36:59 UTC,631475190,push
618455021,b52eed7268d7264aff23039e8e9f349bf3bd035c,,dns-server,passed,251,2019-11-29 05:32:02 UTC,618455022,push
618158245,376783efa4b29674b418b2fbb60b58f6353d3cde,,dns-server,passed,221,2019-11-28 11:50:12 UTC,618158246,push
618151131,47153b0656a6d2745c1df807a270ad2f169992e6,,dns-server,passed,245,2019-11-28 11:30:44 UTC,618151132,push
618008529,03cfd1d2ace4411971cda043d58ad6527090842f,,dns-server,passed,251,2019-11-28 02:55:43 UTC,618008530,push
618002268,2d5db87587b208278f5ef51c215232cd9f98610d,,dns-server,passed,244,2019-11-28 02:26:46 UTC,618002269,push
617066125,9285afe3b4f906e62f1b1947aca839c3d0229f3a,,dns-server,passed,219,2019-11-26 07:04:34 UTC,617066126,push
617050031,d74991618e525c53ca332dea8bf7932d712c062c,,dns-server,passed,220,2019-11-26 05:55:35 UTC,617050032,push
616542521,96478a55f0942574d6d83d5749ccc3b9245e4ea3,,dns-server,passed,210,2019-11-25 07:20:34 UTC,616542522,push
615382954,a49d99ee5a2150b7f2a69e4bfb6e01bcdc77ddaf,,dns-server,passed,225,2019-11-22 04:27:28 UTC,615382955,push
614366204,2067ef5d07daf3209e51186f8319206e82480c42,,master,passed,223,2019-11-20 05:22:39 UTC,614366205,push
613322165,417408105abe331e73c803e6b9fae338d7db4627,,v1.14.2,passed,235,2019-11-18 04:18:31 UTC,613322166,push
613320885,417408105abe331e73c803e6b9fae338d7db4627,,master,passed,215,2019-11-18 04:12:56 UTC,613320886,push
613286299,e2cea48c549710b8e3f20217f7fea7a78216cc67,,master,passed,225,2019-11-18 02:00:33 UTC,613286300,push
613285900,76904b9e291460499f6880989db5738573e025d7,,master,passed,219,2019-11-18 01:59:30 UTC,613285901,push
613281901,92a0abc64e57e253781ad8872650895ff7433acb,,master,passed,211,2019-11-18 01:41:53 UTC,613281902,push
601867395,1bc68d0c898e4c4467c69fd7ee1642e76d6b8bb8,,master,passed,209,2019-10-23 14:56:00 UTC,601867396,push
601787827,cb08d9ddeb74b2fdcaf4c9edf4f5e5fd455e3b61,,master,passed,236,2019-10-23 12:13:50 UTC,601787828,push
601686206,000706a2aeff920cd6ba9008bc467a5b9b2f0c5f,,master,passed,205,2019-10-23 07:49:11 UTC,601686207,push
601662387,a2d92d49aa20d0c994b76be4ab8269e3a9a0f05b,,master,passed,214,2019-10-23 06:34:45 UTC,601662388,push
601642822,c95b87b5a807fa79d64d0db22dffbeab850ed4d2,,master,passed,212,2019-10-23 05:35:54 UTC,601642823,push
601629988,b5d194236851a4c33f1ea61da3604da78a5bbd83,,master,passed,211,2019-10-23 04:35:18 UTC,601629989,push
601198350,37fa7963030de9119a849163cb4f36f2dd0f3143,,master,passed,219,2019-10-22 10:11:47 UTC,601198351,push
596014702,77c7ce21351e09db9988bd7b6c1f047bfced0f5f,,master,passed,212,2019-10-10 09:20:01 UTC,596014703,push
595915966,99cc306ded4e3e98bc9cb4ecdc38930c8d2ce863,,master,passed,353,2019-10-10 02:59:53 UTC,595915967,push
595906890,d207a416356df056bbd98ee6b3b84ead8233bc1c,,master,passed,209,2019-10-10 02:15:25 UTC,595906891,push
585369569,b7c4ff98500594616ef946b4dc057a19b5e524ed,,master,passed,226,2019-09-16 01:34:47 UTC,585369570,push
559405432,7232206618cbcd2374dbaf7f2ba8c3af50d203ba,,v1.14.1,passed,191,2019-07-16 11:49:01 UTC,559405433,push
559404091,7232206618cbcd2374dbaf7f2ba8c3af50d203ba,,master,passed,191,2019-07-16 11:45:02 UTC,559404092,push
559398247,4e0ee9a96613757d243e4aca837e5b5b13018052,,master,passed,192,2019-07-16 11:31:21 UTC,559398248,push
559396573,9fcb707061a197f623a3f435c9dfe7d0626c0485,,master,passed,196,2019-07-16 11:27:10 UTC,559396574,push
558870034,d50d3d14602b7af9a0053c315df9fb7e91b1d849,,master,passed,193,2019-07-15 11:06:05 UTC,558870035,push
558842090,70be7128d04c840d840f5fcd01f2f56f8e0842c9,,master,passed,186,2019-07-15 09:43:56 UTC,558842091,push
558825682,0779b1c0c0ecda1beac1f644cb32dbc93861da8d,,master,failed,138,2019-07-15 08:58:25 UTC,558825683,push
558815715,679486e9acea631b2fcd5f9767ed31b00f727643,,master,passed,185,2019-07-15 08:31:16 UTC,558815716,push
558713458,3fc25ed2feb8371f10131f932a014da28efc4e77,,master,passed,213,2019-07-15 01:54:17 UTC,558713459,push
558712845,d9712a353e0a55ce3786871816f51309efe9cab5,,master,passed,213,2019-07-15 01:48:10 UTC,558712846,push
558570278,f2343bd333fa2b76e85718947bcabc80d3817484,,master,passed,222,2019-07-14 15:32:02 UTC,558570279,push
558570098,33b1ba7ee4ac26895c02b52cb85f6f0696cc92e6,,without-google,passed,202,2019-07-14 15:30:17 UTC,558570099,push
558541928,16744dd75deec3e2491f7e3e5f3ea64308da155a,,master,passed,209,2019-07-14 14:06:32 UTC,558541929,push
