tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
589746587,589746588,1200,299c395c96a1f7fce0c34d63724bac13bd7fd338,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589746660,589746661,1201,7c83575aa229bfac2bbffa265830495295f1a6d0,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589747399,589747400,1202,d32a3eada491eb77a224eace0b92725f57268fbe,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589747624,589747625,1203,982dae16d6f4f14277cedfdcacee5489d5ea4807,unknown,unknown,,plain,"",false,,,,,,,,,"",,
589747670,589747671,1204,b27193b0a1d219f259e9d322b4cbe6405b3ea27d,unknown,unknown,,plain,"",false,,,,,,,,,"",,
589747715,589747716,1205,f1b7b80a2175b5fdb77eb703c8da427c3e7fb424,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589747889,589747890,1206,f9882bea82198331673092e731d207da777bc4fe,unknown,unknown,,plain,"",false,,,,,,,,,"",,
589747910,589747911,1207,13874ce7f1316d3955eda365804d8844afdb1cd0,unknown,unknown,,plain,"",false,,,,,,,,,"",,
589748026,589748027,1208,ff5269654eecb56d50dc71cf0013b6abd9b18d5b,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589749496,589749497,1209,4af9cd9622044c6b97af4e92a53ce39534631cce,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589798579,589798580,1210,dfb5817ee837e551e0c117b8cbd87da7eae976ad,java,unknown,,java-ant,"",false,,,,,,,,,"",,
589798808,589798809,1211,dfb5817ee837e551e0c117b8cbd87da7eae976ad,java,unknown,,java-ant,"",false,,,,,,,,,"",,
653587001,653587002,1212,369dcb7e94902f85894359b91b471d73b8221d35,java,unknown,,java-ant,"",false,,,,,,,,,"",,
665482497,665482498,1213,2bcfe9cc1faf475f673bfaae4c3963b79a861db1,unknown,unknown,,plain,"",false,,,,,,,,,"",,
665482559,665482560,1214,942c419a0925c1251b9350e6a0bba7b4aa34c0a7,java,unknown,,java-ant,"",false,,,,,,,,,"",,
665482695,665482696,1215,d2a7c9b3af8f5cb2c22126fb3536845fd838c306,unknown,unknown,,plain,"",false,,,,,,,,,"",,
665482734,665482735,1216,1f69dff2ec9d9e5b40e8fd4534c865030a62894f,unknown,unknown,,plain,"",false,,,,,,,,,"",,
665482777,665482778,1217,0f5e5d3accf25cde3768532bedb6d547829f50cf,java,unknown,,java-ant,"",false,,,,,,,,,"",,
665482965,665482966,1218,e72f698c08e16983f023c74e2de6fd7dd908ea16,unknown,unknown,,plain,"",false,,,,,,,,,"",,
665483133,665483134,1219,12b2e95e78b2073f02fcb823653af488003a78e6,java,unknown,,java-ant,"",false,,,,,,,,,"",,
665484664,665484665,1220,c6901c69c5a4af530a8c0557b803d4915143c728,java,unknown,,java-ant,"",false,,,,,,,,,"",,
665484876,665484877,1221,93aae92d88c49678f4fba0630878e5f8724f52d8,java,unknown,,java-ant,"",false,,,,,,,,,"",,
665485974,665485975,1222,c7b211d0d97b0f3c9ced802d1bba360f015012fd,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
665488149,665488151,1223,7fefcdd4aff312bbd3eb6fad638472f942cac77a,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
665488768,665488769,1224,14c7dda8fd673c3c9b6597ee9ad630ed963a9bb3,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
665489782,665489783,1225,118d856b53bd6aaf1e085304ffe835b7fc7aebf7,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
665812398,665812399,1226,1eff31a2b51e3c7314ec7bbb17376427343b8d7b,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
735159491,735159492,1227,74411730ae26558d89e7c23a240fb0fd8fdf8052,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
758131344,758131345,1228,cbbe8bdf9a93f714d19076cb6c3eac384fe4e41c,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
