build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
698227613,d70a84fbb941df8911386e309891541e5a590910,,main,passed,287,2020-06-14 15:03:05 UTC,698227614,push
696451312,905160260fdb11c9cd1a54dd116318686ad5992a,507,master,failed,168,2020-06-09 13:15:43 UTC,696451315,pull_request
634314822,74c9da62214abe49fa1f8213021f87bf421e4d79,457,develop,passed,356,2020-01-18 19:58:00 UTC,634314823,pull_request
634314784,fb3578e0f829ca477573eb8c7606a64cfe76b17e,,feature/aboutlibs_next_gen,passed,363,2020-01-18 19:58:17 UTC,634314785,push
634314699,fb3578e0f829ca477573eb8c7606a64cfe76b17e,,v8.0.0-b02,failed,145,2020-01-08 16:20:32 UTC,634314700,push
634300679,4f741d03db3fa423f496df7c3fff693df1918966,457,develop,failed,397,2020-01-08 15:51:52 UTC,634300680,pull_request
634300668,d458cc5acce9aadea2e145f6c1202ff53bcc1fe1,,feature/aboutlibs_next_gen,failed,324,2020-01-08 15:51:35 UTC,634300669,push
634187179,c8e22b47edecda8a82f840eb95a42d397a2d1069,457,develop,failed,324,2020-01-08 11:08:25 UTC,634187180,pull_request
634187166,31a4aa4da563decc2800100acb3f1edfbcf3bef4,,feature/aboutlibs_next_gen,failed,314,2020-01-08 11:08:45 UTC,634187167,push
634186325,a2206d458fdc92e9634c5b6e0c8acea3ea54fe2c,457,develop,failed,296,2020-01-08 11:06:25 UTC,634186326,pull_request
634186317,82704c43bd0434407923c3bdedf5237da9a5423c,,feature/aboutlibs_next_gen,failed,324,2020-01-08 11:06:24 UTC,634186318,push
634185654,4b128d2976cb05cdee009cd9dafd879cfd06888f,457,develop,failed,215,2020-01-08 11:04:22 UTC,634185655,pull_request
634185648,ab2fdb5f503b7f691736d1407101d67c15327bfe,,feature/aboutlibs_next_gen,failed,237,2020-01-08 11:04:21 UTC,634185649,push
634181253,284a4e3dd34e47aaf9d71bade1c9efa591ce3216,,v8.0.0-b01,passed,382,2020-01-08 10:52:29 UTC,634181254,push
634180824,4e17d1e1feb166322a03cc2ebf4217987c9b5aa8,457,develop,passed,367,2020-01-08 10:51:24 UTC,634180825,pull_request
634180811,284a4e3dd34e47aaf9d71bade1c9efa591ce3216,,feature/aboutlibs_next_gen,passed,387,2020-01-08 10:51:21 UTC,634180812,push
633866883,e1a1e55064f1ccee4f4d084c85c1bed9ceeeb208,457,develop,passed,352,2020-01-07 17:10:43 UTC,633866884,pull_request
633866839,024778e000f4ccdc5b50a0f9af00508908208544,,feature/aboutlibs_next_gen,passed,370,2020-01-07 17:10:43 UTC,633866840,push
633866287,024778e000f4ccdc5b50a0f9af00508908208544,,v8.0.0-a08,failed,164,2020-01-07 17:09:05 UTC,633866288,push
633856195,2547e23f209603f3546707cf152fa1fe4730f779,457,develop,failed,185,2020-01-07 16:46:14 UTC,633856196,pull_request
633856169,83a6df7fde608498e86b9e59c791209730f92c65,,feature/aboutlibs_next_gen,failed,185,2020-01-07 16:46:19 UTC,633856170,push
633853805,a813481c44c4c2f01deac86eefeb39e08a1a5255,,v8.0.0-a07,failed,155,2020-01-07 16:40:56 UTC,633853806,push
633853596,69efdc22c85b32ad8a42b9e1a1eaf3815c14f5bd,457,develop,failed,178,2020-01-07 16:40:45 UTC,633853597,pull_request
633853570,a813481c44c4c2f01deac86eefeb39e08a1a5255,,feature/aboutlibs_next_gen,failed,187,2020-01-07 16:40:41 UTC,633853571,push
633852538,1bcf0d2d7f2e5385b54079b3ba05947924e33819,457,develop,passed,294,2020-01-07 16:38:14 UTC,633852539,pull_request
633852529,cbf722137d2b0a3394b593710dba3ac6389576da,,feature/aboutlibs_next_gen,passed,316,2020-01-07 16:38:14 UTC,633852530,push
633836587,09123f0a9e6f4ac0a33ff99f6a37d504f1863a8c,457,develop,passed,317,2020-01-07 16:03:11 UTC,633836588,pull_request
633836562,783860926488e6c62c44ed089f684ef6c7203a1d,,feature/aboutlibs_next_gen,passed,315,2020-01-07 16:02:48 UTC,633836563,push
