build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
359284637,a4829f8643bcd6b22eae1bd625a4bc7597b052d7,,master,failed,110,2018-03-28 09:51:32 UTC,359284638,push
359257393,7bb2431e34b30b738a4143158ce96342c9ec00de,,master,failed,97,2018-03-28 08:28:35 UTC,359257394,push
359254821,b07ccfc8fde18014b3b0bec43288139345348477,,master,failed,113,2018-03-28 08:20:02 UTC,359254822,push
359252948,d4cd01884431c77a1384659bc69b64ed7ed9fe95,,master,failed,96,2018-03-28 08:13:27 UTC,359252949,push
359252795,fd2b7cec0825dc05a35d7bcd7761f15f4e591da4,,master,canceled,0,,359252797,push
244219963,77fd89266570f68f5e02230b692ace0daf7453e7,,master,failed,238,2017-06-18 13:48:35 UTC,244219964,push
213725881,d3224e9e3f374e2f4bbbaacd4be334f8c81e6944,,master,failed,109,2017-03-22 07:14:42 UTC,213725882,push
204082977,145d0c8a54e3cc61ee389a1a719557e178746aff,,master,failed,106,2017-02-22 06:12:56 UTC,204082978,push
204082143,61ab7ef6757ff03a70a582b5c5655f5a22ddd165,,master,failed,128,2017-02-22 06:09:09 UTC,204082144,push
193729229,fc67baacc60a9c1ca0f94e98e15d18eda3c55001,,master,failed,112,2017-01-20 12:53:26 UTC,193729230,push
193316482,6c744831b74b876c19d7753c30d4587a07e82f11,,master,failed,98,2017-01-19 09:06:16 UTC,193316483,push
186268694,d3720097a8a86ee386f0335a21223cb810387cc0,,master,failed,119,2016-12-23 06:03:21 UTC,186268695,push
175960212,9847511d715024326ab8a092a60a672c0911bee3,,master,failed,83,2016-11-15 06:37:44 UTC,175960213,push
167262287,04d6d7779586648215597554db15f9ca44b00bf7,,master,failed,111,2016-10-13 06:18:58 UTC,167262288,push
162986739,f96c243bbadc86726abe502ddf066c7b3a2a24fe,,master,failed,100,2016-09-27 04:21:47 UTC,162986740,push
162986235,98cfb43f3a1905c02b1a1f0cab20788d8cbe5f47,,master,failed,93,2016-09-27 04:17:11 UTC,162986236,push
162975128,e6f375e2ef4c8da5bd65e19b09f4f8319699efef,,master,failed,88,2016-09-27 02:31:43 UTC,162975129,push
154637743,b0ac601acafc3e91a4c385bdc3ee9741558c85f7,,master,failed,123,2016-08-24 03:02:28 UTC,154637744,push
154445928,19f9f2b70d202779291acccda0a8855f2f961dda,,master,passed,182,2016-08-23 13:01:31 UTC,154445929,push
149061509,a08d0571e3d9cfa734784a80107afd4f7fe3efce,,master,passed,230,2016-08-02 01:08:27 UTC,149061510,push
146876428,cbe09fee83105d15a8e6a2b49c26552d07d2abfd,,master,failed,105,2016-07-23 16:52:09 UTC,146876429,push
145300275,917d77d5c4635700b3d5c920bcaee5b2ec3139c6,,master,passed,162,2016-07-17 03:14:23 UTC,145300276,push
145299809,295ca4d42a4506a329d00d9effaee5440dddefed,,master,passed,180,2016-07-17 03:08:51 UTC,145299810,push
145298973,12c53c6e7428ef857bef0ced3dcc4da9f91de4e8,,master,failed,164,2016-07-17 03:03:00 UTC,145298974,push
145298526,0e99637b8eb1978d9160c1e2b1496a951166bf26,,master,failed,165,2016-07-17 02:50:21 UTC,145298527,push
145297979,79ac035f08730c1202f14839989c1de78633359f,,master,errored,23,2016-07-17 02:50:30 UTC,145297980,push
145296756,8a48d73dd79c7a70fe9576eb465e2850cdda99d6,,master,failed,98,2016-07-17 02:24:25 UTC,145296757,push
145296105,85305d0f813082fb8cc59d3860a12ce27a0d4e9b,,master,failed,70,2016-07-17 02:15:32 UTC,145296109,push
144656700,75089e693731f0e8f9184ee3d9f46e98c709cabc,,master,failed,58,2016-07-14 06:14:34 UTC,144656701,push
144654441,39788fff2be21dc073d77b07fd0f45373159c261,,master,failed,74,2016-07-14 05:50:29 UTC,144654442,push
138068774,967ef247fdc0ece36600cdda0d7767372352c936,,master,failed,65,2016-06-16 12:31:05 UTC,138068775,push
128662253,21a46449e3661e5f52664a1e90166410a69f36e5,,master,failed,101,2016-05-08 14:25:44 UTC,128662254,push
128636516,63dfa6fb27d0f9c53448fe5ce1801fadcd6b471b,,master,failed,57,2016-05-08 10:40:18 UTC,128636517,push
