tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
83876845,83876846,10,63257eb8de57b68068bf107a7095dca8128182da,android,ok,1,plain,"",false,,,,,,,,,"",,
83877615,83877616,11,5da267afc1d6ff944bae8b32d596f83df0d64ab7,android,ok,0,plain,"",false,,,,,,,,,"",,
86137315,86137316,12,b41c0714a45da0a98074410f11961e6a05f2268a,android,ok,1,plain,"",false,,,,,,,,,"",,
101549804,101549805,13,1c410813b938e5a81cb89612f2e3bc3564d1fa7c,android,broken,0,plain,"",false,,,,,,,,,"",,
109330553,109330554,14,b4248944e53ee58b7c021fec9db9d29b659c2f49,android,ok,0,plain,"",false,,,,,,,,,"",,
109566961,109566962,15,096693e632e94015da72a4d7dc207aec4a0776c2,android,broken,0,plain,"",false,,,,,,,,,"",,
109569236,109569237,16,2b109cd9d8e2d1fce4021ed84637bf475efdc494,android,ok,0,plain,"",false,,,,,,,,,"",,
109825605,109825606,17,2a3ad29ec08d0e75098247df3f0dddda7aeda3f5,android,ok,5,plain,"",false,,,,,,,,,"",,
113983012,113983013,18,785aeebaf6c16ba09c33e9b1934c4f9764798a6d,android,broken,0,plain,"",false,,,,,,,,,"",,
128128125,128128126,19,24697c3b383f5e8b2991e919a690fe64f4bee465,android,ok,0,plain,"",false,,,,,,,,,"",,
73756996,73756997,1,7a73cbf4bb30e128990efff796696c1f5c94fa53,android,ok,0,plain,"",false,,,,,,,,,"",,
138643898,138643899,20,eca97644f8128b30416204b34a6b029e781e0c7f,android,broken,0,plain,"",false,,,,,,,,,"",,
138645919,138645920,21,804fd50b05f975590008bb5880bc96316ef3f96d,android,broken,0,plain,"",false,,,,,,,,,"",,
138646314,138646315,22,96df364ba4a690a984519062c13d975fc9729c07,android,broken,0,plain,"",false,,,,,,,,,"",,
138648632,138648633,23,46693c5bfb8098ad28b34b30cc458f8adb0b0e00,android,broken,0,plain,"",false,,,,,,,,,"",,
138649499,138649500,24,1a72c8cef337b9389ef2904d562ea2e912831fb9,android,broken,0,plain,"",false,,,,,,,,,"",,
