build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
689282998,6214d439e09d973f2840fc9c8a86c33c510c9ded,,master,passed,239,2020-05-20 14:57:19 UTC,689282999,push
689280740,71ea754ca67f8bc760959413575cef0e8b2bbc6a,,4.0.0,passed,236,2020-05-20 14:50:42 UTC,689280741,push
689280503,71ea754ca67f8bc760959413575cef0e8b2bbc6a,,master,passed,231,2020-05-20 14:50:02 UTC,689280504,push
689278583,eaff06f3e85b78b597c3b1f808864b8af13595fd,55,master,passed,248,2020-05-20 14:44:39 UTC,689278584,pull_request
689278516,ec8c82c2aba94ec4c338103fd36e62f674386240,,android-x-support,passed,240,2020-05-20 14:44:30 UTC,689278517,push
689277263,fbd6cb17ec963a5e58ab6765e4120c79b1f6d3fa,55,master,failed,106,2020-05-20 14:40:57 UTC,689277264,pull_request
689277082,75c06c6b902e6c527f8e99d294fb30cea9f58460,,android-x-support,failed,116,2020-05-20 14:40:12 UTC,689277083,push
664146097,24331bfd8af93a8fab7c9f603acb7d790623372b,53,master,passed,228,2020-03-18 21:59:49 UTC,664146098,pull_request
613180975,27fb79dbbc798f60cb912742a01a12ca10d0a3d4,,master,passed,268,2019-11-17 19:21:16 UTC,613180977,push
613178412,1bb0f91d46c54ce24f468c4f71a03b965df687af,,3.5.0,passed,250,2019-11-17 19:11:07 UTC,613178413,push
613178181,1bb0f91d46c54ce24f468c4f71a03b965df687af,,master,passed,251,2019-11-17 19:10:15 UTC,613178182,push
613174145,5930e82cfd47b224699492a12e0436f9a5e6921f,,master,passed,255,2019-11-17 18:55:54 UTC,613174146,push
613156565,0d906dc3edb87a4b85dfe00bb62f9abe007c1c54,51,master,passed,263,2019-11-17 17:40:51 UTC,613156566,pull_request
613145921,38d3ca272becad35449e6925cac371bbfa2c97cb,51,master,passed,260,2019-11-17 16:58:30 UTC,613145922,pull_request
573374989,5239244f2b607d14b2730907aa62371f9cc1ff4e,51,master,passed,268,2019-08-18 10:25:04 UTC,573374990,pull_request
