tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
566907509,566907510,13001,ff5a0e7c22e1e4b6c7d499b699553fb3f4713850,java,unknown,,java-ant,"",false,,,,,,,,,"",,
567840800,567840801,13002,dbdab8bbfc81cc6e252382a253a4ecd33f9d1ce3,java,unknown,,java-ant,"",false,,,,,,,,,"",,
567914263,567914264,13003,487774dce5d7c609a9f407a0fec90eaf11d558bd,java,unknown,,java-ant,"",false,,,,,,,,,"",,
567914353,567914354,13004,5cd091b5fdb7e8c73cc137d0771d2158aebc9fc9,java,unknown,,java-ant,"",false,,,,,,,,,"",,
568224670,568224671,13005,34c62cc05919259cf75b925f88465638d1744b75,java,unknown,,java-ant,"",false,,,,,,,,,"",,
568224686,568224687,13006,34c62cc05919259cf75b925f88465638d1744b75,java,unknown,,java-ant,"",false,,,,,,,,,"",,
568224713,568224714,13007,c71b661d7949564152dc55d4a7a201d1d764ccad,java,unknown,,java-ant,"",false,,,,,,,,,"",,
568420273,568420274,13008,10a5cef4ef33e7c86d18e1f92793c2aaa57d5a82,java,unknown,,java-ant,"",false,,,,,,,,,"",,
593916645,593916646,13009,2a913e1cb34baf23f51b559c8932f6ca1cc9d781,java,unknown,,java-ant,"",false,,,,,,,,,"",,
621039050,621039051,13010,333cd001073e7e1a5e9d69e1bea2e26fcf9a61f7,java,unknown,,java-ant,"",false,,,,,,,,,"",,
621040028,621040029,13011,7a754e59f5a0f6f62f9552085ff0bb2390dc4b08,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
621040157,621040158,13012,fadd37efada635f33c72b78b5da3c652423e41d5,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
