tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
106309975,106309976,100,d250c98902b0419b04113d702f719263640748b5,android,ok,0,plain,"",false,,,,,,,,,"",,
106309977,106309978,101,0a4f6b88e2daa4c7e64b6f0a05d6adf69312d228,android,ok,1,plain,"",false,,,,,,,,,"",,
120211243,120211244,102,f524e8e803b372530429c94216655772f2ebe3f3,android,broken,0,plain,"",false,,,,,,,,,"",,
120211247,120211248,103,f524e8e803b372530429c94216655772f2ebe3f3,android,broken,0,plain,"",false,,,,,,,,,"",,
122141443,122141444,104,5324a9d2808aed07894044abc643bfe4fea3ad66,android,broken,1,plain,"",false,,,,,,,,,"",,
128607568,128607569,105,0f4c2d4c6926a9347e1d72053c0944d7e7cb7517,android,broken,0,plain,"",false,,,,,,,,,"",,
156119038,156119039,106,6505ac1262c4a68124bad2784f2179ad00975d84,android,broken,0,plain,"",false,,,,,,,,,"",,
156278755,156278756,107,ea7b45cef95fdc4125da5b43ee859a9a1ff03524,android,broken,1,plain,"",false,,,,,,,,,"",,
156278776,156278777,108,c968b99eb96ba56c47e29912c07841be8e2cf97a,android,broken,1,plain,"",false,,,,,,,,,"",,
156322616,156322617,109,2d10c441a9fd9da489f3d53a00fad49c4131c657,android,broken,0,plain,"",false,,,,,,,,,"",,
62313976,62313977,10,7756bbba8a5b8e8d1a1be68b77147589d60ca851,android,ok,0,plain,"",false,,,,,,,,,"",,
273393639,273393640,110,e5e26b2348cc07d9f37fb3089468bc6a5019f775,android,broken,1,plain,"",false,,,,,,,,,"",,
681113532,681113533,111,40055c74e93e0ea807ee9539e4d21fc97fb70152,android,broken,1,plain,"",false,,,,,,,,,"",,
681113571,681113572,112,4093f4132f3c42657772f2246ecbb7efa37821ba,android,broken,0,plain,"",false,,,,,,,,,"",,
681138153,681138154,113,732e2459f6a01afa7270a2798df43fd92b6ca4cf,android,broken,1,plain,"",false,,,,,,,,,"",,
62328884,62328885,11,18beafc611c2434bfbef1b51960044ed0946fd4b,android,ok,0,plain,"",false,,,,,,,,,"",,
62348431,62348432,12,edc43541f9a8190f105b1d20c1fd553f3d993b57,android,ok,0,plain,"",false,,,,,,,,,"",,
62396967,62396968,13,c689f9fc4f73a82d00ebc1a29dc1e84877884e41,android,ok,1,plain,"",false,,,,,,,,,"",,
63613502,63613504,14,345f2040f7a798301785f7787280990b833857ff,android,ok,0,plain,"",false,,,,,,,,,"",,
70458280,70458281,15,5c5657dbb6b857a759a803ba68ce6016c63c0fa7,android,ok,0,plain,"",false,,,,,,,,,"",,
70458412,70458413,16,650f8ffc0645f3f18d0735cdad112308ccbd9387,android,ok,0,plain,"",false,,,,,,,,,"",,
70462911,70462912,17,f71a5135f0add9a7fe1fe397f956467cf9a63860,android,ok,0,plain,"",false,,,,,,,,,"",,
70528035,70528036,18,0c6a8439d2e6deb40463d1e686583edef59b0b46,android,ok,1,plain,"",false,,,,,,,,,"",,
70528043,70528044,19,b5d1e02f26dc3a742cc2ea956210676cb153fc30,android,ok,0,plain,"",false,,,,,,,,,"",,
