build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
689355883,314c5cba8be069105e19a69e3202d0b8dbb88ff5,106,2.x,passed,197,2020-05-20 17:58:25 UTC,689355884,pull_request
689349289,a62954ed00d44ec3516c414a85191bee44b3fe36,106,2.x,failed,96,2020-05-20 17:43:42 UTC,689349290,pull_request
689347526,0944c3f056818e4c21cf4464e367bc598b66195e,106,2.x,failed,107,2020-05-20 17:37:45 UTC,689347527,pull_request
446215777,5a1111e8806a01f9f8375589c794eae52dca3f1f,,v2.1.0,passed,209,2018-10-25 14:57:14 UTC,446215778,push
446215553,5a1111e8806a01f9f8375589c794eae52dca3f1f,,2.x,passed,212,2018-10-25 14:56:10 UTC,446215554,push
446210691,610c5e5a5d68b1f0359019e7baa804c02c78a1cd,104,2.x,passed,208,2018-10-25 14:45:56 UTC,446210692,pull_request
446210497,ca31bede5232f16bca1fcd47ef451991dd327460,,dlew/prep-v2.1.0,passed,195,2018-10-25 14:45:22 UTC,446210498,push
446210354,a42138b994ff90b930fbec7fb256cb97640aa605,,dlew/prep-v2.1.0,canceled,0,,446210355,push
446210172,c09e6e7bd0d7c5d16e44cf2e5f10351bb2a093a4,,dlew/prep-v2.1.0,canceled,0,,446210173,push
446201987,c09e6e7bd0d7c5d16e44cf2e5f10351bb2a093a4,,2.x,passed,216,2018-10-25 14:28:32 UTC,446201989,push
446186065,0759f3a15ad2778626c3193da4a6947bbaa13f10,103,2.x,passed,210,2018-10-25 13:53:34 UTC,446186066,pull_request
446185927,716c421b7e759a3ec2a62358f3d90d069f13f5da,,dlew/androidx,passed,215,2018-10-25 13:53:20 UTC,446185928,push
446174260,97c71da7f4468b8042180ba744761542176cdebb,,2.x,passed,251,2018-10-25 13:27:17 UTC,446174261,push
446170435,c22c8548b2aa2fa14bb836787c97724984cd8673,102,2.x,passed,249,2018-10-25 13:19:06 UTC,446170436,pull_request
446169669,9e374d28d103c829c3c9a07774788e46522038c7,,dlew/dependencies,passed,254,2018-10-25 13:17:51 UTC,446169670,push
381330454,ca64b33a3d39e62a07b04e3a24c7406fb053ca2e,,v2.0.1,passed,240,2018-05-20 14:11:12 UTC,381330455,push
381330390,ca64b33a3d39e62a07b04e3a24c7406fb053ca2e,,2.x,passed,226,2018-05-20 14:10:47 UTC,381330391,push
381328764,664a8d2a5516e2715e06c8d2960d0b97b21fc3ff,100,2.x,passed,278,2018-05-20 14:01:20 UTC,381328765,pull_request
381328744,140b733e8d93a5905d2ac840f99e32dbd9847a5f,,dlew/prep-2.0.1,passed,249,2018-05-20 14:01:07 UTC,381328745,push
381328476,868ec88d34099cfc51e4e63e27d42e19bec60d6f,,2.x,passed,295,2018-05-20 14:00:05 UTC,381328477,push
381326762,fa330a7460714f203076c9212bb1ed107a9bd845,99,2.x,passed,234,2018-05-20 13:49:26 UTC,381326763,pull_request
381326752,1b23063a19bb33ad5a2dc0fc4c1ee1ecd6b1a468,,dlew/dependencies,passed,232,2018-05-20 13:49:27 UTC,381326753,push
381208213,1e0cb9a1dfc0fe33bc86e012311bd7b9895db3ad,99,2.x,passed,213,2018-05-20 00:06:43 UTC,381208214,pull_request
381208211,bcdf0d2aadd0de996295b2a40aaaff94ca3de112,,dlew/dependencies,passed,221,2018-05-20 00:06:41 UTC,381208212,push
381207467,a68dfa9b8e458a47d78b63eb35a74fc7b14b2964,99,2.x,failed,143,2018-05-20 00:02:58 UTC,381207468,pull_request
381207456,f75d5d249e697b3c6b6d38f17133752272617b54,,dlew/dependencies,failed,138,2018-05-20 00:02:23 UTC,381207457,push
381136730,6cd7a6a50b671e4330b007f00f55c6dac1e69397,99,2.x,passed,248,2018-05-19 18:21:08 UTC,381136731,pull_request
381136720,266645b26abcfdf6a520435edb1063cd72c05c5c,,dlew/dependencies,passed,267,2018-05-19 18:20:32 UTC,381136721,push
381134691,bfb9d40349518a48645569f5873699c5c11c3a9b,99,2.x,failed,120,2018-05-19 18:11:06 UTC,381134692,pull_request
381134671,9aff5a0d8299dd9e7f4fdb267feaba1505b896b0,,dlew/dependencies,failed,134,2018-05-19 18:10:55 UTC,381134672,push
380714974,16fbf65789453a83b3a149bb955c69276c2415ff,,2.x,passed,164,2018-05-18 14:14:39 UTC,380714975,push
380376960,d6653f1d97da16d84fdec8d144278a1640e27abc,98,2.x,passed,213,2018-05-17 19:24:17 UTC,380376961,pull_request
373632274,4992f68f301a8ccf517285d847774dcd98047790,,2.x,passed,224,2018-05-01 20:16:44 UTC,373632275,push
373632211,d6cbcdf3b17a47ead259b09501da39f5f26c1214,,2.x,canceled,0,,373632212,push
373006703,a5d0222f7ceb43ccf3910bc0ebefc41ab3b24848,96,2.x,passed,202,2018-04-30 12:14:33 UTC,373006704,pull_request
373006701,d26f5680193f6f3be32baded39b377bfeaa2fb87,97,2.x,passed,206,2018-04-30 12:14:30 UTC,373006702,pull_request
223647955,dac8871223a1db94dc276a893f9fadf062a16e73,,1.x,passed,406,2017-04-19 17:24:24 UTC,223647956,push
223636646,25d4146f7319a2663004d685c0a1b00d25201b06,94,1.x,passed,380,2017-04-19 16:55:14 UTC,223636647,pull_request
223636567,65c05d24c4ef1f922f06af9d3ae5edc2300caf39,,dlew/super,passed,476,2017-04-19 16:54:56 UTC,223636568,push
223636260,e2882196b97f58cd251f5ff14b07c1ab60816884,,2.x,passed,404,2017-04-19 16:53:59 UTC,223636261,push
223585301,3b55f04230e2c0e4d36137ce909aa984833b245e,,1.x,passed,483,2017-04-19 14:42:15 UTC,223585302,push
223584945,039014a6f24e7f18a93455863ad3f9097847b361,93,2.x,passed,483,2017-04-19 14:41:42 UTC,223584946,pull_request
223577756,332a3e202905e6647131816d07c26059f4ac0a37,92,1.x,passed,484,2017-04-19 14:24:30 UTC,223577757,pull_request
223577750,a9c7e2529ad091518628daf9eaf9c6263a0b5e20,,dlew/1.x-dependencies,passed,477,2017-04-19 14:24:27 UTC,223577751,push
223577686,332a3e202905e6647131816d07c26059f4ac0a37,92,1.x,passed,759,2017-04-19 14:24:26 UTC,223577687,pull_request
223577390,58f854b2070df9be96c797cdcdbb98cd5e5fa8fe,,dlew/1.x-dependencies,errored,25,2017-04-19 14:23:49 UTC,223577391,push
223575494,0ad00aef500ff2186b183ac468812877481a04a3,,2.x,passed,503,2017-04-19 14:19:45 UTC,223575495,push
223563156,4317616096263e06f434994269608f70698fa4f4,91,2.x,passed,483,2017-04-19 13:47:16 UTC,223563158,pull_request
223562980,4c610bcace5930b30ffb1315c750a2b241b97a67,,dlew/2.x-dependencies,passed,489,2017-04-19 13:46:54 UTC,223562981,push
187554282,8daaf1ce14a1a8a6e929087479dd9a8d776173e2,,1.x,passed,408,2016-12-29 20:55:17 UTC,187554283,push
187539074,ebfd8bc5965d6ecee068df24ac2ddfed4ce688ba,87,1.x,passed,416,2016-12-29 19:36:30 UTC,187539075,pull_request
187539028,bc6c3e88510a229708344cd3a815531d77d3846d,,dlew/2.x-info,passed,429,2016-12-29 19:35:53 UTC,187539029,push
177746574,945a3e17650e31940a93c7c28c532eae9a731671,,v2.0,passed,367,2016-11-21 19:00:16 UTC,177746575,push
177746436,945a3e17650e31940a93c7c28c532eae9a731671,,2.x,passed,430,2016-11-21 18:59:42 UTC,177746437,push
177743900,b624198cc1d838428c2fb73708500bbe051128af,85,2.x,passed,435,2016-11-21 18:48:48 UTC,177743901,pull_request
177743835,5f3025b0d64003135e6b90871c82eb5e21010701,,dlew/prep-2.0,passed,361,2016-11-21 18:48:29 UTC,177743836,push
174247364,37da48b66c2d28fc35c2d92f611138fe64d17c0a,,2.x,passed,523,2016-11-08 15:55:29 UTC,174247366,push
174233883,f32b312251b5c101eab3344155163798b65d17a7,83,2.x,passed,675,2016-11-08 15:10:14 UTC,174233884,pull_request
174233813,897174c7c4d3f7d583bc20dbcaabcd56469c3f59,,dlew/copyright,passed,544,2016-11-08 15:09:57 UTC,174233814,push
172708822,f137e35e15446e458d02e5a0647a7340a4054dd2,,2.x,passed,808,2016-11-02 18:20:42 UTC,172708823,push
172704436,9918581edb53abbc647ee978d2d0eb8eae6f1b3a,82,2.x,passed,514,2016-11-02 18:06:17 UTC,172704437,pull_request
172704366,6f06769e8ba988c2ae804082c5bc554c6cc3d759,,dlew/optimize-rx,passed,556,2016-11-02 18:05:59 UTC,172704367,push
172340283,d634523760d1aefed779b609c003670bdf768d39,,2.x,passed,650,2016-11-01 16:30:12 UTC,172340284,push
172335485,9ae09bdeec598b78a68362593a609980959ae00c,,2.x,passed,527,2016-11-01 16:14:28 UTC,172335486,push
172335470,9368ceca7c6a4b2dfbd503e6371a5ed10267181f,81,2.x,passed,569,2016-11-01 16:14:19 UTC,172335473,pull_request
172329478,f78ec22c9eb153e822ecdb2e6c17a8708958ef61,,2.x,passed,546,2016-11-01 15:56:55 UTC,172329480,push
172324278,2daf3beacc22b1fc9cba22fe588e8a5adcc3a102,80,2.x,passed,538,2016-11-01 15:40:34 UTC,172324280,pull_request
172324068,3297dfe5d56edb49877929dace45d15cfd2fa996,,dlew/simplify-emitter-listener,passed,525,2016-11-01 15:39:40 UTC,172324069,push
172321432,b850469999c64fb33bf4d2cfe2bcb7fec2723c92,,2.x,passed,498,2016-11-01 15:30:39 UTC,172321433,push
172316410,b9f390883325fd8cd05c2551f9008eb41c933ee8,79,2.x,passed,516,2016-11-01 15:14:26 UTC,172316411,pull_request
172316194,e999a4f90066f31e7ef46f651afb1547cbbdb9d9,,dlew/fix-compile-warnings,passed,490,2016-11-01 15:13:42 UTC,172316195,push
172314689,bdab65543bfa8e60e8c68cd42c677e9995a69a66,,2.x,passed,522,2016-11-01 15:08:24 UTC,172314691,push
172302814,a19567f3ee0cda407cf81538702074b9af21aea8,77,2.x,passed,493,2016-11-01 14:34:17 UTC,172302815,pull_request
172302804,89c3f811629578780b3c2086d75097bb58ac767f,,dlew/rxjava2,passed,552,2016-11-01 14:34:17 UTC,172302805,push
172300335,a9578d095baa6f7e820d3cc7568ee88272255933,,2.x,passed,499,2016-11-01 14:26:16 UTC,172300336,push
172300326,e6975156b50afa7779566c40afcfca377aa35728,77,2.x,passed,546,2016-11-01 14:26:12 UTC,172300327,pull_request
172300324,c8ebeffafcdd1fa118a2a73dcf059a6275f8f9ff,,dlew/rxjava2,passed,526,2016-11-01 14:26:11 UTC,172300325,push
172294051,5ec270fd2d4e3b7ef373393ada36571a6e29dbf1,77,2.x,passed,581,2016-11-01 14:07:33 UTC,172294052,pull_request
172294045,4dc6b9953dcc080cd602fbfbe27bfb874905401c,,dlew/rxjava2,passed,536,2016-11-01 14:07:31 UTC,172294046,push
172293810,786363b468159b88567c9bf98351b92f2647e7b3,78,2.x,passed,560,2016-11-01 14:06:36 UTC,172293811,pull_request
172293349,26611306facee9e2eed993285ec9a602d6aa222f,,dlew/annotation-processor,passed,522,2016-11-01 14:05:03 UTC,172293350,push
172287026,535a25f4c34783186bef162cf51d91519fd6ff73,77,2.x,passed,504,2016-11-01 13:44:40 UTC,172287027,pull_request
172286927,7a9d6d3fc44a91e670c05191abb3589b93992d09,,dlew/rxjava2,passed,911,2016-11-01 13:44:19 UTC,172286928,push
172107741,25429edcbe470a02cfe38756439e9a2be1bff56b,,2.x,passed,447,2016-10-31 20:28:47 UTC,172107742,push
172104076,b970d08a2fffc7e0d8135853a88f5df2f60b7ff8,76,2.x,passed,476,2016-10-31 20:16:28 UTC,172104078,pull_request
172103882,31ca99f0a58cc4c54861d949a5474c14fff9f4cd,,dlew/avoid-null,passed,572,2016-10-31 20:15:54 UTC,172103885,push
172098038,287fe90d1a76407ea17bd1200159cefcf9279650,,2.x,passed,721,2016-10-31 19:57:07 UTC,172098039,push
172093416,deb3ee9d8cc371b5f3438b405d10ac947e452f41,75,2.x,passed,586,2016-10-31 19:44:32 UTC,172093417,pull_request
172093380,381e44820466de81124ebaa41823a3f7603f01ad,,dlew/autovalue,passed,471,2016-10-31 19:44:21 UTC,172093381,push
172088656,ea86c14ef192799dfd1f013f1dfd673d73dfd9d8,,2.x,passed,524,2016-10-31 19:32:14 UTC,172088657,push
172079780,41bedf18070613e8542c412b7ef6a7260c1a8596,74,2.x,passed,583,2016-10-31 19:10:08 UTC,172079781,pull_request
172079736,66c8060607ee6e184bafc5837c6c8eefc5a564ed,,dlew/view-created-correction,passed,456,2016-10-31 19:10:00 UTC,172079737,push
172036644,af058d9825c5d41177659c13fff499989eaccf6d,,2.x,passed,505,2016-10-31 16:41:50 UTC,172036645,push
172028643,45048eb7d7c50da96285845b44aa5af6e09d8363,73,2.x,passed,508,2016-10-31 16:13:59 UTC,172028644,pull_request
