build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
753497363,494a5bb5c155d339a6114b5536808a3d4fa66d02,316,master,passed,202,2021-01-08 07:59:05 UTC,753497364,pull_request
687737599,68d6d5b58b6b787e4e4860dd7118d8a48e8f78d7,,master,passed,186,2020-05-16 10:22:07 UTC,687737600,push
685787868,4bfcdd5f1357ceeb971e2663b4b58629fc7bdade,308,master,passed,191,2020-05-11 18:27:54 UTC,685787869,pull_request
685784746,e351bb31c21d9c62c06e332c896fdcf33ad04dbd,308,master,failed,110,2020-05-11 18:19:53 UTC,685784747,pull_request
685724029,1209e1df0864e006ded97f83bf38a5e063231e06,307,master,passed,194,2020-05-11 15:51:33 UTC,685724030,pull_request
685094470,c116ec832b2c87bc3920a3dfd0f965139be35e5f,305,master,passed,207,2020-05-09 16:41:33 UTC,685094472,pull_request
684828509,da7d659d50fd18aeab236c91acd4eec66f706dce,305,master,passed,223,2020-05-08 19:52:39 UTC,684828510,pull_request
684822806,e30789caf80be1f20af7eeb8a633b2d480662361,305,master,failed,188,2020-05-08 19:39:00 UTC,684822807,pull_request
684808081,512eab60578fa78f7eb6b213a29a6ee2a642128d,305,master,failed,111,2020-05-08 19:04:14 UTC,684808082,pull_request
636756498,372e5a26b58212525390a09448be2239a134598a,,master,passed,213,2020-01-14 07:43:58 UTC,636756499,push
626303880,b8ef22c0be21e3bea1c3278db29ec1dc1a7cb04d,299,master,passed,242,2019-12-17 17:23:11 UTC,626303881,pull_request
625702081,e452ba65a8ca62ee2cc0171079e58483b4fdffde,,master,passed,243,2019-12-16 14:20:37 UTC,625702082,push
625693104,8911d28b109d68c36814454113ee8723e204c23b,276,master,passed,193,2019-12-16 14:09:41 UTC,625693105,pull_request
625120582,e4f57e7903a0b49c34dab5e5abfc5d4309bf5941,276,master,errored,16,2019-12-14 21:55:31 UTC,625120583,pull_request
625116108,714c68d5b3cd7eb51b55b36b9a1bc0bfb98780a9,276,master,errored,15,2019-12-14 21:37:59 UTC,625116109,pull_request
625107755,9bd7717abac6dd675e8517f7cec00c0e142ef635,276,master,errored,17,2019-12-14 21:03:20 UTC,625107756,pull_request
625106439,f7f3ab41da18e5ec1c08adc840e626a26a98d8f9,276,master,errored,16,2019-12-14 20:59:34 UTC,625106440,pull_request
584577462,8c3e33ddcbfdd769fc24893a1daf985e46eb13c1,,master,errored,16,2019-09-13 12:40:10 UTC,584577463,push
563022677,1bd19085b0e3dc9b59d0b37d6dab577fb633f874,281,master,passed,219,2019-07-24 11:01:59 UTC,563022678,pull_request
563022639,290f938a353b10a0fa3b80079014d90a75b86476,,issue-263,passed,225,2019-07-24 11:01:47 UTC,563022640,push
553635429,bce2f753a4087192bcb09a0c0e63c88190aa3819,276,master,passed,226,2019-07-03 07:52:50 UTC,553635430,pull_request
549664896,4040337f8b934e22483527498fb3a455ad2ac088,,master,passed,225,2019-06-24 10:16:05 UTC,549664897,push
549664605,d1eb0256123148f67af164c519d280fbdb09cf37,,master,passed,214,2019-06-24 10:15:05 UTC,549664606,push
549664403,e041844cb9c9114c7fd0eb864a08991e7231f32f,,master,passed,245,2019-06-24 10:14:20 UTC,549664404,push
542167292,4e38f10697943160f4cdaa1bf271d24eb5e3c678,,issue-269-refs,failed,145,2019-06-06 09:09:39 UTC,542167293,push
537741099,acb8f234a60c3d5561dff3dc122aee2859801a39,275,master,passed,249,2019-05-27 11:09:15 UTC,537741100,pull_request
537741027,17215e53da66926a783cc8960f02cf02996319f8,,bump-version,passed,241,2019-05-27 11:09:03 UTC,537741031,push
537735759,541782099244c9aaba2abfac37e26e52fc2720e5,273,master,passed,237,2019-05-27 10:54:04 UTC,537735760,pull_request
