tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
440104089,440104090,1037,0d5b622d37200b1bd7597a5356acfad2f355aa47,python,broken,3,python,"",false,,,,,,,,,"",,
440104089,440104091,1037,0d5b622d37200b1bd7597a5356acfad2f355aa47,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",218.6,
440104089,440104092,1037,0d5b622d37200b1bd7597a5356acfad2f355aa47,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",243.85,
440104089,440104093,1037,0d5b622d37200b1bd7597a5356acfad2f355aa47,generic,unknown,627,plain,"",false,,,,,,,,,"",,
440144374,440144375,1038,ee0c7d934aae8a1e41c70a383f44d31f7f5a0a83,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",247.31,
440144374,440144376,1038,ee0c7d934aae8a1e41c70a383f44d31f7f5a0a83,python,ok,2,python,pytest,true,false,1007,0,1007,31,,,,"",237.77,
440144374,440144377,1038,ee0c7d934aae8a1e41c70a383f44d31f7f5a0a83,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",237.59,
440144374,440144378,1038,ee0c7d934aae8a1e41c70a383f44d31f7f5a0a83,generic,unknown,1913,plain,"",false,,,,,,,,,"",,
441755876,441755877,1039,4a3f78e80502bd797afd23f1f14ce78965369123,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",310.02,
441755876,441755878,1039,4a3f78e80502bd797afd23f1f14ce78965369123,python,ok,2,python,pytest,true,false,1007,0,1007,31,,,,"",242.36,
441755876,441755879,1039,4a3f78e80502bd797afd23f1f14ce78965369123,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",202.97,
441755876,441755880,1039,4a3f78e80502bd797afd23f1f14ce78965369123,generic,unknown,352,plain,"",false,,,,,,,,,"",,
441756077,441756078,1040,4a3f78e80502bd797afd23f1f14ce78965369123,python,ok,0,python,pytest,true,false,1007,0,1007,31,,,,"",190.06,
441756077,441756079,1040,4a3f78e80502bd797afd23f1f14ce78965369123,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",258.43,
441756077,441756080,1040,4a3f78e80502bd797afd23f1f14ce78965369123,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",206.89,
441756077,441756081,1040,4a3f78e80502bd797afd23f1f14ce78965369123,generic,unknown,434,plain,"",false,,,,,,,,,"",,
442078996,442078997,1041,43800519e79f043cf55f196160a7cb58c8bd1690,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",285.2,
442078996,442078998,1041,43800519e79f043cf55f196160a7cb58c8bd1690,python,ok,0,python,pytest,true,false,1007,0,1007,31,,,,"",201.02,
442078996,442078999,1041,43800519e79f043cf55f196160a7cb58c8bd1690,python,ok,0,python,pytest,true,false,1007,0,1007,31,,,,"",161.47,
442078996,442079000,1041,43800519e79f043cf55f196160a7cb58c8bd1690,generic,unknown,355,plain,"",false,,,,,,,,,"",,
444372744,444372745,1042,3326310094efd00125ce19478399983b3583d6de,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",206.79,
444372744,444372746,1042,3326310094efd00125ce19478399983b3583d6de,python,ok,2,python,pytest,true,false,1007,0,1007,31,,,,"",217.1,
444372744,444372747,1042,3326310094efd00125ce19478399983b3583d6de,python,ok,1,python,pytest,true,false,1007,0,1007,31,,,,"",229.69,
444372744,444372748,1042,3326310094efd00125ce19478399983b3583d6de,generic,unknown,307,plain,"",false,,,,,,,,,"",,
444382608,444382609,1043,3a700901bf2508423f65d654f872cac99ce8f771,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",163.87,
444382608,444382610,1043,3a700901bf2508423f65d654f872cac99ce8f771,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",165.0,
444382608,444382611,1043,3a700901bf2508423f65d654f872cac99ce8f771,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",181.19,
444382608,444382612,1043,3a700901bf2508423f65d654f872cac99ce8f771,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",177.95,
444382608,444382613,1043,3a700901bf2508423f65d654f872cac99ce8f771,generic,unknown,301,plain,"",false,,,,,,,,,"",,
444388543,444388544,1044,6db5c2091cc3b8a5b1b77dc6fa141d2c44e01f8d,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",159.07,
444388543,444388545,1044,6db5c2091cc3b8a5b1b77dc6fa141d2c44e01f8d,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",162.27,
444388543,444388546,1044,6db5c2091cc3b8a5b1b77dc6fa141d2c44e01f8d,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",168.48,
444388543,444388547,1044,6db5c2091cc3b8a5b1b77dc6fa141d2c44e01f8d,python,ok,1,python,pytest,true,false,303,0,303,0,,,,"",189.77,
444388543,444388548,1044,6db5c2091cc3b8a5b1b77dc6fa141d2c44e01f8d,generic,unknown,302,plain,"",false,,,,,,,,,"",,
445126726,445126727,1045,47670dcede6bc822d289a2fcde0894448362e7d6,unknown,unknown,,plain,"",false,,,,,,,,,"",,
446680085,446680086,1046,4fe44104853fbafcbdd5edbd067035520515e8d3,python,broken,0,python,pytest,true,true,301,2,303,0,,,,FLAKE8-check#FLAKE8-check,177.22,
446680085,446680087,1046,4fe44104853fbafcbdd5edbd067035520515e8d3,python,broken,1,python,pytest,true,true,301,2,303,0,,,,FLAKE8-check#FLAKE8-check,183.16,
446680085,446680088,1046,4fe44104853fbafcbdd5edbd067035520515e8d3,python,broken,1,python,pytest,true,true,301,2,303,0,,,,FLAKE8-check#FLAKE8-check,159.5,
446680085,446680089,1046,4fe44104853fbafcbdd5edbd067035520515e8d3,python,broken,1,python,pytest,true,true,301,2,303,0,,,,FLAKE8-check#FLAKE8-check,197.43,
446680085,446680090,1046,4fe44104853fbafcbdd5edbd067035520515e8d3,unknown,unknown,,plain,"",false,,,,,,,,,"",,
446680161,446680162,1047,cdb5af097f98adc3b92564540539d6adc8073c93,python,broken,1,python,pytest,true,true,1003,4,1007,31,,,,FLAKE8-check#FLAKE8-check#FLAKE8-check#FLAKE8-check,224.38,
446680161,446680163,1047,cdb5af097f98adc3b92564540539d6adc8073c93,python,broken,0,python,pytest,true,true,1003,4,1007,31,,,,FLAKE8-check#FLAKE8-check#FLAKE8-check#FLAKE8-check,188.65,
446680161,446680164,1047,cdb5af097f98adc3b92564540539d6adc8073c93,python,broken,1,python,"",false,,,,,,,,,FLAKE8-check#FLAKE8-check#FLAKE8-check#FLAKE8-check,,
446680161,446680165,1047,cdb5af097f98adc3b92564540539d6adc8073c93,generic,unknown,338,plain,"",false,,,,,,,,,"",,
446687768,446687769,1048,8fb843556de512c66c4321b6cb53380554419a5d,python,broken,1,python,pytest,true,true,1004,3,1007,31,,,,FLAKE8-check#FLAKE8-check#FLAKE8-check,299.62,
446687768,446687770,1048,8fb843556de512c66c4321b6cb53380554419a5d,python,broken,1,python,pytest,true,true,1004,3,1007,31,,,,FLAKE8-check#FLAKE8-check#FLAKE8-check,187.82,
446687768,446687773,1048,8fb843556de512c66c4321b6cb53380554419a5d,python,broken,2,python,"",false,,,,,,,,,FLAKE8-check#FLAKE8-check#FLAKE8-check,,
