build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
739424501,0597196c97d9a58b307be008d887dfb3763fd70f,113,master,failed,80,2020-10-28 07:22:36 UTC,739424502,739424503,pull_request
739424489,0ce7acc9274a73cf342a2536013aecde53d366be,,dependabot/pip/cryptography-3.2,failed,77,2020-10-28 07:14:29 UTC,739424491,739424493,push
727762658,541c2e79d56357076ea8730b8af806885e98b13c,112,master,passed,88,2020-09-16 16:24:51 UTC,727762659,727762660,pull_request
725730867,aa4ece627c0578e8bf34dc2124e0ad85c2087933,111,master,passed,87,2020-09-09 21:33:26 UTC,725730868,725730869,pull_request
720737107,f3714d549d79c5e0a36b7467d8b7680ce9fe2e61,,master,passed,86,2020-08-24 17:51:38 UTC,720737108,720737109,push
720734655,1fe703ea2636964e48698a8342ceb40e33b1b3ad,110,master,passed,83,2020-08-24 17:44:03 UTC,720734656,720734657,pull_request
720717632,b5b68036b7bc4e7c51718bc0d4f0a460184c64d7,,master,passed,92,2020-08-24 16:50:06 UTC,720717633,720717634,push
720717536,347060eb0799310555d2d3a64a3965a9017bdffa,,master,passed,38,2020-08-24 16:49:30 UTC,720717537,push
720716861,98b2b4cd349c754b6795069322a5a46bce1dcd76,109,master,passed,38,2020-08-24 16:47:22 UTC,720716862,pull_request
713750159,4ded11dab11f1450dc6e67598fd5142389b696ef,108,master,passed,90,2020-07-31 16:11:46 UTC,713750166,713750169,pull_request
673147125,15751f64fc2e2796ac9dcb2764e04890bf2ffac3,106,master,passed,36,2020-04-09 20:01:12 UTC,673147126,pull_request
606997077,db97cda4f369bddb3b1b839d38b04fca444b1428,100,master,passed,45,2019-11-04 06:47:45 UTC,606997078,pull_request
590531205,da8a46f9738fd61414d400a8c665136b060010f7,103,master,passed,69,2019-09-27 17:57:56 UTC,590531206,590531207,pull_request
589515749,c209cf9510ceabe2eb669ca28991613ca13135e9,102,master,errored,28,2019-09-25 15:43:10 UTC,589515750,pull_request
589515438,ce92696d206dc7899fe56fd14a956343ea62fbec,102,master,errored,25,2019-09-25 15:42:33 UTC,589515439,pull_request
569104823,3ae6126ecaa734150671e687d5d033c4739da460,100,master,passed,39,2019-08-07 23:31:57 UTC,569104824,pull_request
562894478,745df0e97b4bc278dc8b00c42f236c4572963991,99,master,passed,37,2019-07-24 03:36:21 UTC,562894479,pull_request
535922342,80f3c1b4afd53a39b38be81ab6cedcf3ffb06496,,0.4.0,passed,38,2019-05-22 19:24:02 UTC,535922343,push
535920950,80f3c1b4afd53a39b38be81ab6cedcf3ffb06496,,master,passed,36,2019-05-22 19:15:03 UTC,535920951,push
535561088,c03b8d1bf0a4addef43a5dead85820904fe35123,,master,passed,52,2019-05-22 00:23:32 UTC,535561089,push
535556327,747c72b825ee5c506297a73cb9e7b2c3a4926768,94,master,passed,53,2019-05-22 00:05:17 UTC,535556328,pull_request
535069555,36fc01b8931976d640c50ec3d6cdc694376abf74,,master,passed,53,2019-05-21 00:00:56 UTC,535069556,push
535069037,18b5f106f330ad66c69e50a8103aef327f00c6c3,92,master,passed,53,2019-05-20 23:58:38 UTC,535069038,pull_request
535063786,9a310caa7655e17479b38e72caa80f146cf24eb9,,master,passed,52,2019-05-20 23:34:18 UTC,535063787,push
535063058,725b7bcf66584c16a8224c1b89712ceffbd4f713,91,master,passed,53,2019-05-20 23:32:09 UTC,535063059,pull_request
535051098,68a45d11ad1870de4163757cb25766b7f20d2c94,,master,failed,49,2019-05-20 22:52:01 UTC,535051099,api
450091676,6637352dfa425d4c0280528cb775893c4f8be328,82,master,failed,50,2018-11-03 00:51:49 UTC,450091677,pull_request
448903511,2fae1827c66917946dfb9e8ec957abac4f26b065,81,master,failed,52,2018-10-31 15:10:00 UTC,448903512,pull_request
443231025,e0019113f9f4625fa15f164a6f261cd97d4f6540,80,master,passed,51,2018-10-18 15:00:34 UTC,443231026,pull_request
430910963,362d5ea45427ca7df78472ce62df22087e162d11,79,master,passed,50,2018-09-20 08:06:10 UTC,430910964,pull_request
412056546,7a8e6cf8e3401baf81384e2b83c5083ccdc86618,79,master,passed,91,2018-08-04 10:38:51 UTC,412056547,pull_request
411820859,ef8ed7a90ab818d464db0d70799b65b987cc4e2a,79,master,passed,106,2018-08-03 16:39:39 UTC,411820860,pull_request
